SKDI_01G0010	XP_056085810.1
SKDI_04G0710	XP_056086512.1
SKDI_04G0720	XP_056086513.1
SKDI_04G0730	XP_056086514.1
SKDI_04G0750	XP_056086515.1
SKDI_04G0760	XP_056086516.1
SKDI_04G0770	XP_056086517.1
SKDI_04G0780	XP_056086518.1
SKDI_04G0790	XP_056086519.1
SKDI_04G0800	XP_056086520.1
SKDI_04G0810	XP_056086521.1
SKDI_04G0820	XP_056086522.1
SKDI_04G0830	XP_056086523.1
SKDI_04G0840	XP_056086524.1
SKDI_04G0860	XP_056086525.1
SKDI_04G0870	XP_056086526.1
SKDI_04G0880	XP_056086527.1
SKDI_04G0890	XP_056086528.1
SKDI_04G0900	XP_056086529.1
SKDI_04G0910	XP_056086530.1
SKDI_04G0940	XP_056086531.1
SKDI_04G0950	XP_056086532.1
SKDI_04G0960	XP_056086533.1
SKDI_04G0970	XP_056086534.1
SKDI_04G0980	XP_056086535.1
SKDI_04G0990	XP_056086536.1
SKDI_04G1000	XP_056086537.1
SKDI_04G1010	XP_056086538.1
SKDI_04G1020	XP_056086539.1
SKDI_04G1030	XP_056086540.1
SKDI_04G1040	XP_056086541.1
SKDI_04G1050	XP_056086542.1
SKDI_04G1060	XP_056086543.1
SKDI_04G1070	XP_056086544.1
SKDI_04G1080	XP_056086545.1
SKDI_04G1080	XP_056086545.1
SKDI_04G1090	XP_056086546.1
SKDI_04G1100	XP_056086547.1
SKDI_04G1120	XP_056086548.1
SKDI_04G1130	XP_056086549.1
SKDI_04G1140	XP_056086550.1
SKDI_04G1150	XP_056086551.1
SKDI_04G1160	XP_056086552.1
SKDI_04G1160	XP_056086552.1
SKDI_04G1170	XP_056086553.1
SKDI_04G1180	XP_056086554.1
SKDI_04G1190	XP_056086555.1
SKDI_04G1200	XP_056086556.1
SKDI_04G1210	XP_056086557.1
SKDI_04G1210	XP_056086557.1
SKDI_04G1220	XP_056086558.1
SKDI_04G1230	XP_056086559.1
SKDI_04G1240	XP_056086560.1
SKDI_04G1250	XP_056086561.1
SKDI_04G1260	XP_056086562.1
SKDI_04G1270	XP_056086563.1
SKDI_04G1290	XP_056086564.1
SKDI_04G1300	XP_056086565.1
SKDI_04G1310	XP_056086566.1
SKDI_04G1310	XP_056086566.1
SKDI_04G1320	XP_056086567.1
SKDI_04G1330	XP_056086568.1
SKDI_04G1340	XP_056086569.1
SKDI_04G1350	XP_056086570.1
SKDI_04G1360	XP_056086571.1
SKDI_04G1370	XP_056086572.1
SKDI_04G1380	XP_056086573.1
SKDI_04G1380	XP_056086573.1
SKDI_04G1390	XP_056086574.1
SKDI_04G1400	XP_056086575.1
SKDI_04G1410	XP_056086576.1
SKDI_04G1420	XP_056086577.1
SKDI_04G1430	XP_056086578.1
SKDI_04G1440	XP_056086579.1
SKDI_04G1450	XP_056086580.1
SKDI_04G1460	XP_056086581.1
SKDI_04G1470	XP_056086582.1
SKDI_04G1480	XP_056086583.1
SKDI_04G1490	XP_056086584.1
SKDI_04G1500	XP_056086585.1
SKDI_04G1510	XP_056086586.1
SKDI_04G1520	XP_056086587.1
SKDI_04G1530	XP_056086588.1
SKDI_04G1540	XP_056086589.1
SKDI_04G1550	XP_056086590.1
SKDI_04G1560	XP_056086591.1
SKDI_04G1570	XP_056086592.1
SKDI_04G1580	XP_056086593.1
SKDI_04G1590	XP_056086594.1
SKDI_04G1600	XP_056086595.1
SKDI_04G1610	XP_056086596.1
SKDI_04G1620	XP_056086597.1
SKDI_04G1620	XP_056086597.1
SKDI_04G1630	XP_056086598.1
SKDI_04G1630	XP_056086598.1
SKDI_04G1640	XP_056086599.1
SKDI_04G1650	XP_056086600.1
SKDI_04G1660	XP_056086601.1
SKDI_04G1660	XP_056086601.1
SKDI_04G1670	XP_056086602.1
SKDI_04G1680	XP_056086603.1
SKDI_04G1690	XP_056086604.1
SKDI_04G1700	XP_056086605.1
SKDI_04G1700	XP_056086605.1
SKDI_04G1710	XP_056086606.1
SKDI_04G1720	XP_056086607.1
SKDI_04G1730	XP_056086608.1
SKDI_04G1740	XP_056086609.1
SKDI_04G1750	XP_056086610.1
SKDI_04G1760	XP_056086611.1
SKDI_04G1770	XP_056086612.1
SKDI_04G1780	XP_056086613.1
SKDI_04G1790	XP_056086614.1
SKDI_04G1790	XP_056086614.1
SKDI_04G1800	XP_056086615.1
SKDI_04G1810	XP_056086616.1
SKDI_04G1820	XP_056086617.1
SKDI_04G1830	XP_056086618.1
SKDI_04G1840	XP_056086619.1
SKDI_04G1850	XP_056086620.1
SKDI_04G1860	XP_056086621.1
SKDI_04G1870	XP_056086622.1
SKDI_04G1880	XP_056086623.1
SKDI_04G1890	XP_056086624.1
SKDI_04G1900	XP_056086625.1
SKDI_04G1910	XP_056086626.1
SKDI_04G1920	XP_056086627.1
SKDI_04G1930	XP_056086628.1
SKDI_04G1940	XP_056086629.1
SKDI_04G1950	XP_056086630.1
SKDI_04G1960	XP_056086631.1
SKDI_04G1970	XP_056086632.1
SKDI_04G1980	XP_056086633.1
SKDI_04G1990	XP_056086634.1
SKDI_04G2000	XP_056086635.1
SKDI_04G2010	XP_056086636.1
SKDI_04G2020	XP_056086637.1
SKDI_04G2030	XP_056086638.1
SKDI_04G2040	XP_056086639.1
SKDI_04G2060	XP_056086640.1
SKDI_04G2070	XP_056086641.1
SKDI_04G2080	XP_056086642.1
SKDI_04G2090	XP_056086643.1
SKDI_04G2090	XP_056086643.1
SKDI_04G2100	XP_056086644.1
SKDI_04G2110	XP_056086645.1
SKDI_04G2120	XP_056086646.1
SKDI_04G2150	XP_056086647.1
SKDI_04G2160	XP_056086648.1
SKDI_04G2170	XP_056086649.1
SKDI_04G2180	XP_056086650.1
SKDI_04G2190	XP_056086651.1
SKDI_04G2200	XP_056086652.1
SKDI_04G2210	XP_056086653.1
SKDI_04G2220	XP_056086654.1
SKDI_04G2230	XP_056086655.1
SKDI_04G2240	XP_056086656.1
SKDI_04G2240	XP_056086656.1
SKDI_04G2260	XP_056086657.1
SKDI_04G2270	XP_056086658.1
SKDI_04G2280	XP_056086659.1
SKDI_04G2290	XP_056086660.1
SKDI_04G2300	XP_056086661.1
SKDI_04G2310	XP_056086662.1
SKDI_04G2320	XP_056086663.1
SKDI_04G2330	XP_056086664.1
SKDI_04G2340	XP_056086665.1
SKDI_04G2350	XP_056086666.1
SKDI_04G2360	XP_056086667.1
SKDI_04G2370	XP_056086668.1
SKDI_04G2380	XP_056086669.1
SKDI_04G2390	XP_056086670.1
SKDI_04G2400	XP_056086671.1
SKDI_04G2400	XP_056086671.1
SKDI_04G2410	XP_056086672.1
SKDI_04G2420	XP_056086673.1
SKDI_04G2430	XP_056086674.1
SKDI_04G2440	XP_056086675.1
SKDI_04G2450	XP_056086676.1
SKDI_04G2460	XP_056086677.1
SKDI_04G2470	XP_056086678.1
SKDI_04G2490	XP_056086679.1
SKDI_04G2500	XP_056086680.1
SKDI_04G2510	XP_056086681.1
SKDI_04G2520	XP_056086682.1
SKDI_04G2530	XP_056086683.1
SKDI_04G2540	XP_056086684.1
SKDI_04G2550	XP_056086685.1
SKDI_04G2560	XP_056086686.1
SKDI_04G2570	XP_056086687.1
SKDI_04G2570	XP_056086687.1
SKDI_04G2580	XP_056086688.1
SKDI_04G2590	XP_056086689.1
SKDI_04G2600	XP_056086690.1
SKDI_04G2610	XP_056086691.1
SKDI_04G2620	XP_056086692.1
SKDI_04G2630	XP_056086693.1
SKDI_04G2640	XP_056086694.1
SKDI_04G2650	XP_056086695.1
SKDI_04G2660	XP_056086696.1
SKDI_04G2670	XP_056086697.1
SKDI_04G2680	XP_056086698.1
SKDI_04G2690	XP_056086699.1
SKDI_04G2710	XP_056086700.1
SKDI_04G2720	XP_056086701.1
SKDI_04G2730	XP_056086702.1
SKDI_04G2740	XP_056086703.1
SKDI_04G2750	XP_056086704.1
SKDI_04G2760	XP_056086705.1
SKDI_04G2770	XP_056086706.1
SKDI_04G2780	XP_056086707.1
SKDI_04G2790	XP_056086708.1
SKDI_04G2800	XP_056086709.1
SKDI_04G2810	XP_056086710.1
SKDI_04G2820	XP_056086711.1
SKDI_04G2830	XP_056086712.1
SKDI_04G2840	XP_056086713.1
SKDI_04G2850	XP_056086714.1
SKDI_04G2860	XP_056086715.1
SKDI_04G2870	XP_056086716.1
SKDI_04G2880	XP_056086717.1
SKDI_04G2880	XP_056086717.1
SKDI_04G2890	XP_056086718.1
SKDI_04G2900	XP_056086719.1
SKDI_04G2910	XP_056086720.1
SKDI_04G2920	XP_056086721.1
SKDI_04G2930	XP_056086722.1
SKDI_04G2930	XP_056086722.1
SKDI_04G2940	XP_056086723.1
SKDI_04G2950	XP_056086724.1
SKDI_04G2960	XP_056086725.1
SKDI_04G2970	XP_056086726.1
SKDI_04G2980	XP_056086727.1
SKDI_04G2990	XP_056086728.1
SKDI_04G3000	XP_056086729.1
SKDI_04G3010	XP_056086730.1
SKDI_04G3020	XP_056086731.1
SKDI_04G3030	XP_056086732.1
SKDI_04G3040	XP_056086733.1
SKDI_04G3050	XP_056086734.1
SKDI_04G3060	XP_056086735.1
SKDI_04G3070	XP_056086736.1
SKDI_04G3080	XP_056086737.1
SKDI_04G3090	XP_056086738.1
SKDI_04G3100	XP_056086739.1
SKDI_04G3110	XP_056086740.1
SKDI_04G3120	XP_056086741.1
SKDI_04G3130	XP_056086742.1
SKDI_04G3140	XP_056086743.1
SKDI_04G3150	XP_056086744.1
SKDI_04G3160	XP_056086745.1
SKDI_04G3170	XP_056086746.1
SKDI_04G3180	XP_056086747.1
SKDI_04G3190	XP_056086748.1
SKDI_04G3200	XP_056086749.1
SKDI_04G3210	XP_056086750.1
SKDI_04G3210	XP_056086750.1
SKDI_04G3220	XP_056086751.1
SKDI_04G3230	XP_056086752.1
SKDI_04G3240	XP_056086753.1
SKDI_04G3250	XP_056086754.1
SKDI_04G3260	XP_056086755.1
SKDI_04G3270	XP_056086756.1
SKDI_04G3280	XP_056086757.1
SKDI_04G3290	XP_056086758.1
SKDI_04G3300	XP_056086759.1
SKDI_04G3310	XP_056086760.1
SKDI_04G3320	XP_056086761.1
SKDI_04G3330	XP_056086762.1
SKDI_04G3340	XP_056086763.1
SKDI_04G3350	XP_056086764.1
SKDI_04G3360	XP_056086765.1
SKDI_04G3370	XP_056086766.1
SKDI_04G3390	XP_056086767.1
SKDI_04G3400	XP_056086768.1
SKDI_04G3410	XP_056086769.1
SKDI_04G3420	XP_056086770.1
SKDI_04G3430	XP_056086771.1
SKDI_04G3450	XP_056086772.1
SKDI_04G3460	XP_056086773.1
SKDI_04G3470	XP_056086774.1
SKDI_04G3480	XP_056086775.1
SKDI_04G3490	XP_056086776.1
SKDI_04G3500	XP_056086777.1
SKDI_04G3510	XP_056086778.1
SKDI_04G3520	XP_056086779.1
SKDI_04G3530	XP_056086780.1
SKDI_04G3540	XP_056086781.1
SKDI_04G3550	XP_056086782.1
SKDI_04G3560	XP_056086783.1
SKDI_04G3560	XP_056086783.1
SKDI_04G3570	XP_056086784.1
SKDI_04G3580	XP_056086785.1
SKDI_04G3590	XP_056086786.1
SKDI_04G3600	XP_056086787.1
SKDI_04G3610	XP_056086788.1
SKDI_04G3620	XP_056086789.1
SKDI_04G3630	XP_056086790.1
SKDI_04G3640	XP_056086791.1
SKDI_04G3650	XP_056086792.1
SKDI_04G3660	XP_056086793.1
SKDI_04G3670	XP_056086794.1
SKDI_04G3680	XP_056086795.1
SKDI_04G3690	XP_056086796.1
SKDI_04G3700	XP_056086797.1
SKDI_04G3710	XP_056086798.1
SKDI_04G3720	XP_056086799.1
SKDI_04G3730	XP_056086800.1
SKDI_04G3740	XP_056086801.1
SKDI_04G3750	XP_056086802.1
SKDI_04G3760	XP_056086803.1
SKDI_04G3770	XP_056086804.1
SKDI_04G3780	XP_056086805.1
SKDI_04G3790	XP_056086806.1
SKDI_04G3800	XP_056086807.1
SKDI_04G3810	XP_056086808.1
SKDI_04G3820	XP_056086809.1
SKDI_04G3830	XP_056086810.1
SKDI_04G3840	XP_056086811.1
SKDI_04G3850	XP_056086812.1
SKDI_04G3860	XP_056086813.1
SKDI_04G3870	XP_056086814.1
SKDI_04G3880	XP_056086815.1
SKDI_04G3890	XP_056086816.1
SKDI_04G3900	XP_056086817.1
SKDI_04G3910	XP_056086818.1
SKDI_04G3920	XP_056086819.1
SKDI_04G3930	XP_056086820.1
SKDI_04G3940	XP_056086821.1
SKDI_04G3950	XP_056086822.1
SKDI_04G3960	XP_056086823.1
SKDI_04G3970	XP_056086824.1
SKDI_04G3980	XP_056086825.1
SKDI_04G3990	XP_056086826.1
SKDI_04G4000	XP_056086827.1
SKDI_04G4010	XP_056086828.1
SKDI_04G4020	XP_056086829.1
SKDI_04G4030	XP_056086830.1
SKDI_04G4040	XP_056086831.1
SKDI_04G4050	XP_056086832.1
SKDI_04G4070	XP_056086833.1
SKDI_04G4080	XP_056086834.1
SKDI_04G4090	XP_056086835.1
SKDI_04G4100	XP_056086836.1
SKDI_04G4110	XP_056086837.1
SKDI_04G4120	XP_056086838.1
SKDI_04G4130	XP_056086839.1
SKDI_04G4140	XP_056086840.1
SKDI_04G4150	XP_056086841.1
SKDI_04G4160	XP_056086842.1
SKDI_04G4170	XP_056086843.1
SKDI_04G4180	XP_056086844.1
SKDI_04G4190	XP_056086845.1
SKDI_04G4200	XP_056086846.1
SKDI_04G4210	XP_056086847.1
SKDI_04G4220	XP_056086848.1
SKDI_04G4230	XP_056086849.1
SKDI_04G4240	XP_056086850.1
SKDI_04G4250	XP_056086851.1
SKDI_04G4260	XP_056086852.1
SKDI_04G4270	XP_056086853.1
SKDI_04G4280	XP_056086854.1
SKDI_04G4290	XP_056086855.1
SKDI_04G4300	XP_056086856.1
SKDI_04G4310	XP_056086857.1
SKDI_04G4320	XP_056086858.1
SKDI_04G4330	XP_056086859.1
SKDI_04G4340	XP_056086860.1
SKDI_04G4350	XP_056086861.1
SKDI_04G4360	XP_056086862.1
SKDI_04G4370	XP_056086863.1
SKDI_04G4380	XP_056086864.1
SKDI_04G4390	XP_056086865.1
SKDI_04G4400	XP_056086866.1
SKDI_04G4410	XP_056086867.1
SKDI_04G4420	XP_056086868.1
SKDI_04G4430	XP_056086869.1
SKDI_04G4450	XP_056086870.1
SKDI_04G4460	XP_056086871.1
SKDI_04G4470	XP_056086872.1
SKDI_04G4480	XP_056086873.1
SKDI_04G4490	XP_056086874.1
SKDI_04G4500	XP_056086875.1
SKDI_04G4510	XP_056086876.1
SKDI_04G4520	XP_056086877.1
SKDI_04G4530	XP_056086878.1
SKDI_04G4540	XP_056086879.1
SKDI_04G4570	XP_056086880.1
SKDI_04G4580	XP_056086881.1
SKDI_04G4590	XP_056086882.1
SKDI_04G4600	XP_056086883.1
SKDI_04G4610	XP_056086884.1
SKDI_04G4620	XP_056086885.1
SKDI_04G4630	XP_056086886.1
SKDI_04G4640	XP_056086887.1
SKDI_04G4650	XP_056086888.1
SKDI_04G4660	XP_056086889.1
SKDI_04G4670	XP_056086890.1
SKDI_04G4680	XP_056086891.1
SKDI_04G4690	XP_056086892.1
SKDI_04G4700	XP_056086893.1
SKDI_04G4710	XP_056086894.1
SKDI_04G4720	XP_056086895.1
SKDI_04G4730	XP_056086896.1
SKDI_04G4740	XP_056086897.1
SKDI_04G4750	XP_056086898.1
SKDI_04G4760	XP_056086899.1
SKDI_04G4770	XP_056086900.1
SKDI_04G4780	XP_056086901.1
SKDI_04G4790	XP_056086902.1
SKDI_04G4800	XP_056086903.1
SKDI_04G4810	XP_056086904.1
SKDI_04G4820	XP_056086905.1
SKDI_04G4830	XP_056086906.1
SKDI_04G4850	XP_056086907.1
SKDI_04G4860	XP_056086908.1
SKDI_04G4870	XP_056086909.1
SKDI_04G4880	XP_056086910.1
SKDI_04G4890	XP_056086911.1
SKDI_04G4900	XP_056086912.1
SKDI_04G4910	XP_056086913.1
SKDI_04G4920	XP_056086914.1
SKDI_04G4930	XP_056086915.1
SKDI_04G4940	XP_056086916.1
SKDI_04G4950	XP_056086917.1
SKDI_04G4960	XP_056086918.1
SKDI_04G4970	XP_056086919.1
SKDI_04G4980	XP_056086920.1
SKDI_04G4990	XP_056086921.1
SKDI_04G5000	XP_056086922.1
SKDI_04G5020	XP_056086923.1
SKDI_04G5030	XP_056086924.1
SKDI_04G5040	XP_056086925.1
SKDI_04G5050	XP_056086926.1
SKDI_04G5060	XP_056086927.1
SKDI_04G5070	XP_056086928.1
SKDI_04G5080	XP_056086929.1
SKDI_04G5090	XP_056086930.1
SKDI_04G5100	XP_056086931.1
SKDI_04G5110	XP_056086932.1
SKDI_04G5120	XP_056086933.1
SKDI_04G5130	XP_056086934.1
SKDI_04G5140	XP_056086935.1
SKDI_04G5150	XP_056086936.1
SKDI_04G5160	XP_056086937.1
SKDI_04G5170	XP_056086938.1
SKDI_04G5180	XP_056086939.1
SKDI_04G5190	XP_056086940.1
SKDI_04G5200	XP_056086941.1
SKDI_04G5210	XP_056086942.1
SKDI_04G5220	XP_056086943.1
SKDI_04G5230	XP_056086944.1
SKDI_04G5240	XP_056086945.1
SKDI_04G5250	XP_056086946.1
SKDI_04G5260	XP_056086947.1
SKDI_04G5270	XP_056086948.1
SKDI_04G5280	XP_056086949.1
SKDI_04G5290	XP_056086950.1
SKDI_04G5300	XP_056086951.1
SKDI_04G5310	XP_056086952.1
SKDI_04G5320	XP_056086953.1
SKDI_04G5330	XP_056086954.1
SKDI_04G5340	XP_056086955.1
SKDI_04G5350	XP_056086956.1
SKDI_04G5360	XP_056086957.1
SKDI_04G5370	XP_056086958.1
SKDI_04G5380	XP_056086959.1
SKDI_04G5390	XP_056086960.1
SKDI_04G5400	XP_056086961.1
SKDI_04G5410	XP_056086962.1
SKDI_04G5420	XP_056086963.1
SKDI_04G5430	XP_056086964.1
SKDI_04G5440	XP_056086965.1
SKDI_04G5450	XP_056086966.1
SKDI_04G5460	XP_056086967.1
SKDI_04G5470	XP_056086968.1
SKDI_04G5480	XP_056086969.1
SKDI_04G5490	XP_056086970.1
SKDI_04G5500	XP_056086971.1
SKDI_04G5510	XP_056086972.1
SKDI_04G5520	XP_056086973.1
SKDI_04G5530	XP_056086974.1
SKDI_04G5540	XP_056086975.1
SKDI_04G5550	XP_056086976.1
SKDI_04G5560	XP_056086977.1
SKDI_04G5570	XP_056086978.1
SKDI_04G5580	XP_056086979.1
SKDI_04G5590	XP_056086980.1
SKDI_04G5600	XP_056086981.1
SKDI_04G5610	XP_056086982.1
SKDI_04G5620	XP_056086983.1
SKDI_04G5630	XP_056086984.1
SKDI_04G5640	XP_056086985.1
SKDI_04G5660	XP_056086986.1
SKDI_04G5670	XP_056086987.1
SKDI_04G5680	XP_056086988.1
SKDI_04G5690	XP_056086989.1
SKDI_04G5700	XP_056086990.1
SKDI_04G5710	XP_056086991.1
SKDI_04G5720	XP_056086992.1
SKDI_04G5730	XP_056086993.1
SKDI_04G5740	XP_056086994.1
SKDI_04G5750	XP_056086995.1
SKDI_04G5760	XP_056086996.1
SKDI_04G5760	XP_056086996.1
SKDI_04G5770	XP_056086997.1
SKDI_04G5780	XP_056086998.1
SKDI_04G5790	XP_056086999.1
SKDI_04G5800	XP_056087000.1
SKDI_04G5820	XP_056087001.1
SKDI_04G5830	XP_056087002.1
SKDI_04G5840	XP_056087003.1
SKDI_04G5850	XP_056087004.1
SKDI_04G5860	XP_056087005.1
SKDI_04G5870	XP_056087006.1
SKDI_04G5880	XP_056087007.1
SKDI_04G5890	XP_056087008.1
SKDI_04G5900	XP_056087009.1
SKDI_04G5910	XP_056087010.1
SKDI_04G5920	XP_056087011.1
SKDI_04G5920	XP_056087011.1
SKDI_04G5925	XP_056087012.1
SKDI_04G5925	XP_056087012.1
SKDI_04G5930	XP_056087013.1
SKDI_04G5940	XP_056087014.1
SKDI_04G5950	XP_056087015.1
SKDI_04G5960	XP_056087016.1
SKDI_04G5970	XP_056087017.1
SKDI_04G5980	XP_056087018.1
SKDI_04G5990	XP_056087019.1
SKDI_04G6000	XP_056087020.1
SKDI_04G6010	XP_056087021.1
SKDI_04G6020	XP_056087022.1
SKDI_04G6030	XP_056087023.1
SKDI_04G6040	XP_056087024.1
SKDI_04G6050	XP_056087025.1
SKDI_04G6060	XP_056087026.1
SKDI_04G6070	XP_056087027.1
SKDI_04G6070	XP_056087027.1
SKDI_04G6080	XP_056087028.1
SKDI_04G6090	XP_056087029.1
SKDI_04G6100	XP_056087030.1
SKDI_04G6110	XP_056087031.1
SKDI_04G6120	XP_056087032.1
SKDI_04G6130	XP_056087033.1
SKDI_04G6140	XP_056087034.1
SKDI_04G6150	XP_056087035.1
SKDI_04G6160	XP_056087036.1
SKDI_04G6170	XP_056087037.1
SKDI_04G6180	XP_056087038.1
SKDI_04G6190	XP_056087039.1
SKDI_04G6200	XP_056087040.1
SKDI_04G6210	XP_056087041.1
SKDI_04G6220	XP_056087042.1
SKDI_04G6230	XP_056087043.1
SKDI_04G6240	XP_056087044.1
SKDI_04G6250	XP_056087045.1
SKDI_04G6260	XP_056087046.1
SKDI_04G6270	XP_056087047.1
SKDI_04G6280	XP_056087048.1
SKDI_04G6290	XP_056087049.1
SKDI_04G6300	XP_056087050.1
SKDI_04G6300	XP_056087050.1
SKDI_04G6300	XP_056087050.1
SKDI_04G6310	XP_056087051.1
SKDI_04G6320	XP_056087052.1
SKDI_04G6330	XP_056087053.1
SKDI_04G6340	XP_056087054.1
SKDI_04G6350	XP_056087055.1
SKDI_04G6360	XP_056087056.1
SKDI_04G6380	XP_056087057.1
SKDI_04G6390	XP_056087058.1
SKDI_04G6400	XP_056087059.1
SKDI_04G6410	XP_056087060.1
SKDI_04G6420	XP_056087061.1
SKDI_04G6430	XP_056087062.1
SKDI_04G6440	XP_056087063.1
SKDI_04G6450	XP_056087064.1
SKDI_04G6460	XP_056087065.1
SKDI_04G6470	XP_056087066.1
SKDI_04G6480	XP_056087067.1
SKDI_04G6490	XP_056087068.1
SKDI_04G6490	XP_056087068.1
SKDI_04G6500	XP_056087069.1
SKDI_04G6510	XP_056087070.1
SKDI_04G6520	XP_056087071.1
SKDI_04G6520	XP_056087071.1
SKDI_04G6530	XP_056087072.1
SKDI_04G6540	XP_056087073.1
SKDI_04G6550	XP_056087074.1
SKDI_04G6560	XP_056087075.1
SKDI_04G6580	XP_056087076.1
SKDI_04G6590	XP_056087077.1
SKDI_04G6600	XP_056087078.1
SKDI_04G6610	XP_056087079.1
SKDI_04G6620	XP_056087080.1
SKDI_04G6630	XP_056087081.1
SKDI_04G6640	XP_056087082.1
SKDI_04G6650	XP_056087083.1
SKDI_04G6660	XP_056087084.1
SKDI_04G6670	XP_056087085.1
SKDI_04G6690	XP_056087086.1
SKDI_04G6700	XP_056087087.1
SKDI_04G6710	XP_056087088.1
SKDI_04G6720	XP_056087089.1
SKDI_04G6730	XP_056087090.1
SKDI_04G6740	XP_056087091.1
SKDI_04G6740	XP_056087091.1
SKDI_04G6750	XP_056087092.1
SKDI_04G6760	XP_056087093.1
SKDI_04G6770	XP_056087094.1
SKDI_04G6780	XP_056087095.1
SKDI_04G6790	XP_056087096.1
SKDI_04G6800	XP_056087097.1
SKDI_04G6810	XP_056087098.1
SKDI_04G6820	XP_056087099.1
SKDI_04G6830	XP_056087100.1
SKDI_04G6840	XP_056087101.1
SKDI_04G6850	XP_056087102.1
SKDI_04G6860	XP_056087103.1
SKDI_04G6870	XP_056087104.1
SKDI_04G6880	XP_056087105.1
SKDI_04G6890	XP_056087106.1
SKDI_04G6900	XP_056087107.1
SKDI_04G6910	XP_056087108.1
SKDI_04G6920	XP_056087109.1
SKDI_04G6930	XP_056087110.1
SKDI_04G6940	XP_056087111.1
SKDI_04G6950	XP_056087112.1
SKDI_04G6960	XP_056087113.1
SKDI_04G6970	XP_056087114.1
SKDI_04G6980	XP_056087115.1
SKDI_04G6990	XP_056087116.1
SKDI_04G7000	XP_056087117.1
SKDI_04G7010	XP_056087118.1
SKDI_04G7020	XP_056087119.1
SKDI_04G7030	XP_056087120.1
SKDI_04G7040	XP_056087121.1
SKDI_04G7050	XP_056087122.1
SKDI_04G7060	XP_056087123.1
SKDI_04G7070	XP_056087124.1
SKDI_04G7080	XP_056087125.1
SKDI_04G7090	XP_056087126.1
SKDI_04G7100	XP_056087127.1
SKDI_04G7110	XP_056087128.1
SKDI_04G7120	XP_056087129.1
SKDI_04G7130	XP_056087130.1
SKDI_04G7140	XP_056087131.1
SKDI_04G7150	XP_056087132.1
SKDI_04G7160	XP_056087133.1
SKDI_04G7170	XP_056087134.1
SKDI_04G7180	XP_056087135.1
SKDI_04G7190	XP_056087136.1
SKDI_04G7200	XP_056087137.1
SKDI_04G7210	XP_056087138.1
SKDI_04G7220	XP_056087139.1
SKDI_04G7230	XP_056087140.1
SKDI_04G7240	XP_056087141.1
SKDI_04G7250	XP_056087142.1
SKDI_04G7260	XP_056087143.1
SKDI_04G7270	XP_056087144.1
SKDI_04G7280	XP_056087145.1
SKDI_04G7290	XP_056087146.1
SKDI_04G7300	XP_056087147.1
SKDI_04G7310	XP_056087148.1
SKDI_04G7320	XP_056087149.1
SKDI_04G7330	XP_056087150.1
SKDI_04G7340	XP_056087151.1
SKDI_05G0010	XP_056087152.1
SKDI_05G0020	XP_056087153.1
SKDI_05G0030	XP_056087154.1
SKDI_05G0040	XP_056087155.1
SKDI_05G0050	XP_056087156.1
SKDI_05G0060	XP_056087157.1
SKDI_05G0070	XP_056087158.1
SKDI_05G0080	XP_056087159.1
SKDI_05G0090	XP_056087160.1
SKDI_05G0100	XP_056087161.1
SKDI_05G0110	XP_056087162.1
SKDI_05G0120	XP_056087163.1
SKDI_05G0130	XP_056087164.1
SKDI_05G0140	XP_056087165.1
SKDI_05G0150	XP_056087166.1
SKDI_05G0160	XP_056087167.1
SKDI_05G0170	XP_056087168.1
SKDI_05G0180	XP_056087169.1
SKDI_05G0190	XP_056087170.1
SKDI_05G0200	XP_056087171.1
SKDI_05G0210	XP_056087172.1
SKDI_05G0220	XP_056087173.1
SKDI_05G0230	XP_056087174.1
SKDI_05G0240	XP_056087175.1
SKDI_05G0250	XP_056087176.1
SKDI_05G0260	XP_056087177.1
SKDI_05G0270	XP_056087178.1
SKDI_05G0280	XP_056087179.1
SKDI_05G0290	XP_056087180.1
SKDI_05G0300	XP_056087181.1
SKDI_05G0310	XP_056087182.1
SKDI_05G0320	XP_056087183.1
SKDI_05G0330	XP_056087184.1
SKDI_05G0340	XP_056087185.1
SKDI_05G0350	XP_056087186.1
SKDI_05G0360	XP_056087187.1
SKDI_05G0380	XP_056087188.1
SKDI_05G0390	XP_056087189.1
SKDI_05G0400	XP_056087190.1
SKDI_05G0410	XP_056087191.1
SKDI_05G0420	XP_056087192.1
SKDI_05G0430	XP_056087193.1
SKDI_05G0440	XP_056087194.1
SKDI_05G0450	XP_056087195.1
SKDI_05G0460	XP_056087196.1
SKDI_05G0470	XP_056087197.1
SKDI_05G0490	XP_056087198.1
SKDI_05G0500	XP_056087199.1
SKDI_05G0510	XP_056087200.1
SKDI_05G0530	XP_056087201.1
SKDI_05G0540	XP_056087202.1
SKDI_05G0550	XP_056087203.1
SKDI_05G0560	XP_056087204.1
SKDI_05G0570	XP_056087205.1
SKDI_05G0580	XP_056087206.1
SKDI_05G0590	XP_056087207.1
SKDI_05G0590	XP_056087207.1
SKDI_05G0600	XP_056087208.1
SKDI_05G0610	XP_056087209.1
SKDI_05G0620	XP_056087210.1
SKDI_05G0630	XP_056087211.1
SKDI_05G0640	XP_056087212.1
SKDI_05G0650	XP_056087213.1
SKDI_05G0660	XP_056087214.1
SKDI_05G0670	XP_056087215.1
SKDI_05G0670	XP_056087215.1
SKDI_05G0680	XP_056087216.1
SKDI_05G0690	XP_056087217.1
