SMKI_01G0010	XP_056080164.1
SMKI_04G0840	XP_056080868.1
SMKI_04G0850	XP_056080869.1
SMKI_04G0860	XP_056080870.1
SMKI_04G0870	XP_056080871.1
SMKI_04G0890	XP_056080872.1
SMKI_04G0900	XP_056080873.1
SMKI_04G0910	XP_056080874.1
SMKI_04G0920	XP_056080875.1
SMKI_04G0930	XP_056080876.1
SMKI_04G0940	XP_056080877.1
SMKI_04G0950	XP_056080878.1
SMKI_04G0960	XP_056080879.1
SMKI_04G0970	XP_056080880.1
SMKI_04G0980	XP_056080881.1
SMKI_04G0990	XP_056080882.1
SMKI_04G1000	XP_056080883.1
SMKI_04G1010	XP_056080884.1
SMKI_04G1020	XP_056080885.1
SMKI_04G1030	XP_056080886.1
SMKI_04G1040	XP_056080887.1
SMKI_04G1060	XP_056080888.1
SMKI_04G1070	XP_056080889.1
SMKI_04G1080	XP_056080890.1
SMKI_04G1090	XP_056080891.1
SMKI_04G1100	XP_056080892.1
SMKI_04G1100	XP_056080892.1
SMKI_04G1110	XP_056080893.1
SMKI_04G1120	XP_056080894.1
SMKI_04G1130	XP_056080895.1
SMKI_04G1140	XP_056080896.1
SMKI_04G1150	XP_056080897.1
SMKI_04G1150	XP_056080897.1
SMKI_04G1160	XP_056080898.1
SMKI_04G1170	XP_056080899.1
SMKI_04G1180	XP_056080900.1
SMKI_04G1190	XP_056080901.1
SMKI_04G1200	XP_056080902.1
SMKI_04G1210	XP_056080903.1
SMKI_04G1230	XP_056080904.1
SMKI_04G1240	XP_056080905.1
SMKI_04G1250	XP_056080906.1
SMKI_04G1250	XP_056080906.1
SMKI_04G1260	XP_056080907.1
SMKI_04G1270	XP_056080908.1
SMKI_04G1280	XP_056080909.1
SMKI_04G1290	XP_056080910.1
SMKI_04G1300	XP_056080911.1
SMKI_04G1310	XP_056080912.1
SMKI_04G1320	XP_056080913.1
SMKI_04G1320	XP_056080913.1
SMKI_04G1330	XP_056080914.1
SMKI_04G1340	XP_056080915.1
SMKI_04G1350	XP_056080916.1
SMKI_04G1360	XP_056080917.1
SMKI_04G1370	XP_056080918.1
SMKI_04G1380	XP_056080919.1
SMKI_04G1390	XP_056080920.1
SMKI_04G1400	XP_056080921.1
SMKI_04G1410	XP_056080922.1
SMKI_04G1420	XP_056080923.1
SMKI_04G1430	XP_056080924.1
SMKI_04G1440	XP_056080925.1
SMKI_04G1450	XP_056080926.1
SMKI_04G1460	XP_056080927.1
SMKI_04G1470	XP_056080928.1
SMKI_04G1480	XP_056080929.1
SMKI_04G1490	XP_056080930.1
SMKI_04G1500	XP_056080931.1
SMKI_04G1510	XP_056080932.1
SMKI_04G1520	XP_056080933.1
SMKI_04G1530	XP_056080934.1
SMKI_04G1540	XP_056080935.1
SMKI_04G1550	XP_056080936.1
SMKI_04G1560	XP_056080937.1
SMKI_04G1560	XP_056080937.1
SMKI_04G1570	XP_056080938.1
SMKI_04G1570	XP_056080938.1
SMKI_04G1580	XP_056080939.1
SMKI_04G1590	XP_056080940.1
SMKI_04G1600	XP_056080941.1
SMKI_04G1600	XP_056080941.1
SMKI_04G1610	XP_056080942.1
SMKI_04G1620	XP_056080943.1
SMKI_04G1630	XP_056080944.1
SMKI_04G1640	XP_056080945.1
SMKI_04G1640	XP_056080945.1
SMKI_04G1650	XP_056080946.1
SMKI_04G1660	XP_056080947.1
SMKI_04G1670	XP_056080948.1
SMKI_04G1680	XP_056080949.1
SMKI_04G1690	XP_056080950.1
SMKI_04G1700	XP_056080951.1
SMKI_04G1710	XP_056080952.1
SMKI_04G1720	XP_056080953.1
SMKI_04G1730	XP_056080954.1
SMKI_04G1730	XP_056080954.1
SMKI_04G1740	XP_056080955.1
SMKI_04G1750	XP_056080956.1
SMKI_04G1760	XP_056080957.1
SMKI_04G1770	XP_056080958.1
SMKI_04G1780	XP_056080959.1
SMKI_04G1790	XP_056080960.1
SMKI_04G1800	XP_056080961.1
SMKI_04G1810	XP_056080962.1
SMKI_04G1820	XP_056080963.1
SMKI_04G1830	XP_056080964.1
SMKI_04G1840	XP_056080965.1
SMKI_04G1850	XP_056080966.1
SMKI_04G1860	XP_056080967.1
SMKI_04G1870	XP_056080968.1
SMKI_04G1880	XP_056080969.1
SMKI_04G1890	XP_056080970.1
SMKI_04G1900	XP_056080971.1
SMKI_04G1910	XP_056080972.1
SMKI_04G1920	XP_056080973.1
SMKI_04G1930	XP_056080974.1
SMKI_04G1940	XP_056080975.1
SMKI_04G1950	XP_056080976.1
SMKI_04G1960	XP_056080977.1
SMKI_04G1970	XP_056080978.1
SMKI_04G1980	XP_056080979.1
SMKI_04G1990	XP_056080980.1
SMKI_04G2010	XP_056080981.1
SMKI_04G2020	XP_056080982.1
SMKI_04G2030	XP_056080983.1
SMKI_04G2040	XP_056080984.1
SMKI_04G2040	XP_056080984.1
SMKI_04G2050	XP_056080985.1
SMKI_04G2060	XP_056080986.1
SMKI_04G2070	XP_056080987.1
SMKI_04G2090	XP_056080988.1
SMKI_04G2100	XP_056080989.1
SMKI_04G2110	XP_056080990.1
SMKI_04G2120	XP_056080991.1
SMKI_04G2130	XP_056080992.1
SMKI_04G2140	XP_056080993.1
SMKI_04G2150	XP_056080994.1
SMKI_04G2160	XP_056080995.1
SMKI_04G2170	XP_056080996.1
SMKI_04G2180	XP_056080997.1
SMKI_04G2180	XP_056080997.1
SMKI_04G2190	XP_056080998.1
SMKI_04G2210	XP_056080999.1
SMKI_04G2220	XP_056081000.1
SMKI_04G2230	XP_056081001.1
SMKI_04G2240	XP_056081002.1
SMKI_04G2250	XP_056081003.1
SMKI_04G2260	XP_056081004.1
SMKI_04G2270	XP_056081005.1
SMKI_04G2280	XP_056081006.1
SMKI_04G2290	XP_056081007.1
SMKI_04G2300	XP_056081008.1
SMKI_04G2310	XP_056081009.1
SMKI_04G2320	XP_056081010.1
SMKI_04G2325	XP_056081011.1
SMKI_04G2325	XP_056081011.1
SMKI_04G2330	XP_056081012.1
SMKI_04G2340	XP_056081013.1
SMKI_04G2350	XP_056081014.1
SMKI_04G2360	XP_056081015.1
SMKI_04G2370	XP_056081016.1
SMKI_04G2380	XP_056081017.1
SMKI_04G2390	XP_056081018.1
SMKI_04G2400	XP_056081019.1
SMKI_04G2410	XP_056081020.1
SMKI_04G2420	XP_056081021.1
SMKI_04G2430	XP_056081022.1
SMKI_04G2440	XP_056081023.1
SMKI_04G2450	XP_056081024.1
SMKI_04G2460	XP_056081025.1
SMKI_04G2470	XP_056081026.1
SMKI_04G2480	XP_056081027.1
SMKI_04G2490	XP_056081028.1
SMKI_04G2500	XP_056081029.1
SMKI_04G2500	XP_056081029.1
SMKI_04G2510	XP_056081030.1
SMKI_04G2520	XP_056081031.1
SMKI_04G2530	XP_056081032.1
SMKI_04G2540	XP_056081033.1
SMKI_04G2550	XP_056081034.1
SMKI_04G2560	XP_056081035.1
SMKI_04G2570	XP_056081036.1
SMKI_04G2580	XP_056081037.1
SMKI_04G2590	XP_056081038.1
SMKI_04G2600	XP_056081039.1
SMKI_04G2610	XP_056081040.1
SMKI_04G2620	XP_056081041.1
SMKI_04G2640	XP_056081042.1
SMKI_04G2650	XP_056081043.1
SMKI_04G2660	XP_056081044.1
SMKI_04G2670	XP_056081045.1
SMKI_04G2680	XP_056081046.1
SMKI_04G2690	XP_056081047.1
SMKI_04G2700	XP_056081048.1
SMKI_04G2710	XP_056081049.1
SMKI_04G2720	XP_056081050.1
SMKI_04G2730	XP_056081051.1
SMKI_04G2740	XP_056081052.1
SMKI_04G2750	XP_056081053.1
SMKI_04G2760	XP_056081054.1
SMKI_04G2770	XP_056081055.1
SMKI_04G2780	XP_056081056.1
SMKI_04G2790	XP_056081057.1
SMKI_04G2800	XP_056081058.1
SMKI_04G2810	XP_056081059.1
SMKI_04G2810	XP_056081059.1
SMKI_04G2820	XP_056081060.1
SMKI_04G2830	XP_056081061.1
SMKI_04G2840	XP_056081062.1
SMKI_04G2850	XP_056081063.1
SMKI_04G2860	XP_056081064.1
SMKI_04G2860	XP_056081064.1
SMKI_04G2870	XP_056081065.1
SMKI_04G2880	XP_056081066.1
SMKI_04G2890	XP_056081067.1
SMKI_04G2900	XP_056081068.1
SMKI_04G2910	XP_056081069.1
SMKI_04G2920	XP_056081070.1
SMKI_04G2930	XP_056081071.1
SMKI_04G2940	XP_056081072.1
SMKI_04G2950	XP_056081073.1
SMKI_04G2960	XP_056081074.1
SMKI_04G2970	XP_056081075.1
SMKI_04G2980	XP_056081076.1
SMKI_04G2990	XP_056081077.1
SMKI_04G3000	XP_056081078.1
SMKI_04G3010	XP_056081079.1
SMKI_04G3020	XP_056081080.1
SMKI_04G3030	XP_056081081.1
SMKI_04G3040	XP_056081082.1
SMKI_04G3050	XP_056081083.1
SMKI_04G3060	XP_056081084.1
SMKI_04G3070	XP_056081085.1
SMKI_04G3080	XP_056081086.1
SMKI_04G3090	XP_056081087.1
SMKI_04G3100	XP_056081088.1
SMKI_04G3110	XP_056081089.1
SMKI_04G3120	XP_056081090.1
SMKI_04G3130	XP_056081091.1
SMKI_04G3140	XP_056081092.1
SMKI_04G3150	XP_056081093.1
SMKI_04G3150	XP_056081093.1
SMKI_04G3160	XP_056081094.1
SMKI_04G3170	XP_056081095.1
SMKI_04G3180	XP_056081096.1
SMKI_04G3190	XP_056081097.1
SMKI_04G3200	XP_056081098.1
SMKI_04G3210	XP_056081099.1
SMKI_04G3220	XP_056081100.1
SMKI_04G3230	XP_056081101.1
SMKI_04G3240	XP_056081102.1
SMKI_04G3250	XP_056081103.1
SMKI_04G3260	XP_056081104.1
SMKI_04G3270	XP_056081105.1
SMKI_04G3280	XP_056081106.1
SMKI_04G3290	XP_056081107.1
SMKI_04G3300	XP_056081108.1
SMKI_04G3310	XP_056081109.1
SMKI_04G3330	XP_056081110.1
SMKI_04G3340	XP_056081111.1
SMKI_04G3350	XP_056081112.1
SMKI_04G3360	XP_056081113.1
SMKI_04G3370	XP_056081114.1
SMKI_04G3390	XP_056081115.1
SMKI_04G3400	XP_056081116.1
SMKI_04G3410	XP_056081117.1
SMKI_04G3420	XP_056081118.1
SMKI_04G3430	XP_056081119.1
SMKI_04G3440	XP_056081120.1
SMKI_04G3450	XP_056081121.1
SMKI_04G3460	XP_056081122.1
SMKI_04G3470	XP_056081123.1
SMKI_04G3480	XP_056081124.1
SMKI_04G3490	XP_056081125.1
SMKI_04G3500	XP_056081126.1
SMKI_04G3500	XP_056081126.1
SMKI_04G3510	XP_056081127.1
SMKI_04G3520	XP_056081128.1
SMKI_04G3530	XP_056081129.1
SMKI_04G3540	XP_056081130.1
SMKI_04G3550	XP_056081131.1
SMKI_04G3560	XP_056081132.1
SMKI_04G3570	XP_056081133.1
SMKI_04G3580	XP_056081134.1
SMKI_04G3590	XP_056081135.1
SMKI_04G3600	XP_056081136.1
SMKI_04G3610	XP_056081137.1
SMKI_04G3620	XP_056081138.1
SMKI_04G3630	XP_056081139.1
SMKI_04G3640	XP_056081140.1
SMKI_04G3650	XP_056081141.1
SMKI_04G3660	XP_056081142.1
SMKI_04G3670	XP_056081143.1
SMKI_04G3680	XP_056081144.1
SMKI_04G3690	XP_056081145.1
SMKI_04G3700	XP_056081146.1
SMKI_04G3710	XP_056081147.1
SMKI_04G3720	XP_056081148.1
SMKI_04G3730	XP_056081149.1
SMKI_04G3740	XP_056081150.1
SMKI_04G3750	XP_056081151.1
SMKI_04G3760	XP_056081152.1
SMKI_04G3770	XP_056081153.1
SMKI_04G3780	XP_056081154.1
SMKI_04G3790	XP_056081155.1
SMKI_04G3800	XP_056081156.1
SMKI_04G3810	XP_056081157.1
SMKI_04G3820	XP_056081158.1
SMKI_04G3830	XP_056081159.1
SMKI_04G3840	XP_056081160.1
SMKI_04G3850	XP_056081161.1
SMKI_04G3860	XP_056081162.1
SMKI_04G3870	XP_056081163.1
SMKI_04G3880	XP_056081164.1
SMKI_04G3890	XP_056081165.1
SMKI_04G3900	XP_056081166.1
SMKI_04G3910	XP_056081167.1
SMKI_04G3920	XP_056081168.1
SMKI_04G3930	XP_056081169.1
SMKI_04G3940	XP_056081170.1
SMKI_04G3950	XP_056081171.1
SMKI_04G3960	XP_056081172.1
SMKI_04G3970	XP_056081173.1
SMKI_04G3980	XP_056081174.1
SMKI_04G3990	XP_056081175.1
SMKI_04G4010	XP_056081176.1
SMKI_04G4020	XP_056081177.1
SMKI_04G4030	XP_056081178.1
SMKI_04G4040	XP_056081179.1
SMKI_04G4050	XP_056081180.1
SMKI_04G4060	XP_056081181.1
SMKI_04G4070	XP_056081182.1
SMKI_04G4080	XP_056081183.1
SMKI_04G4090	XP_056081184.1
SMKI_04G4100	XP_056081185.1
SMKI_04G4110	XP_056081186.1
SMKI_04G4120	XP_056081187.1
SMKI_04G4130	XP_056081188.1
SMKI_04G4140	XP_056081189.1
SMKI_04G4150	XP_056081190.1
SMKI_04G4160	XP_056081191.1
SMKI_04G4170	XP_056081192.1
SMKI_04G4180	XP_056081193.1
SMKI_04G4190	XP_056081194.1
SMKI_04G4200	XP_056081195.1
SMKI_04G4210	XP_056081196.1
SMKI_04G4220	XP_056081197.1
SMKI_04G4230	XP_056081198.1
SMKI_04G4240	XP_056081199.1
SMKI_04G4250	XP_056081200.1
SMKI_04G4260	XP_056081201.1
SMKI_04G4270	XP_056081202.1
SMKI_04G4280	XP_056081203.1
SMKI_04G4290	XP_056081204.1
SMKI_04G4300	XP_056081205.1
SMKI_04G4310	XP_056081206.1
SMKI_04G4320	XP_056081207.1
SMKI_04G4330	XP_056081208.1
SMKI_04G4340	XP_056081209.1
SMKI_04G4350	XP_056081210.1
SMKI_04G4360	XP_056081211.1
SMKI_04G4370	XP_056081212.1
SMKI_04G4380	XP_056081213.1
SMKI_04G4390	XP_056081214.1
SMKI_04G4400	XP_056081215.1
SMKI_04G4410	XP_056081216.1
SMKI_04G4420	XP_056081217.1
SMKI_04G4430	XP_056081218.1
SMKI_04G4440	XP_056081219.1
SMKI_04G4450	XP_056081220.1
SMKI_04G4460	XP_056081221.1
SMKI_04G4470	XP_056081222.1
SMKI_04G4480	XP_056081223.1
SMKI_04G4490	XP_056081224.1
SMKI_04G4500	XP_056081225.1
SMKI_04G4510	XP_056081226.1
SMKI_04G4520	XP_056081227.1
SMKI_04G4530	XP_056081228.1
SMKI_04G4540	XP_056081229.1
SMKI_04G4550	XP_056081230.1
SMKI_04G4560	XP_056081231.1
SMKI_04G4570	XP_056081232.1
SMKI_04G4580	XP_056081233.1
SMKI_04G4590	XP_056081234.1
SMKI_04G4600	XP_056081235.1
SMKI_04G4610	XP_056081236.1
SMKI_04G4620	XP_056081237.1
SMKI_04G4630	XP_056081238.1
SMKI_04G4640	XP_056081239.1
SMKI_04G4650	XP_056081240.1
SMKI_04G4660	XP_056081241.1
SMKI_04G4670	XP_056081242.1
SMKI_04G4680	XP_056081243.1
SMKI_04G4690	XP_056081244.1
SMKI_04G4700	XP_056081245.1
SMKI_04G4710	XP_056081246.1
SMKI_04G4720	XP_056081247.1
SMKI_04G4730	XP_056081248.1
SMKI_04G4740	XP_056081249.1
SMKI_04G4750	XP_056081250.1
SMKI_04G4760	XP_056081251.1
SMKI_04G4770	XP_056081252.1
SMKI_04G4780	XP_056081253.1
SMKI_04G4790	XP_056081254.1
SMKI_04G4800	XP_056081255.1
SMKI_04G4810	XP_056081256.1
SMKI_04G4820	XP_056081257.1
SMKI_04G4830	XP_056081258.1
SMKI_04G4840	XP_056081259.1
SMKI_04G4850	XP_056081260.1
SMKI_04G4860	XP_056081261.1
SMKI_04G4870	XP_056081262.1
SMKI_04G4880	XP_056081263.1
SMKI_04G4890	XP_056081264.1
SMKI_04G4900	XP_056081265.1
SMKI_04G4910	XP_056081266.1
SMKI_04G4930	XP_056081267.1
SMKI_04G4940	XP_056081268.1
SMKI_04G4950	XP_056081269.1
SMKI_04G4960	XP_056081270.1
SMKI_04G4970	XP_056081271.1
SMKI_04G4980	XP_056081272.1
SMKI_04G4990	XP_056081273.1
SMKI_04G5000	XP_056081274.1
SMKI_04G5010	XP_056081275.1
SMKI_04G5020	XP_056081276.1
SMKI_04G5030	XP_056081277.1
SMKI_04G5040	XP_056081278.1
SMKI_04G5050	XP_056081279.1
SMKI_04G5060	XP_056081280.1
SMKI_04G5065	XP_056081281.1
SMKI_04G5065	XP_056081281.1
SMKI_04G5070	XP_056081282.1
SMKI_04G5080	XP_056081283.1
SMKI_04G5090	XP_056081284.1
SMKI_04G5100	XP_056081285.1
SMKI_04G5110	XP_056081286.1
SMKI_04G5120	XP_056081287.1
SMKI_04G5130	XP_056081288.1
SMKI_04G5140	XP_056081289.1
SMKI_04G5150	XP_056081290.1
SMKI_04G5160	XP_056081291.1
SMKI_04G5170	XP_056081292.1
SMKI_04G5180	XP_056081293.1
SMKI_04G5190	XP_056081294.1
SMKI_04G5200	XP_056081295.1
SMKI_04G5210	XP_056081296.1
SMKI_04G5220	XP_056081297.1
SMKI_04G5230	XP_056081298.1
SMKI_04G5240	XP_056081299.1
SMKI_04G5250	XP_056081300.1
SMKI_04G5260	XP_056081301.1
SMKI_04G5270	XP_056081302.1
SMKI_04G5280	XP_056081303.1
SMKI_04G5290	XP_056081304.1
SMKI_04G5300	XP_056081305.1
SMKI_04G5310	XP_056081306.1
SMKI_04G5320	XP_056081307.1
SMKI_04G5330	XP_056081308.1
SMKI_04G5340	XP_056081309.1
SMKI_04G5350	XP_056081310.1
SMKI_04G5360	XP_056081311.1
SMKI_04G5370	XP_056081312.1
SMKI_04G5380	XP_056081313.1
SMKI_04G5390	XP_056081314.1
SMKI_04G5400	XP_056081315.1
SMKI_04G5410	XP_056081316.1
SMKI_04G5420	XP_056081317.1
SMKI_04G5430	XP_056081318.1
SMKI_04G5440	XP_056081319.1
SMKI_04G5450	XP_056081320.1
SMKI_04G5460	XP_056081321.1
SMKI_04G5470	XP_056081322.1
SMKI_04G5480	XP_056081323.1
SMKI_04G5490	XP_056081324.1
SMKI_04G5500	XP_056081325.1
SMKI_04G5510	XP_056081326.1
SMKI_04G5520	XP_056081327.1
SMKI_04G5530	XP_056081328.1
SMKI_04G5540	XP_056081329.1
SMKI_04G5560	XP_056081330.1
SMKI_04G5570	XP_056081331.1
SMKI_04G5580	XP_056081332.1
SMKI_04G5590	XP_056081333.1
SMKI_04G5600	XP_056081334.1
SMKI_04G5610	XP_056081335.1
SMKI_04G5620	XP_056081336.1
SMKI_04G5630	XP_056081337.1
SMKI_04G5650	XP_056081338.1
SMKI_04G5660	XP_056081339.1
SMKI_04G5670	XP_056081340.1
SMKI_04G5670	XP_056081340.1
SMKI_04G5680	XP_056081341.1
SMKI_04G5690	XP_056081342.1
SMKI_04G5700	XP_056081343.1
SMKI_04G5710	XP_056081344.1
SMKI_04G5730	XP_056081345.1
SMKI_04G5740	XP_056081346.1
SMKI_04G5750	XP_056081347.1
SMKI_04G5760	XP_056081348.1
SMKI_04G5770	XP_056081349.1
SMKI_04G5780	XP_056081350.1
SMKI_04G5790	XP_056081351.1
SMKI_04G5800	XP_056081352.1
SMKI_04G5810	XP_056081353.1
SMKI_04G5820	XP_056081354.1
SMKI_04G5830	XP_056081355.1
SMKI_04G5840	XP_056081356.1
SMKI_04G5840	XP_056081356.1
SMKI_04G5845	XP_056081357.1
SMKI_04G5845	XP_056081357.1
SMKI_04G5850	XP_056081358.1
SMKI_04G5860	XP_056081359.1
SMKI_04G5870	XP_056081360.1
SMKI_04G5880	XP_056081361.1
SMKI_04G5890	XP_056081362.1
SMKI_04G5900	XP_056081363.1
SMKI_04G5910	XP_056081364.1
SMKI_04G5920	XP_056081365.1
SMKI_04G5930	XP_056081366.1
SMKI_04G5940	XP_056081367.1
SMKI_04G5950	XP_056081368.1
SMKI_04G5960	XP_056081369.1
SMKI_04G5970	XP_056081370.1
SMKI_04G5980	XP_056081371.1
SMKI_04G5990	XP_056081372.1
SMKI_04G5990	XP_056081372.1
SMKI_04G6000	XP_056081373.1
SMKI_04G6010	XP_056081374.1
SMKI_04G6020	XP_056081375.1
SMKI_04G6030	XP_056081376.1
SMKI_04G6040	XP_056081377.1
SMKI_04G6050	XP_056081378.1
SMKI_04G6060	XP_056081379.1
SMKI_04G6070	XP_056081380.1
SMKI_04G6080	XP_056081381.1
SMKI_04G6090	XP_056081382.1
SMKI_04G6100	XP_056081383.1
SMKI_04G6110	XP_056081384.1
SMKI_04G6120	XP_056081385.1
SMKI_04G6130	XP_056081386.1
SMKI_04G6140	XP_056081387.1
SMKI_04G6150	XP_056081388.1
SMKI_04G6160	XP_056081389.1
SMKI_04G6170	XP_056081390.1
SMKI_04G6180	XP_056081391.1
SMKI_04G6190	XP_056081392.1
SMKI_04G6200	XP_056081393.1
SMKI_04G6210	XP_056081394.1
SMKI_04G6220	XP_056081395.1
SMKI_04G6225	XP_056081396.1
SMKI_04G6225	XP_056081396.1
SMKI_04G6225	XP_056081396.1
SMKI_04G6230	XP_056081397.1
SMKI_04G6240	XP_056081398.1
SMKI_04G6250	XP_056081399.1
SMKI_04G6260	XP_056081400.1
SMKI_04G6270	XP_056081401.1
SMKI_04G6280	XP_056081402.1
SMKI_04G6300	XP_056081403.1
SMKI_04G6310	XP_056081404.1
SMKI_04G6320	XP_056081405.1
SMKI_04G6330	XP_056081406.1
SMKI_04G6340	XP_056081407.1
SMKI_04G6350	XP_056081408.1
SMKI_04G6360	XP_056081409.1
SMKI_04G6370	XP_056081410.1
SMKI_04G6380	XP_056081411.1
SMKI_04G6390	XP_056081412.1
SMKI_04G6400	XP_056081413.1
SMKI_04G6410	XP_056081414.1
SMKI_04G6420	XP_056081415.1
SMKI_04G6420	XP_056081415.1
SMKI_04G6430	XP_056081416.1
SMKI_04G6440	XP_056081417.1
SMKI_04G6450	XP_056081418.1
SMKI_04G6450	XP_056081418.1
SMKI_04G6460	XP_056081419.1
SMKI_04G6470	XP_056081420.1
SMKI_04G6480	XP_056081421.1
SMKI_04G6490	XP_056081422.1
SMKI_04G6510	XP_056081423.1
SMKI_04G6520	XP_056081424.1
SMKI_04G6530	XP_056081425.1
SMKI_04G6540	XP_056081426.1
SMKI_04G6550	XP_056081427.1
SMKI_04G6560	XP_056081428.1
SMKI_04G6570	XP_056081429.1
SMKI_04G6580	XP_056081430.1
SMKI_04G6590	XP_056081431.1
SMKI_04G6600	XP_056081432.1
SMKI_04G6620	XP_056081433.1
SMKI_04G6630	XP_056081434.1
SMKI_04G6640	XP_056081435.1
SMKI_04G6650	XP_056081436.1
SMKI_04G6660	XP_056081437.1
SMKI_04G6670	XP_056081438.1
SMKI_04G6670	XP_056081438.1
SMKI_04G6680	XP_056081439.1
SMKI_04G6690	XP_056081440.1
SMKI_04G6700	XP_056081441.1
SMKI_04G6710	XP_056081442.1
SMKI_04G6720	XP_056081443.1
SMKI_04G6730	XP_056081444.1
SMKI_04G6740	XP_056081445.1
SMKI_04G6750	XP_056081446.1
SMKI_04G6760	XP_056081447.1
SMKI_04G6770	XP_056081448.1
SMKI_04G6780	XP_056081449.1
SMKI_04G6790	XP_056081450.1
SMKI_04G6800	XP_056081451.1
SMKI_04G6810	XP_056081452.1
SMKI_04G6820	XP_056081453.1
SMKI_04G6830	XP_056081454.1
SMKI_04G6840	XP_056081455.1
SMKI_04G6850	XP_056081456.1
SMKI_04G6860	XP_056081457.1
SMKI_04G6870	XP_056081458.1
SMKI_04G6880	XP_056081459.1
SMKI_04G6890	XP_056081460.1
SMKI_04G6900	XP_056081461.1
SMKI_04G6910	XP_056081462.1
SMKI_04G6920	XP_056081463.1
SMKI_04G6930	XP_056081464.1
SMKI_04G6940	XP_056081465.1
SMKI_04G6950	XP_056081466.1
SMKI_04G6960	XP_056081467.1
SMKI_04G6970	XP_056081468.1
SMKI_04G6980	XP_056081469.1
SMKI_04G6990	XP_056081470.1
SMKI_04G7000	XP_056081471.1
SMKI_04G7010	XP_056081472.1
SMKI_04G7020	XP_056081473.1
SMKI_04G7030	XP_056081474.1
SMKI_04G7040	XP_056081475.1
SMKI_04G7050	XP_056081476.1
SMKI_04G7060	XP_056081477.1
SMKI_04G7070	XP_056081478.1
SMKI_04G7080	XP_056081479.1
SMKI_04G7090	XP_056081480.1
SMKI_04G7100	XP_056081481.1
SMKI_04G7110	XP_056081482.1
SMKI_04G7120	XP_056081483.1
SMKI_04G7130	XP_056081484.1
SMKI_04G7140	XP_056081485.1
SMKI_04G7150	XP_056081486.1
SMKI_04G7160	XP_056081487.1
SMKI_04G7170	XP_056081488.1
SMKI_04G7180	XP_056081489.1
SMKI_04G7190	XP_056081490.1
SMKI_04G7200	XP_056081491.1
SMKI_04G7210	XP_056081492.1
SMKI_04G7220	XP_056081493.1
SMKI_04G7230	XP_056081494.1
SMKI_04G7240	XP_056081495.1
SMKI_04G7250	XP_056081496.1
SMKI_04G7260	XP_056081497.1
SMKI_04G7270	XP_056081498.1
SMKI_04G7280	XP_056081499.1
SMKI_04G7290	XP_056081500.1
SMKI_04G7300	XP_056081501.1
SMKI_04G7310	XP_056081502.1
SMKI_04G7320	XP_056081503.1
SMKI_04G7330	XP_056081504.1
SMKI_04G7340	XP_056081505.1
SMKI_05G0005	XP_056081506.1
SMKI_05G0010	XP_056081507.1
SMKI_05G0020	XP_056081508.1
SMKI_05G0030	XP_056081509.1
SMKI_05G0040	XP_056081510.1
SMKI_05G0050	XP_056081511.1
SMKI_05G0060	XP_056081512.1
SMKI_05G0070	XP_056081513.1
SMKI_05G0080	XP_056081514.1
SMKI_05G0090	XP_056081515.1
SMKI_05G0100	XP_056081516.1
SMKI_05G0110	XP_056081517.1
SMKI_05G0120	XP_056081518.1
SMKI_05G0130	XP_056081519.1
SMKI_05G0140	XP_056081520.1
SMKI_05G0150	XP_056081521.1
SMKI_05G0160	XP_056081522.1
SMKI_05G0170	XP_056081523.1
SMKI_05G0180	XP_056081524.1
SMKI_05G0190	XP_056081525.1
SMKI_05G0200	XP_056081526.1
SMKI_05G0210	XP_056081527.1
SMKI_05G0220	XP_056081528.1
SMKI_05G0230	XP_056081529.1
SMKI_05G0240	XP_056081530.1
SMKI_05G0250	XP_056081531.1
SMKI_05G0260	XP_056081532.1
SMKI_05G0270	XP_056081533.1
SMKI_05G0280	XP_056081534.1
SMKI_05G0290	XP_056081535.1
SMKI_05G0300	XP_056081536.1
SMKI_05G0310	XP_056081537.1
SMKI_05G0320	XP_056081538.1
SMKI_05G0330	XP_056081539.1
SMKI_05G0340	XP_056081540.1
SMKI_05G0350	XP_056081541.1
SMKI_05G0360	XP_056081542.1
SMKI_05G0370	XP_056081543.1
SMKI_05G0380	XP_056081544.1
SMKI_05G0390	XP_056081545.1
SMKI_05G0400	XP_056081546.1
SMKI_05G0410	XP_056081547.1
SMKI_05G0420	XP_056081548.1
SMKI_05G0430	XP_056081549.1
SMKI_05G0440	XP_056081550.1
SMKI_05G0460	XP_056081551.1
SMKI_05G0470	XP_056081552.1
SMKI_05G0480	XP_056081553.1
SMKI_05G0490	XP_056081554.1
SMKI_05G0500	XP_056081555.1
SMKI_05G0510	XP_056081556.1
SMKI_05G0520	XP_056081557.1
SMKI_05G0530	XP_056081558.1
SMKI_05G0540	XP_056081559.1
SMKI_05G0550	XP_056081560.1
SMKI_05G0570	XP_056081561.1
SMKI_05G0580	XP_056081562.1
SMKI_05G0590	XP_056081563.1
SMKI_05G0600	XP_056081564.1
SMKI_05G0610	XP_056081565.1
SMKI_05G0620	XP_056081566.1
SMKI_05G0630	XP_056081567.1
SMKI_05G0640	XP_056081568.1
SMKI_05G0650	XP_056081569.1
SMKI_05G0660	XP_056081570.1
SMKI_05G0660	XP_056081570.1
SMKI_05G0670	XP_056081571.1
SMKI_05G0680	XP_056081572.1
SMKI_05G0690	XP_056081573.1
SMKI_05G0700	XP_056081574.1
