DI49_0001	XP_018224050.1
DI49_0900	XP_018222916.1
DI49_0901	XP_018222917.1
DI49_0902	XP_018222918.1
DI49_0903	XP_018222919.1
DI49_0904	XP_018222920.1
DI49_0905	XP_018222921.1
DI49_0906	XP_018222922.1
DI49_0907	XP_018222923.1
DI49_0908	XP_018222924.1
DI49_0909	XP_018222925.1
DI49_0910	XP_018222926.1
DI49_0911	XP_018222927.1
DI49_0912	XP_018222928.1
DI49_0913	XP_018222929.1
DI49_0914	XP_018222930.1
DI49_0915	XP_018222931.1
DI49_0916	XP_018222932.1
DI49_0917	XP_018222933.1
DI49_0918	XP_018222934.1
DI49_0919	XP_018222935.1
DI49_0920	XP_018222936.1
DI49_0921	XP_018222937.1
DI49_0922	XP_018222938.1
DI49_0923	XP_018222939.1
DI49_0924	XP_018222940.1
DI49_0925	XP_018222941.1
DI49_0926	XP_018222942.1
DI49_0927	XP_018222943.1
DI49_0928	XP_018222944.1
DI49_0929	XP_018222945.1
DI49_0930	XP_018222946.1
DI49_0931	XP_018222947.1
DI49_0932	XP_018222948.1
DI49_0933	XP_018222949.1
DI49_0934	XP_018222950.1
DI49_0935	XP_018222951.1
DI49_0936	XP_018222952.1
DI49_0937	XP_018222953.1
DI49_0938	XP_018222954.1
DI49_0939	XP_018222955.1
DI49_0940	XP_018222956.1
DI49_0941	XP_018222957.1
DI49_0942	XP_018222958.1
DI49_0943	XP_018222959.1
DI49_0944	XP_018222960.1
DI49_0945	XP_018222961.1
DI49_0946	XP_018222962.1
DI49_0947	XP_018222963.1
DI49_0948	XP_018222964.1
DI49_0949	XP_018222965.1
DI49_0950	XP_018222966.1
DI49_0951	XP_018222967.1
DI49_0952	XP_018222968.1
DI49_0953	XP_018222969.1
DI49_0954	XP_018222970.1
DI49_0955	XP_018222971.1
DI49_0955	XP_018222971.1
DI49_0956	XP_018222972.1
DI49_0957	XP_018222973.1
DI49_0958	XP_018222974.1
DI49_0959	XP_018222975.1
DI49_0960	XP_018222976.1
DI49_0961	XP_018222977.1
DI49_0962	XP_018222978.1
DI49_0963	XP_018222979.1
DI49_0964	XP_018222980.1
DI49_0965	XP_018222981.1
DI49_0966	XP_018222982.1
DI49_0967	XP_018222983.1
DI49_0968	XP_018222984.1
DI49_0969	XP_018222985.1
DI49_0970	XP_018222986.1
DI49_0971	XP_018222987.1
DI49_0972	XP_018222988.1
DI49_0973	XP_018222989.1
DI49_0974	XP_018222990.1
DI49_0975	XP_018222991.1
DI49_0976	XP_018222992.1
DI49_0977	XP_018222993.1
DI49_0978	XP_018222994.1
DI49_0979	XP_018222995.1
DI49_0980	XP_018222996.1
DI49_0981	XP_018222997.1
DI49_0982	XP_018222998.1
DI49_0983	XP_018222999.1
DI49_0984	XP_018223000.1
DI49_0985	XP_018223001.1
DI49_0985	XP_018223001.1
DI49_0986	XP_018223002.1
DI49_0987	XP_018223003.1
DI49_0988	XP_018223004.1
DI49_0989	XP_018223005.1
DI49_0990	XP_018223006.1
DI49_0991	XP_018223007.1
DI49_0991	XP_018223007.1
DI49_0992	XP_018223008.1
DI49_0993	XP_018223009.1
DI49_0994	XP_018223010.1
DI49_0995	XP_018223011.1
DI49_0996	XP_018223012.1
DI49_0997	XP_018223013.1
DI49_0998	XP_018223014.1
DI49_0999	XP_018223015.1
DI49_1000	XP_018223016.1
DI49_1001	XP_018223017.1
DI49_1002	XP_018223018.1
DI49_1003	XP_018223019.1
DI49_1004	XP_018223020.1
DI49_1005	XP_018223021.1
DI49_1006	XP_018223022.1
DI49_1007	XP_018223023.1
DI49_1009	XP_018223024.1
DI49_1010	XP_018223025.1
DI49_1011	XP_018223026.1
DI49_1012	XP_018223027.1
DI49_1013	XP_018223028.1
DI49_1014	XP_018223029.1
DI49_1015	XP_018223030.1
DI49_1016	XP_018223031.1
DI49_1017	XP_018223032.1
DI49_1018	XP_018223033.1
DI49_1019	XP_018223034.1
DI49_1020	XP_018223035.1
DI49_1021	XP_018223036.1
DI49_1022	XP_018223037.1
DI49_1023	XP_018223038.1
DI49_1024	XP_018223039.1
DI49_1025	XP_018223040.1
DI49_1026	XP_018223041.1
DI49_1027	XP_018223042.1
DI49_1028	XP_018223043.1
DI49_1029	XP_018223044.1
DI49_1030	XP_018223045.1
DI49_1032	XP_018223046.1
DI49_1033	XP_018223047.1
DI49_1034	XP_018223048.1
DI49_1035	XP_018223049.1
DI49_1036	XP_018223050.1
DI49_1037	XP_018223051.1
DI49_1038	XP_018223052.1
DI49_1039	XP_018223053.1
DI49_1040	XP_018223054.1
DI49_1041	XP_018223055.1
DI49_1042	XP_018223056.1
DI49_1043	XP_018223057.1
DI49_1045	XP_018223058.1
DI49_1047	XP_018223059.1
DI49_1048	XP_018223060.1
DI49_1049	XP_018223061.1
DI49_1050	XP_018223062.1
DI49_1051	XP_018223063.1
DI49_1052	XP_018223064.1
DI49_1053	XP_018223065.1
DI49_1054	XP_018223066.1
DI49_1055	XP_018223067.1
DI49_1056	XP_018223068.1
DI49_1057	XP_018223069.1
DI49_1058	XP_018223070.1
DI49_1059	XP_018223071.1
DI49_1060	XP_018223072.1
DI49_1061	XP_018223073.1
DI49_1062	XP_018223074.1
DI49_1063	XP_018223075.1
DI49_1064	XP_018223076.1
DI49_1065	XP_018223077.1
DI49_1066	XP_018223078.1
DI49_1067	XP_018223079.1
DI49_1068	XP_018223080.1
DI49_1069	XP_018223081.1
DI49_1070	XP_018223082.1
DI49_1071	XP_018223083.1
DI49_1072	XP_018223084.1
DI49_1073	XP_018223085.1
DI49_1075	XP_018223086.1
DI49_1076	XP_018223087.1
DI49_1077	XP_018223088.1
DI49_1078	XP_018223089.1
DI49_1078	XP_018223089.1
DI49_1079	XP_018223090.1
DI49_1080	XP_018223091.1
DI49_1081	XP_018223092.1
DI49_1082	XP_018223093.1
DI49_1083	XP_018223094.1
DI49_1084	XP_018223095.1
DI49_1086	XP_018223096.1
DI49_1088	XP_018223097.1
DI49_1089	XP_018223098.1
DI49_1090	XP_018223099.1
DI49_1091	XP_018223100.1
DI49_1092	XP_018223101.1
DI49_1093	XP_018223102.1
DI49_1094	XP_018223103.1
DI49_1095	XP_070058213.1
DI49_1096	XP_018223104.1
DI49_1097	XP_018223105.1
DI49_1098	XP_018223106.1
DI49_1099	XP_018223107.1
DI49_1100	XP_018223108.1
DI49_1101	XP_018223109.1
DI49_1102	XP_018223110.1
DI49_1103	XP_018223111.1
DI49_1104	XP_018223112.1
DI49_1105	XP_018223113.1
DI49_1106	XP_018223114.1
DI49_1107	XP_018223115.1
DI49_1108	XP_018223116.1
DI49_1109	XP_018223117.1
DI49_1110	XP_018223118.1
DI49_1111	XP_018223119.1
DI49_1112	XP_018223120.1
DI49_1115	XP_018223121.1
DI49_1116	XP_018223122.1
DI49_1117	XP_018223123.1
DI49_1118	XP_018223124.1
DI49_1119	XP_018223125.1
DI49_1120	XP_018223126.1
DI49_1121	XP_018223127.1
DI49_1122	XP_018223128.1
DI49_1123	XP_018223129.1
DI49_1124	XP_018223130.1
DI49_1125	XP_018223131.1
DI49_1126	XP_018223132.1
DI49_1127	XP_018223133.1
DI49_1128	XP_018223134.1
DI49_1129	XP_018223135.1
DI49_1130	XP_018223136.1
DI49_1131	XP_018223137.1
DI49_1132	XP_018223138.1
DI49_1133	XP_018223139.1
DI49_1134	XP_018223140.1
DI49_1135	XP_018223141.1
DI49_1136	XP_018223142.1
DI49_1137	XP_018223143.1
DI49_1138	XP_018223144.1
DI49_1139	XP_018223145.1
DI49_1140	XP_018223146.1
DI49_1141	XP_018223147.1
DI49_1143	XP_018223148.1
DI49_1144	XP_018223149.1
DI49_1145	XP_018223150.1
DI49_1146	XP_018223151.1
DI49_1147	XP_018223152.1
DI49_1148	XP_018223153.1
DI49_1149	XP_018223154.1
DI49_1150	XP_018223155.1
DI49_1150	XP_018223155.1
DI49_1151	XP_018223156.1
DI49_1152	XP_018223157.1
DI49_1153	XP_018223158.1
DI49_1154	XP_018223159.1
DI49_1155	XP_018223160.1
DI49_1156	XP_018223161.1
DI49_1157	XP_018223162.1
DI49_1158	XP_018223163.1
DI49_1159	XP_018223164.1
DI49_1160	XP_018223165.1
DI49_1161	XP_018223166.1
DI49_1162	XP_018223167.1
DI49_1163	XP_018223168.1
DI49_1164	XP_018223169.1
DI49_1165	XP_018223170.1
DI49_1166	XP_018223171.1
DI49_1167	XP_018223172.1
DI49_1168	XP_018223173.1
DI49_1169	XP_018223174.1
DI49_1170	XP_018223175.1
DI49_1171	XP_018223176.1
DI49_1172	XP_018223177.1
DI49_1173	XP_018223178.1
DI49_1174	XP_018223179.1
DI49_1175	XP_018223180.1
DI49_1176	XP_018223181.1
DI49_1177	XP_018223182.1
DI49_1178	XP_018223183.1
DI49_1179	XP_018223184.1
DI49_1180	XP_018223185.1
DI49_1181	XP_018223186.1
DI49_1182	XP_018223187.1
DI49_1183	XP_018223188.1
DI49_1184	XP_018223189.1
DI49_1185	XP_018223190.1
DI49_1186	XP_018223191.1
DI49_1187	XP_018223192.1
DI49_1188	XP_018223193.1
DI49_1189	XP_018223194.1
DI49_1190	XP_018223195.1
DI49_1191	XP_018223196.1
DI49_1192	XP_018223197.1
DI49_1193	XP_018223198.1
DI49_1194	XP_018223199.1
DI49_1195	XP_018223200.1
DI49_1196	XP_018223201.1
DI49_1197	XP_018223202.1
DI49_1198	XP_018223203.1
DI49_1199	XP_018223204.1
DI49_1200	XP_018223205.1
DI49_1201	XP_018223206.1
DI49_1202	XP_018223207.1
DI49_1203	XP_018223208.1
DI49_1204	XP_018223209.1
DI49_1205	XP_018223210.1
DI49_1206	XP_018223211.1
DI49_1207	XP_018223212.1
DI49_1208	XP_018223213.1
DI49_1209	XP_018223214.1
DI49_1210	XP_018223215.1
DI49_1211	XP_018223216.1
DI49_1212	XP_018223217.1
DI49_1212	XP_018223217.1
DI49_1213	XP_018223218.1
DI49_1214	XP_018223219.1
DI49_1215	XP_018223220.1
DI49_1216	XP_018223221.1
DI49_1216	XP_018223221.1
DI49_1217	XP_018223222.1
DI49_1218	XP_018223223.1
DI49_1219	XP_018223224.1
DI49_1220	XP_018223225.1
DI49_1221	XP_018223226.1
DI49_1222	XP_018223227.1
DI49_1223	XP_018223228.1
DI49_1224	XP_018223229.1
DI49_1225	XP_018223230.1
DI49_1226	XP_018223231.1
DI49_1227	XP_018223232.1
DI49_1228	XP_018223233.1
DI49_1229	XP_018223234.1
DI49_1230	XP_018223235.1
DI49_1231	XP_018223236.1
DI49_1232	XP_018223237.1
DI49_1233	XP_018223238.1
DI49_1236	XP_018223239.1
DI49_1237	XP_018223240.1
DI49_1238	XP_018223241.1
DI49_1239	XP_018223242.1
DI49_1240	XP_018223243.1
DI49_1241	XP_018223244.1
DI49_1242	XP_018223245.1
DI49_1243	XP_018223246.1
DI49_1244	XP_018223247.1
DI49_1245	XP_018223248.1
DI49_1246	XP_018223249.1
DI49_1247	XP_018223250.1
DI49_1248	XP_018223251.1
DI49_1249	XP_018223252.1
DI49_1250	XP_018223253.1
DI49_1251	XP_018223254.1
DI49_1252	XP_018223255.1
DI49_1253	XP_018223256.1
DI49_1254	XP_018223257.1
DI49_1255	XP_018223258.1
DI49_1256	XP_018223259.1
DI49_1257	XP_018223260.1
DI49_1258	XP_018223261.1
DI49_1259	XP_018223262.1
DI49_1260	XP_018223263.1
DI49_1261	XP_018223264.1
DI49_1262	XP_018223265.1
DI49_1263	XP_018223266.1
DI49_1264	XP_018223267.1
DI49_1265	XP_018223268.1
DI49_1266	XP_018223269.1
DI49_1267	XP_018223270.1
DI49_1268	XP_018223271.1
DI49_1269	XP_018223272.1
DI49_1270	XP_018223273.1
DI49_1271	XP_018223274.1
DI49_1272	XP_018223275.1
DI49_1273	XP_018223276.1
DI49_1274	XP_018223277.1
DI49_1275	XP_018223278.1
DI49_1276	XP_018223279.1
DI49_1277	XP_018223280.1
DI49_1278	XP_018223281.1
DI49_1279	XP_018223282.1
DI49_1280	XP_018223283.1
DI49_1280	XP_018223283.1
DI49_1281	XP_018223284.1
DI49_1282	XP_018223285.1
DI49_1283	XP_018223286.1
DI49_1284	XP_018223287.1
DI49_1285	XP_018223288.1
DI49_1286	XP_018223289.1
DI49_1287	XP_018223290.1
DI49_1288	XP_018223291.1
DI49_1289	XP_018223292.1
DI49_1290	XP_018223293.1
DI49_1291	XP_018223294.1
DI49_1292	XP_018223295.1
DI49_1293	XP_018223296.1
DI49_1294	XP_018223297.1
DI49_1295	XP_018223298.1
DI49_1296	XP_018223299.1
DI49_1297	XP_018223300.1
DI49_1298	XP_018223301.1
DI49_1299	XP_018223302.1
DI49_1300	XP_018223303.1
DI49_1301	XP_018223304.1
DI49_1302	XP_018223305.1
DI49_1303	XP_018223306.1
DI49_1304	XP_018223307.1
DI49_1305	XP_018223308.1
DI49_1306	XP_018223309.1
DI49_1307	XP_018223310.1
DI49_1308	XP_018223311.1
DI49_1309	XP_018223312.1
DI49_1310	XP_018223313.1
DI49_1311	XP_018223314.1
DI49_1312	XP_018223315.1
DI49_1313	XP_018223316.1
DI49_1314	XP_018223317.1
DI49_1315	XP_018223318.1
DI49_1316	XP_018223319.1
DI49_1317	XP_018223320.1
DI49_1318	XP_018223321.1
DI49_1319	XP_018223322.1
DI49_1320	XP_018223323.1
DI49_1321	XP_018223324.1
DI49_1322	XP_018222596.1
DI49_1323	XP_018222597.1
DI49_1324	XP_018222598.1
DI49_1325	XP_018222599.1
DI49_1326	XP_018222600.1
DI49_1327	XP_018222601.1
DI49_1328	XP_018222602.1
DI49_1329	XP_018222603.1
DI49_1330	XP_018222604.1
DI49_1331	XP_018222605.1
DI49_1332	XP_018222606.1
DI49_1333	XP_018222607.1
DI49_1334	XP_018222608.1
DI49_1335	XP_018222609.1
DI49_1336	XP_018222610.1
DI49_1337	XP_018222611.1
DI49_1338	XP_018222612.1
DI49_1339	XP_018222613.1
DI49_1340	XP_018222614.1
DI49_1341	XP_018222615.1
DI49_1342	XP_018222616.1
DI49_1343	XP_018222617.1
DI49_1345	XP_018222618.1
DI49_1346	XP_018222619.1
DI49_1347	XP_018222620.1
DI49_1348	XP_018222621.1
DI49_1349	XP_018222622.1
DI49_1350	XP_018222623.1
DI49_1351	XP_018222624.1
DI49_1352	XP_018222625.1
DI49_1353	XP_018222626.1
DI49_1354	XP_018222627.1
DI49_1355	XP_018222628.1
DI49_1356	XP_018222629.1
DI49_1357	XP_018222630.1
DI49_1358	XP_018222631.1
DI49_1360	XP_018222632.1
DI49_1361	XP_018222633.1
DI49_1362	XP_018222634.1
DI49_1363	XP_018222635.1
DI49_1365	XP_018222636.1
DI49_1366	XP_018222637.1
DI49_1367	XP_018222638.1
DI49_1368	XP_018222639.1
DI49_1369	XP_018222640.1
DI49_1370	XP_018222641.1
DI49_1372	XP_018222642.1
DI49_1373	XP_018222643.1
DI49_1375	XP_018222644.1
DI49_1376	XP_018222645.1
DI49_1377	XP_018222646.1
DI49_1378	XP_018222647.1
DI49_1379	XP_018222648.1
DI49_1380	XP_018222649.1
DI49_1381	XP_018222650.1
DI49_1382	XP_018222651.1
DI49_1383	XP_018222652.1
DI49_1384	XP_018222653.1
DI49_1385	XP_018222654.1
DI49_1387	XP_018222655.1
DI49_1388	XP_018222656.1
DI49_1389	XP_018222657.1
DI49_1390	XP_018222658.1
DI49_1391	XP_018222659.1
DI49_1392	XP_018222660.1
DI49_1393	XP_018222661.1
DI49_1393	XP_018222661.1
DI49_1394	XP_018222662.1
DI49_1395	XP_018222663.1
DI49_1396	XP_018222664.1
DI49_1397	XP_018222665.1
DI49_1398	XP_018222666.1
DI49_1399	XP_018222667.1
DI49_1400	XP_018222668.1
DI49_1401	XP_018222669.1
DI49_1402	XP_018222670.1
DI49_1403	XP_018222671.1
DI49_1404	XP_018222672.1
DI49_1405	XP_018222673.1
DI49_1406	XP_018222674.1
DI49_1408	XP_018222675.1
DI49_1409	XP_018222676.1
DI49_1410	XP_018222677.1
DI49_1411	XP_018222678.1
DI49_1412	XP_018222679.1
DI49_1413	XP_018222680.1
DI49_1414	XP_018222681.1
DI49_1415	XP_018222682.1
DI49_1416	XP_018222683.1
DI49_1417	XP_018222684.1
DI49_1418	XP_018222685.1
DI49_1419	XP_018222686.1
DI49_1420	XP_018222687.1
DI49_1421	XP_018222688.1
DI49_1422	XP_018222689.1
DI49_1423	XP_018222690.1
DI49_1425	XP_018222691.1
DI49_1426	XP_018222692.1
DI49_1427	XP_018222693.1
DI49_1428	XP_018222694.1
DI49_1429	XP_018222695.1
DI49_1430	XP_018222696.1
DI49_1431	XP_018222697.1
DI49_1432	XP_018222698.1
DI49_1433	XP_018222699.1
DI49_1434	XP_018222700.1
DI49_1435	XP_018222701.1
DI49_1436	XP_018222702.1
DI49_1437	XP_018222703.1
DI49_1438	XP_018222704.1
DI49_1439	XP_018222705.1
DI49_1440	XP_018222706.1
DI49_1441	XP_018222707.1
DI49_1442	XP_018222708.1
DI49_1443	XP_018222709.1
DI49_1444	XP_018222710.1
DI49_1445	XP_018222711.1
DI49_1446	XP_018222712.1
DI49_1447	XP_018222713.1
DI49_1448	XP_018222714.1
DI49_1450	XP_018222715.1
DI49_1451	XP_018222716.1
DI49_1452	XP_018222717.1
DI49_1453	XP_018222718.1
DI49_1454	XP_018222719.1
DI49_1455	XP_018222720.1
DI49_1456	XP_018222721.1
DI49_1457	XP_018222722.1
DI49_1458	XP_018222723.1
DI49_1459	XP_018222724.1
DI49_1460	XP_018222725.1
DI49_1461	XP_018222726.1
DI49_1462	XP_018222727.1
DI49_1463	XP_018222728.1
DI49_1464	XP_018222729.1
DI49_1465	XP_018222730.1
DI49_1466	XP_018222731.1
DI49_1467	XP_018222732.1
DI49_1468	XP_018222733.1
DI49_1469	XP_018222734.1
DI49_1471	XP_018222735.1
DI49_1472	XP_018222736.1
DI49_1473	XP_018222737.1
DI49_1474	XP_018222738.1
DI49_1475	XP_018222739.1
DI49_1476	XP_018222740.1
DI49_1477	XP_018222741.1
DI49_1478	XP_018222742.1
DI49_1478	XP_018222742.1
DI49_1479	XP_018222743.1
DI49_1479	XP_018222743.1
DI49_1480	XP_018222744.1
DI49_1482	XP_018222745.1
DI49_1483	XP_018222746.1
DI49_1484	XP_018222747.1
DI49_1485	XP_018222748.1
DI49_1486	XP_018222749.1
DI49_1487	XP_018222750.1
DI49_1488	XP_018222751.1
DI49_1489	XP_018222752.1
DI49_1490	XP_018222753.1
DI49_1491	XP_018222754.1
DI49_1492	XP_018222755.1
DI49_1493	XP_018222756.1
DI49_1494	XP_018222757.1
DI49_1495	XP_018222758.1
DI49_1496	XP_018222759.1
DI49_1497	XP_018222760.1
DI49_1498	XP_018222761.1
DI49_1499	XP_018222762.1
DI49_1500	XP_018222763.1
DI49_1501	XP_018222764.1
DI49_1502	XP_018222765.1
DI49_1504	XP_018222766.1
DI49_1505	XP_018222767.1
DI49_1506	XP_018222768.1
DI49_1507	XP_018222769.1
DI49_1508	XP_018222770.1
DI49_1509	XP_018222771.1
DI49_1510	XP_018222772.1
DI49_1511	XP_018222773.1
DI49_1512	XP_018222774.1
DI49_1513	XP_018222775.1
DI49_1514	XP_018222776.1
DI49_1515	XP_018222777.1
DI49_1516	XP_018222778.1
DI49_1517	XP_018222779.1
DI49_1518	XP_018222780.1
DI49_1519	XP_018222781.1
DI49_1520	XP_018222782.1
DI49_1521	XP_018222783.1
DI49_1522	XP_018222784.1
DI49_1522	XP_018222784.1
DI49_1523	XP_018222785.1
DI49_1524	XP_018222786.1
DI49_1525	XP_018222787.1
DI49_1526	XP_018222788.1
DI49_1527	XP_018222789.1
DI49_1528	XP_018222790.1
DI49_1529	XP_018222791.1
DI49_1530	XP_018222792.1
DI49_1531	XP_018222793.1
DI49_1532	XP_018222794.1
DI49_1533	XP_018222795.1
DI49_1534	XP_018222796.1
DI49_1535	XP_018222797.1
DI49_1536	XP_018222798.1
DI49_1538	XP_018222799.1
DI49_1540	XP_018222800.1
DI49_1542	XP_018222801.1
DI49_1543	XP_018222802.1
DI49_1545	XP_018222803.1
DI49_1546	XP_018222804.1
DI49_1547	XP_018222805.1
DI49_1548	XP_018222806.1
DI49_1549	XP_018222807.1
DI49_1550	XP_018222808.1
DI49_1551	XP_018222809.1
DI49_1552	XP_018222810.1
DI49_1553	XP_018222811.1
DI49_1554	XP_018222812.1
DI49_1555	XP_018222813.1
DI49_1556	XP_018222814.1
DI49_1557	XP_018222815.1
DI49_1558	XP_018222816.1
DI49_1560	XP_018222817.1
DI49_1561	XP_018222818.1
DI49_1562	XP_018222819.1
DI49_1563	XP_018222820.1
DI49_1564	XP_018222821.1
DI49_1565	XP_018222822.1
DI49_1566	XP_018222823.1
DI49_1569	XP_018222824.1
DI49_1570	XP_018222825.1
DI49_1572	XP_018222826.1
DI49_1573	XP_018222827.1
DI49_1574	XP_018222828.1
DI49_1575	XP_018222829.1
DI49_1576	XP_018222830.1
DI49_1577	XP_018222831.1
DI49_1578	XP_018222832.1
DI49_1579	XP_018222833.1
DI49_1580	XP_018222834.1
DI49_1581	XP_018222835.1
DI49_1582	XP_018222836.1
DI49_1583	XP_018222837.1
DI49_1584	XP_018222838.1
DI49_1585	XP_018222839.1
DI49_1586	XP_018222840.1
DI49_1587	XP_018222841.1
DI49_1588	XP_018222842.1
DI49_1589	XP_018222843.1
DI49_1590	XP_018222844.1
DI49_1592	XP_018222845.1
DI49_1593	XP_018222846.1
DI49_1594	XP_018222847.1
DI49_1595	XP_018222848.1
DI49_1596	XP_018222849.1
DI49_1597	XP_018222850.1
DI49_1598	XP_018222851.1
DI49_1599	XP_018222852.1
DI49_1600	XP_018222853.1
DI49_1601	XP_018222854.1
DI49_1602	XP_018222855.1
DI49_1603	XP_018222856.1
DI49_1604	XP_018222857.1
DI49_1605	XP_018222489.1
DI49_1606	XP_018222490.1
DI49_1607	XP_018222491.1
DI49_1608	XP_018222492.1
DI49_1609	XP_018222493.1
DI49_1610	XP_018222494.1
DI49_1611	XP_018222495.1
DI49_1612	XP_018222496.1
DI49_1613	XP_018222497.1
DI49_1614	XP_018222498.1
DI49_1615	XP_018222499.1
DI49_1616	XP_018222500.1
DI49_1617	XP_018222501.1
DI49_1618	XP_018222502.1
DI49_1619	XP_018222503.1
DI49_1620	XP_018222504.1
DI49_1621	XP_018222505.1
DI49_1622	XP_018222506.1
DI49_1623	XP_018222507.1
DI49_1624	XP_018222508.1
DI49_1625	XP_018222509.1
DI49_1626	XP_018222510.1
DI49_1627	XP_018222511.1
DI49_1628	XP_018222512.1
DI49_1629	XP_018222513.1
DI49_1630	XP_018222514.1
DI49_1631	XP_018222515.1
DI49_1632	XP_018222516.1
DI49_1633	XP_018222517.1
DI49_1634	XP_018222518.1
DI49_1636	XP_018222519.1
DI49_1637	XP_018222520.1
DI49_1638	XP_018222521.1
DI49_1639	XP_018222522.1
DI49_1640	XP_018222523.1
DI49_1641	XP_018222524.1
DI49_1642	XP_018222525.1
DI49_1643	XP_018222526.1
DI49_1644	XP_018222527.1
DI49_1645	XP_018222528.1
DI49_1646	XP_018222529.1
DI49_1647	XP_018222530.1
DI49_1648	XP_018222531.1
DI49_1649	XP_018222532.1
DI49_1650	XP_018222533.1
DI49_1652	XP_018222534.1
DI49_1653	XP_018222535.1
DI49_1654	XP_018222536.1
DI49_1655	XP_018222537.1
DI49_1656	XP_018222538.1
DI49_1657	XP_018222539.1
DI49_1658	XP_018222540.1
DI49_1659	XP_018222541.1
DI49_1661	XP_018222542.1
DI49_1662	XP_018222543.1
DI49_1663	XP_018222544.1
DI49_1664	XP_018222545.1
DI49_1665	XP_018222546.1
DI49_1666	XP_018222547.1
DI49_1667	XP_018222548.1
DI49_1668	XP_018222549.1
DI49_1670	XP_018222550.1
DI49_1671	XP_018222551.1
DI49_1672	XP_018222552.1
DI49_1674	XP_018222553.1
DI49_1675	XP_018222554.1
DI49_1676	XP_018222555.1
DI49_1678	XP_018222556.1
DI49_1679	XP_018222557.1
DI49_1680	XP_018222558.1
DI49_1681	XP_018222559.1
DI49_1682	XP_018222560.1
DI49_1684	XP_018222561.1
DI49_1685	XP_018222562.1
DI49_1687	XP_018222563.1
DI49_1688	XP_018222564.1
DI49_1689	XP_018222565.1
DI49_1690	XP_018222566.1
DI49_1691	XP_018222567.1
DI49_1692	XP_018222568.1
DI49_1693	XP_018222569.1
DI49_1694	XP_018222570.1
DI49_1695	XP_018222571.1
DI49_1697	XP_018222572.1
DI49_1698	XP_018222573.1
DI49_1699	XP_018222574.1
DI49_1700	XP_018222575.1
DI49_1701	XP_018222576.1
DI49_1702	XP_018222577.1
DI49_1703	XP_018222578.1
DI49_1704	XP_018222579.1
DI49_1705	XP_018222580.1
DI49_1706	XP_018222581.1
DI49_1707	XP_018222582.1
DI49_1708	XP_018222583.1
DI49_1709	XP_018222584.1
DI49_1710	XP_018222585.1
DI49_1711	XP_018222586.1
DI49_1712	XP_018222587.1
DI49_1713	XP_018222588.1
DI49_1714	XP_018222589.1
DI49_1715	XP_018222590.1
DI49_1716	XP_018222591.1
DI49_1717	XP_018222592.1
DI49_1718	XP_018222593.1
DI49_1719	XP_018222594.1
DI49_1720	XP_018222595.1
DI49_1721	XP_018221993.1
DI49_1722	XP_018221994.1
DI49_1723	XP_018221995.1
DI49_1724	XP_018221996.1
DI49_1725	XP_018221997.1
DI49_1726	XP_018221998.1
DI49_1727	XP_018221999.1
DI49_1728	XP_018222000.1
DI49_1729	XP_018222001.1
DI49_1730	XP_018222002.1
DI49_1731	XP_018222003.1
DI49_1732	XP_018222004.1
DI49_1733	XP_018222005.1
DI49_1734	XP_018222006.1
DI49_1735	XP_018222007.1
DI49_1736	XP_018222008.1
DI49_1737	XP_018222009.1
DI49_1738	XP_018222010.1
DI49_1739	XP_018222011.1
DI49_1740	XP_018222012.1
DI49_1741	XP_018222013.1
DI49_1742	XP_018222014.1
DI49_1743	XP_018222015.1
DI49_1744	XP_018222016.1
DI49_1745	XP_018222017.1
DI49_1746	XP_018222018.1
DI49_1747	XP_018222019.1
DI49_1748	XP_018222020.1
DI49_1749	XP_018222021.1
DI49_1750	XP_018222022.1
DI49_1751	XP_018222023.1
DI49_1752	XP_018222024.1
DI49_1753	XP_018222025.1
DI49_1755	XP_018222026.1
DI49_1756	XP_018222027.1
DI49_1757	XP_018222028.1
DI49_1758	XP_018222029.1
DI49_1759	XP_018222030.1
DI49_1760	XP_018222031.1
DI49_1761	XP_018222032.1
DI49_1762	XP_018222033.1
DI49_1763	XP_018222034.1
DI49_1764	XP_018222035.1
DI49_1765	XP_018222036.1
DI49_1766	XP_018222037.1
DI49_1767	XP_018222038.1
DI49_1768	XP_018222039.1
DI49_1769	XP_018222040.1
DI49_1770	XP_018222041.1
DI49_1771	XP_018222042.1
DI49_1772	XP_018222043.1
DI49_1773	XP_018222044.1
DI49_1775	XP_018222045.1
DI49_1777	XP_018222046.1
DI49_1778	XP_018222047.1
DI49_1780	XP_018222048.1
DI49_1781	XP_018222049.1
DI49_1782	XP_018222050.1
DI49_1783	XP_018222051.1
DI49_1784	XP_018222052.1
DI49_1785	XP_018222053.1
DI49_1786	XP_018222054.1
DI49_1787	XP_018222055.1
DI49_1788	XP_018222056.1
DI49_1789	XP_018222057.1
DI49_1790	XP_018222058.1
DI49_1791	XP_018222059.1
DI49_1792	XP_018222060.1
DI49_1793	XP_018222061.1
DI49_1794	XP_018222062.1
DI49_1795	XP_018222063.1
DI49_1796	XP_018222064.1
DI49_1797	XP_018222065.1
DI49_1798	XP_018222066.1
DI49_1799	XP_018222067.1
DI49_1800	XP_018222068.1
DI49_1801	XP_018222069.1
DI49_1802	XP_018222070.1
DI49_1803	XP_018222071.1
DI49_1804	XP_018222072.1
DI49_1805	XP_018222073.1
DI49_1806	XP_018222074.1
DI49_1808	XP_018222075.1
