YAL068C	NP_009332.1
YDR018C	NP_010301.1
YDR019C	NP_010302.1
YDR020C	NP_010303.3
YDR021W	NP_010304.3
YDR022C	NP_010305.1
YDR023W	NP_010306.1
YDR025W	NP_010308.3
YDR025W	NP_010308.3
YDR026C	NP_010309.3
YDR027C	NP_010310.1
YDR028C	NP_010311.1
YDR029W	NP_001335755.1
YDR030C	NP_010313.3
YDR031W	NP_010314.4
YDR032C	NP_010315.1
YDR033W	NP_010316.1
YDR034C	NP_010317.3
YDR034C-D	NP_058138.3
YDR034C-D	NP_058138.3
YDR034C-C	NP_058139.1
YDR034C-A	NP_010318.1
YDR034W-B	NP_010319.3
YDR035W	NP_010320.3
YDR036C	NP_010321.1
YDR037W	NP_010322.1
YDR038C	NP_010323.3
YDR039C	NP_010324.3
YDR040C	NP_010325.1
YDR041W	NP_010326.1
YDR042C	NP_010327.3
YDR043C	NP_010328.3
YDR044W	NP_010329.1
YDR045C	NP_010330.1
YDR046C	NP_010331.3
YDR047W	NP_010332.3
YDR049W	NP_010334.1
YDR050C	NP_010335.1
YDR051C	NP_010336.3
YDR052C	NP_010337.3
YDR054C	NP_010339.1
YDR055W	NP_010340.1
YDR056C	NP_010341.3
YDR057W	NP_010342.3
YDR058C	NP_010343.1
YDR059C	NP_010344.1
YDR059C	NP_010344.1
YDR060W	NP_010345.3
YDR061W	NP_010346.3
YDR062W	NP_010347.1
YDR063W	NP_010348.1
YDR064W	NP_010349.3
YDR064W	NP_010349.3
YDR065W	NP_010350.3
YDR066C	NP_010351.1
YDR067C	NP_010352.1
YDR068W	NP_010353.3
YDR069C	NP_010354.3
YDR070C	NP_010355.1
YDR071C	NP_010356.1
YDR072C	NP_010357.3
YDR073W	NP_010358.3
YDR074W	NP_010359.1
YDR075W	NP_010360.1
YDR076W	NP_010361.3
YDR077W	NP_010362.3
YDR078C	NP_010363.1
YDR079W	NP_010364.1
YDR079C-A	NP_076886.3
YDR080W	NP_010365.3
YDR081C	NP_010366.1
YDR082W	NP_010367.1
YDR083W	NP_010368.5
YDR084C	NP_010369.3
YDR085C	NP_010370.1
YDR086C	NP_010371.1
YDR087C	NP_010372.3
YDR088C	NP_010373.3
YDR089W	NP_010374.1
YDR090C	NP_010375.1
YDR091C	NP_010376.3
YDR092W	NP_010377.3
YDR092W	NP_010377.3
YDR093W	NP_010378.1
YDR096W	NP_010381.1
YDR097C	NP_010382.3
YDR098C	NP_010383.4
YDR098C-B	NP_058140.1
YDR098C-B	NP_058140.1
YDR098C-A	NP_058141.1
YDR099W	NP_010384.3
YDR100W	NP_010385.3
YDR101C	NP_010386.1
YDR102C	NP_001335756.1
YDR103W	NP_010388.1
YDR104C	NP_010389.3
YDR105C	NP_010390.3
YDR106W	NP_010391.1
YDR107C	NP_010392.1
YDR108W	NP_010393.3
YDR109C	NP_010394.3
YDR110W	NP_010395.1
YDR111C	NP_010396.1
YDR113C	NP_010398.3
YDR114C	NP_010399.3
YDR115W	NP_010400.1
YDR116C	NP_010401.1
YDR117C	NP_010402.3
YDR118W	NP_010403.3
YDR119W	NP_010404.1
YDR119W-A	NP_001032575.1
YDR120C	NP_010405.3
YDR121W	NP_010406.3
YDR122W	NP_010407.1
YDR123C	NP_010408.1
YDR124W	NP_010409.3
YDR125C	NP_010410.3
YDR126W	NP_010411.1
YDR127W	NP_010412.1
YDR128W	NP_010413.3
YDR129C	NP_010414.3
YDR129C	NP_010414.3
YDR130C	NP_010415.1
YDR131C	NP_010416.1
YDR132C	NP_010417.3
YDR135C	NP_010419.3
YDR137W	NP_010421.1
YDR138W	NP_010422.1
YDR139C	NP_010423.4
YDR139C	NP_010423.4
YDR140W	NP_010424.3
YDR141C	NP_010425.1
YDR142C	NP_010426.1
YDR143C	NP_010427.3
YDR144C	NP_010428.3
YDR145W	NP_010429.1
YDR146C	NP_010430.1
YDR147W	NP_010431.3
YDR148C	NP_010432.3
YDR150W	NP_010434.1
YDR151C	NP_010435.1
YDR152W	NP_010436.3
YDR153C	NP_010437.3
YDR155C	NP_010439.1
YDR156W	NP_010440.1
YDR157W	NP_001335757.1
YDR158W	NP_010442.3
YDR159W	NP_010443.3
YDR160W	NP_010444.1
YDR161W	NP_010445.1
YDR162C	NP_010446.3
YDR163W	NP_010447.3
YDR164C	NP_010448.1
YDR165W	NP_010449.1
YDR166C	NP_010450.3
YDR167W	NP_010451.3
YDR168W	NP_010452.1
YDR169C	NP_010453.1
YDR169C-A	NP_878062.3
YDR170C	NP_010454.3
YDR170W-A	NP_010455.1
YDR171W	NP_010456.1
YDR172W	NP_010457.3
YDR173C	NP_010458.3
YDR174W	NP_010459.1
YDR175C	NP_010460.1
YDR176W	NP_010461.3
YDR177W	NP_010462.3
YDR178W	NP_010463.1
YDR179C	NP_010464.1
YDR179W-A	NP_010465.4
YDR180W	NP_010466.3
YDR181C	NP_010467.1
YDR182W	NP_010468.1
YDR182W-A	NP_878063.3
YDR183W	NP_010469.3
YDR184C	NP_010470.1
YDR185C	NP_010471.1
YDR186C	NP_010472.3
YDR188W	NP_010474.3
YDR189W	NP_010475.1
YDR190C	NP_010476.1
YDR191W	NP_010477.3
YDR192C	NP_010478.3
YDR194C	NP_010480.1
YDR194W-A	NP_878064.1
YDR195W	NP_010481.3
YDR196C	NP_010482.3
YDR197W	NP_010483.1
YDR198C	NP_010484.1
YDR200C	NP_010486.3
YDR201W	NP_010487.3
YDR202C	NP_010488.1
YDR204W	NP_010490.1
YDR205W	NP_010491.4
YDR206W	NP_010492.3
YDR207C	NP_010493.1
YDR208W	NP_010494.1
YDR209C	NP_001335758.1
YDR210W	NP_010496.3
YDR210W-B	NP_058142.3
YDR210W-B	NP_058142.3
YDR210W-A	NP_058143.1
YDR210C-D	NP_620387.1
YDR210C-D	NP_620387.1
YDR210C-C	NP_620388.3
YDR211W	NP_010497.3
YDR212W	NP_010498.1
YDR213W	NP_010499.1
YDR214W	NP_010500.3
YDR215C	NP_001335759.1
YDR216W	NP_010502.3
YDR217C	NP_010503.1
YDR218C	NP_010504.1
YDR219C	NP_010505.3
YDR221W	NP_010507.3
YDR222W	NP_010508.1
YDR223W	NP_010509.1
YDR224C	NP_010510.3
YDR225W	NP_010511.3
YDR226W	NP_010512.1
YDR227W	NP_010513.1
YDR228C	NP_010514.3
YDR229W	NP_010515.3
YDR231C	NP_010517.1
YDR232W	NP_010518.1
YDR233C	NP_010519.3
YDR234W	NP_010520.3
YDR235W	NP_010521.1
YDR236C	NP_010522.1
YDR237W	NP_010523.3
YDR238C	NP_010524.3
YDR239C	NP_010525.1
YDR240C	NP_010526.1
YDR242W	NP_010528.3
YDR243C	NP_010529.3
YDR244W	NP_010530.1
YDR245W	NP_010531.1
YDR246W	NP_010532.3
YDR246W-A	NP_878065.3
YDR247W	NP_010533.1
YDR248C	NP_010534.1
YDR249C	NP_010535.3
YDR251W	NP_010537.3
YDR252W	NP_010538.1
YDR253C	NP_010539.1
YDR254W	NP_010540.3
YDR255C	NP_010541.3
YDR256C	NP_010542.1
YDR257C	NP_010543.1
YDR258C	NP_010544.3
YDR259C	NP_010545.3
YDR260C	NP_010546.1
YDR261C	NP_010547.1
YDR261W-B	NP_058146.3
YDR261W-B	NP_058146.3
YDR261W-A	NP_058147.3
YDR261C-D	NP_058148.1
YDR261C-D	NP_058148.1
YDR261C-C	NP_058149.1
YDR262W	NP_010548.3
YDR263C	NP_010549.3
YDR264C	NP_010550.1
YDR265W	NP_010551.1
YDR266C	NP_010552.3
YDR267C	NP_010553.3
YDR268W	NP_010554.1
YDR270W	NP_010556.1
YDR272W	NP_010558.3
YDR273W	NP_010559.3
YDR274C	NP_001335760.1
YDR275W	NP_010561.1
YDR276C	NP_010562.1
YDR277C	NP_010563.3
YDR279W	NP_010565.3
YDR280W	NP_010566.1
YDR281C	NP_010567.1
YDR282C	NP_010568.3
YDR283C	NP_010569.3
YDR284C	NP_010570.1
YDR285W	NP_010571.1
YDR286C	NP_010572.3
YDR287W	NP_010573.3
YDR288W	NP_010574.1
YDR289C	NP_010575.1
YDR291W	NP_010577.3
YDR292C	NP_010578.3
YDR293C	NP_010579.1
YDR294C	NP_010580.1
YDR295C	NP_010581.3
YDR296W	NP_010582.3
YDR297W	NP_010583.1
YDR298C	NP_010584.1
YDR299W	NP_010585.3
YDR300C	NP_010586.3
YDR301W	NP_010587.1
YDR302W	NP_010588.1
YDR303C	NP_010589.3
YDR304C	NP_010590.3
YDR305C	NP_010591.1
YDR305C	NP_010591.1
YDR306C	NP_010592.1
YDR307W	NP_010593.3
YDR308C	NP_010594.3
YDR309C	NP_010595.1
YDR310C	NP_010596.1
YDR311W	NP_010597.3
YDR312W	NP_010598.3
YDR313C	NP_010599.1
YDR314C	NP_010600.1
YDR315C	NP_010601.3
YDR316W	NP_010602.3
YDR316W-B	NP_058150.1
YDR316W-B	NP_058150.1
YDR316W-A	NP_058151.1
YDR317W	NP_010603.3
YDR318W	NP_010604.4
YDR318W	NP_010604.4
YDR319C	NP_010605.1
YDR320C	NP_010606.1
YDR320C-A	NP_710144.3
YDR321W	NP_010607.3
YDR322W	NP_010608.1
YDR322C-A	NP_010609.1
YDR323C	NP_010610.3
YDR324C	NP_010611.3
YDR325W	NP_010612.2
YDR326C	NP_010613.1
YDR328C	NP_010615.3
YDR329C	NP_010616.3
YDR330W	NP_010617.1
YDR331W	NP_010618.1
YDR332W	NP_010619.3
YDR333C	NP_010620.3
YDR334W	NP_010621.1
YDR335W	NP_010622.1
YDR336W	NP_010623.3
YDR337W	NP_010624.3
YDR338C	NP_010625.1
YDR339C	NP_010626.1
YDR341C	NP_010628.3
YDR342C	NP_010629.3
YDR343C	NP_010630.1
YDR344C	NP_001335762.1
YDR345C	NP_010632.1
YDR346C	NP_010633.3
YDR347W	NP_010634.3
YDR348C	NP_010635.1
YDR349C	NP_010636.1
YDR350C	NP_010637.4
YDR351W	NP_010638.3
YDR352W	NP_010639.1
YDR353W	NP_010640.1
YDR354W	NP_010641.3
YDR356W	NP_010643.3
YDR357C	NP_010644.1
YDR358W	NP_010645.1
YDR359C	NP_010646.4
YDR361C	NP_010648.3
YDR362C	NP_010649.1
YDR363W	NP_010650.1
YDR363W-A	NP_010651.3
YDR364C	NP_010652.3
YDR365C	NP_010653.1
YDR365W-B	NP_058152.1
YDR365W-B	NP_058152.1
YDR365W-A	NP_058153.3
YDR366C	NP_010654.3
YDR367W	NP_010655.1
YDR367W	NP_010655.1
YDR368W	NP_010656.1
YDR369C	NP_010657.3
YDR370C	NP_010658.3
YDR371W	NP_010659.1
YDR372C	NP_010660.1
YDR373W	NP_010661.3
YDR374C	NP_010662.3
YDR374W-A	NP_001032576.1
YDR375C	NP_010663.1
YDR376W	NP_010664.3
YDR377W	NP_010665.3
YDR378C	NP_010666.2
YDR379W	NP_010667.1
YDR379C-A	NP_076888.3
YDR380W	NP_010668.3
YDR381W	NP_010669.1
YDR381W	NP_010669.1
YDR381C-A	NP_219495.2
YDR381C-A	NP_219495.2
YDR382W	NP_010670.3
YDR383C	NP_010671.4
YDR384C	NP_010672.1
YDR385W	NP_010673.1
YDR386W	NP_010674.3
YDR387C	NP_010675.3
YDR388W	NP_010676.1
YDR389W	NP_010677.1
YDR390C	NP_010678.3
YDR391C	NP_010679.3
YDR392W	NP_010680.1
YDR393W	NP_010681.1
YDR394W	NP_010682.3
YDR395W	NP_010683.3
YDR397C	NP_010685.1
YDR397C	NP_010685.1
YDR398W	NP_010686.1
YDR399W	NP_010687.3
YDR400W	NP_010688.4
YDR402C	NP_010690.1
YDR403W	NP_010691.1
YDR404C	NP_010692.3
YDR405W	NP_010693.3
YDR406W	NP_010694.1
YDR407C	NP_010695.1
YDR408C	NP_010696.3
YDR409W	NP_010697.3
YDR410C	NP_010698.1
YDR411C	NP_010699.1
YDR412W	NP_010700.3
YDR414C	NP_010702.4
YDR415C	NP_010703.1
YDR416W	NP_010704.1
YDR418W	NP_010706.3
YDR419W	NP_010707.3
YDR420W	NP_010708.1
YDR421W	NP_010709.1
YDR422C	NP_010710.4
YDR423C	NP_010711.3
YDR424C	NP_010712.1
YDR424C	NP_010712.1
YDR424C	NP_010712.1
YDR425W	NP_010713.1
YDR427W	NP_010715.3
YDR428C	NP_010716.3
YDR429C	NP_010717.1
YDR430C	NP_010718.1
YDR432W	NP_010720.3
YDR434W	NP_010722.3
YDR435C	NP_010723.1
YDR436W	NP_010724.1
YDR437W	NP_010725.3
YDR438W	NP_010726.3
YDR439W	NP_010727.1
YDR440W	NP_010728.1
YDR441C	NP_010729.3
YDR443C	NP_010731.3
YDR444W	NP_010732.1
YDR446W	NP_010734.1
YDR447C	NP_010735.3
YDR447C	NP_010735.3
YDR448W	NP_010736.3
YDR449C	NP_010737.1
YDR450W	NP_010738.1
YDR450W	NP_010738.1
YDR451C	NP_010739.3
YDR452W	NP_010740.3
YDR453C	NP_010741.1
YDR454C	NP_010742.1
YDR456W	NP_010744.3
YDR457W	NP_010745.3
YDR458C	NP_010746.1
YDR459C	NP_010747.1
YDR460W	NP_010748.3
YDR461W	NP_010749.3
YDR461C-A	NP_001032577.1
YDR462W	NP_010750.1
YDR463W	NP_010751.4
YDR464W	NP_010752.3
YDR465C	NP_010753.1
YDR466W	NP_010754.1
YDR468C	NP_010756.3
YDR469W	NP_010757.3
YDR470C	NP_010758.3
YDR471W	NP_010759.1
YDR471W	NP_010759.1
YDR472W	NP_010760.3
YDR473C	NP_010761.3
YDR475C	NP_010763.2
YDR476C	NP_010764.1
YDR477W	NP_010765.3
YDR478W	NP_010766.3
YDR479C	NP_010767.1
YDR480W	NP_010768.1
YDR481C	NP_010769.3
YDR482C	NP_010770.3
YDR483W	NP_010771.1
YDR484W	NP_010772.1
YDR485C	NP_010773.4
YDR486C	NP_010774.4
YDR487C	NP_010775.1
YDR488C	NP_010776.1
YDR489W	NP_010777.3
YDR490C	NP_010778.3
YDR492W	NP_010780.1
YDR493W	NP_010781.1
YDR494W	NP_010782.4
YDR495C	NP_010783.3
YDR496C	NP_010784.1
YDR497C	NP_010785.1
YDR498C	NP_010786.3
YDR499W	NP_010787.3
YDR500C	NP_010788.1
YDR500C	NP_010788.1
YDR501W	NP_010789.1
YDR502C	NP_010790.3
YDR503C	NP_010791.3
YDR504C	NP_010792.1
YDR505C	NP_010793.2
YDR506C	NP_010794.3
YDR507C	NP_010795.3
YDR508C	NP_010796.1
YDR510W	NP_010798.1
YDR511W	NP_010799.3
YDR512C	NP_010800.3
YDR513W	NP_010801.1
YDR514C	NP_010802.1
YDR515W	NP_010803.3
YDR516C	NP_010804.3
YDR517W	NP_010805.1
YDR518W	NP_010806.1
YDR519W	NP_010807.3
YDR520C	NP_010808.3
YDR522C	NP_010810.1
YDR523C	NP_010811.1
YDR524C	NP_010812.3
YDR524W-C	NP_878066.3
YDR524C-B	NP_878067.1
YDR525W	NP_001335763.1
YDR525W-A	NP_010814.1
YDR527W	NP_010816.4
YDR528W	NP_010817.3
YDR529C	NP_010818.1
YDR530C	NP_010819.1
YDR531W	NP_010820.3
YDR532C	NP_010821.3
YDR533C	NP_010822.1
YDR534C	NP_010823.1
YDR536W	NP_010825.3
YDR538W	NP_010827.3
YDR539W	NP_010828.1
YDR540C	NP_010829.1
YDR541C	NP_010830.4
YDR542W	NP_010831.3
YDR545W	NP_010834.1
YEL077C	NP_010835.1
YEL076C-A	NP_010836.1
YEL076C-A	NP_010836.1
YEL076C	NP_010837.1
YEL075C	NP_010839.1
YEL073C	NP_010841.1
YEL072W	NP_010842.1
YEL071W	NP_010843.1
YEL070W	NP_010844.1
YEL069C	NP_010845.1
YEL068C	NP_001257672.1
YEL067C	NP_010847.1
YEL066W	NP_010848.2
YEL065W	NP_010849.3
YEL064C	NP_010850.1
YEL063C	NP_010851.1
YEL062W	NP_010852.4
YEL061C	NP_010853.2
YEL060C	NP_010854.1
YEL059C-A	NP_058154.3
YEL059W	NP_001381963.1
YEL058W	NP_010856.1
YEL057C	NP_010857.1
YEL056W	NP_010858.3
YEL055C	NP_010859.1
YEL054C	NP_010860.1
YEL053C	NP_010861.3
YEL052W	NP_010862.1
YEL051W	NP_010863.1
YEL050C	NP_010864.3
YEL049W	NP_010865.1
YEL048C	NP_010866.1
YEL047C	NP_010867.3
YEL046C	NP_010868.1
YEL044W	NP_010870.1
YEL043W	NP_010871.3
YEL042W	NP_010872.1
YEL041W	NP_010873.1
YEL040W	NP_010874.3
YEL039C	NP_010875.1
YEL038W	NP_010876.2
YEL037C	NP_010877.3
YEL036C	NP_010878.1
YEL035C	NP_010879.1
YEL034W	NP_010880.3
YEL033W	NP_010881.1
YEL032W	NP_010882.1
YEL031W	NP_010883.3
YEL030W	NP_010884.1
YEL029C	NP_010885.1
YEL028W	NP_001335764.1
YEL027W	NP_010887.3
YEL026W	NP_010888.1
YEL025C	NP_010889.1
YEL024W	NP_010890.3
YEL023C	NP_010891.1
YEL022W	NP_010892.1
YEL021W	NP_010893.3
YEL020W-A	NP_010894.1
YEL020C	NP_010895.1
YEL019C	NP_010896.3
YEL018W	NP_010897.1
YEL017C-A	NP_010898.1
YEL017W	NP_010899.3
YEL016C	NP_010900.1
YEL015W	NP_010901.1
YEL014C	NP_001335765.1
YEL013W	NP_010903.3
YEL012W	NP_010904.2
YEL012W	NP_010904.2
YEL011W	NP_010905.1
YEL009C-A	NP_001335766.1
YEL009C	NP_010907.3
YEL008W	NP_001335767.1
YEL007W	NP_010909.1
YEL006W	NP_010910.1
YEL005C	NP_010911.3
YEL004W	NP_010912.1
YEL003W	NP_010913.2
YEL003W	NP_010913.2
YEL002C	NP_010914.3
YEL001C	NP_010915.1
YER001W	NP_010916.1
YER002W	NP_010917.3
YER003C	NP_010918.1
YER003C	NP_010918.1
YER004W	NP_010919.1
YER005W	NP_010920.3
YER006W	NP_010921.1
YER007W	NP_010922.1
YER007C-A	NP_010923.3
YER007C-A	NP_010923.3
YER008C	NP_010924.1
YER009W	NP_010925.1
YER010C	NP_010926.3
YER011W	NP_010927.1
YER012W	NP_010928.1
YER013W	NP_010929.3
YER014W	NP_010930.1
YER014C-A	NP_076437.1
YER014C-A	NP_076437.1
YER015W	NP_010931.3
YER016W	NP_010932.1
YER017C	NP_010933.1
YER018C	NP_010934.3
YER019W	NP_010935.1
YER019C-A	NP_010936.1
YER020W	NP_010937.3
YER021W	NP_010938.1
YER022W	NP_010939.1
YER023W	NP_010940.3
YER024W	NP_010941.1
YER025W	NP_010942.1
YER026C	NP_010943.3
YER027C	NP_010944.1
YER028C	NP_010945.1
YER029C	NP_010946.3
YER030W	NP_010947.2
YER031C	NP_010948.1
YER032W	NP_010949.4
YER033C	NP_010950.1
YER034W	NP_010951.1
YER035W	NP_010952.3
YER036C	NP_010953.1
YER037W	NP_010954.1
YER038C	NP_010955.3
YER038W-A	NP_001288277.1
YER039C	NP_010956.1
YER039C-A	NP_010957.1
YER040W	NP_010958.3
YER041W	NP_010959.2
YER042W	NP_010960.1
YER043C	NP_010961.3
YER044C	NP_010962.1
YER044C-A	NP_010963.1
YER044C-A	NP_010963.1
YER045C	NP_010964.3
YER046W	NP_010965.1
YER047C	NP_010966.1
YER048C	NP_010967.3
YER048W-A	NP_010968.1
YER049W	NP_010969.1
YER050C	NP_010970.4
YER051W	NP_010971.1
YER052C	NP_010972.1
YER053C	NP_010973.3
YER053C-A	NP_061492.1
YER054C	NP_010974.1
YER055C	NP_010975.3
YER056C	NP_010976.1
YER056C-A	NP_010977.2
YER056C-A	NP_010977.2
YER057C	NP_010978.3
YER058W	NP_010979.1
YER059W	NP_010980.1
YER060W	NP_010981.3
YER060W-A	NP_010982.1
YER061C	NP_010983.2
YER062C	NP_010984.3
YER063W	NP_010985.1
YER064C	NP_010986.1
YER065C	NP_010987.3
YER066W	NP_010988.1
YER067W	NP_010990.1
YER068W	NP_010991.3
YER069W	NP_010992.1
YER070W	NP_010993.1
YER071C	NP_010994.3
YER072W	NP_010995.1
YER073W	NP_010996.2
YER074W	NP_010997.3
YER074W	NP_010997.3
YER074W-A	NP_219496.2
YER074W-A	NP_219496.2
YER074W-A	NP_219496.2
YER075C	NP_010998.2
YER076C	NP_010999.3
YER077C	NP_011000.1
YER078C	NP_011001.1
YER078W-A	NP_878068.3
YER079W	NP_011002.1
YER080W	NP_011003.1
YER081W	NP_011004.3
YER082C	NP_011005.1
YER083C	NP_011006.2
YER084W	NP_001257673.1
YER085C	NP_011008.3
YER086W	NP_011009.1
YER087W	NP_011010.1
YER087C-B	NP_011011.3
YER088C	NP_011012.3
YER089C	NP_011013.1
YER090W	NP_011014.1
YER091C	NP_011015.3
YER092W	NP_011017.3
YER093C	NP_011018.1
YER093C-A	NP_011019.1
YER093C-A	NP_011019.1
YER094C	NP_011020.3
YER095W	NP_011021.3
YER096W	NP_011022.1
YER098W	NP_011024.1
YER099C	NP_011025.3
YER100W	NP_011026.3
YER101C	NP_011027.1
YER102W	NP_011028.1
YER103W	NP_011029.3
YER104W	NP_011030.3
YER105C	NP_011031.1
YER106W	NP_011032.1
YER107C	NP_011033.3
YER110C	NP_011035.1
YER111C	NP_011036.1
YER112W	NP_011037.3
YER113C	NP_011038.3
YER114C	NP_011039.1
YER115C	NP_011040.1
YER116C	NP_011041.3
YER117W	NP_011042.3
YER117W	NP_011042.3
YER118C	NP_011043.1
YER119C	NP_011044.1
YER120W	NP_011046.3
YER121W	NP_011047.3
YER122C	NP_011048.1
YER123W	NP_011049.2
YER124C	NP_011050.3
YER125W	NP_011051.3
YER126C	NP_011052.1
YER127W	NP_011053.1
YER128W	NP_011054.3
YER129W	NP_011055.3
YER130C	NP_011056.1
YER131W	NP_011057.1
YER132C	NP_011058.3
YER133W	NP_011059.3
YER133W	NP_011059.3
YER134C	NP_011060.1
YER135C	NP_001335768.1
YER136W	NP_011062.1
YER137C	NP_011063.3
YER138C	NP_011064.3
YER138C	NP_011064.3
YER137C-A	NP_058155.1
YER138W-A	NP_011065.1
YER139C	NP_011066.3
YER140W	NP_011067.3
YER141W	NP_011068.1
YER142C	NP_011069.1
YER143W	NP_011070.3
YER144C	NP_011071.3
YER145C	NP_011072.1
YER145C-A	NP_001335769.1
YER146W	NP_011073.1
YER147C	NP_011074.3
YER148W	NP_011075.3
YER149C	NP_011076.1
YER150W	NP_011077.1
YER151C	NP_011078.3
YER152C	NP_011079.3
YER153C	NP_011080.1
YER154W	NP_011081.1
YER155C	NP_011082.3
YER156C	NP_011083.3
YER157W	NP_011084.1
YER158C	NP_011085.1
YER159C	NP_011086.3
YER160C	NP_011087.3
YER160C	NP_011087.3
YER159C-A	NP_058156.1
YER161C	NP_011088.1
YER162C	NP_011089.4
YER163C	NP_011090.3
YER164W	NP_011091.1
YER165W	NP_011092.1
YER166W	NP_011093.3
YER167W	NP_011094.3
YER168C	NP_011095.1
YER169W	NP_011096.1
YER170W	NP_011097.3
YER171W	NP_011098.3
YER172C	NP_011099.1
YER173W	NP_011100.1
YER174C	NP_011101.3
YER175C	NP_011102.3
YER175W-A	NP_878069.1
YER176W	NP_011103.1
YER177W	NP_011104.3
YER178W	NP_011105.4
YER179W	NP_011106.1
YER179W	NP_011106.1
YER180C	NP_011107.1
YER180C-A	NP_796378.3
YER181C	NP_001335770.1
YER182W	NP_011109.3
YER183C	NP_011110.1
YER184C	NP_011111.1
YER185W	NP_011112.3
YER186C	NP_011113.3
YER187W	NP_011114.1
YER188W	NP_001335771.1
YER188C-A	NP_878070.1
YER189W	NP_011116.3
YER190W	NP_011117.3
YER190C-B	NP_001073292.1
YFL068W	NP_116587.1
YFL067W	NP_116588.1
YFL066C	NP_116589.1
YFL065C	NP_116590.1
YFL064C	NP_116591.1
YFL062W	NP_116593.1
YFL061W	NP_116594.1
YFL060C	NP_116595.1
YFL059W	NP_116596.1
YFL058W	NP_116597.1
YFL055W	NP_116600.1
YFL054C	NP_116601.1
YFL053W	NP_116602.1
YFL052W	NP_116603.1
YFL051C	NP_116576.1
YFL050C	NP_116604.1
YFL049W	NP_116605.1
YFL048C	NP_116606.1
YFL047W	NP_428268.1
YFL046W	NP_116608.1
YFL045C	NP_116609.1
YFL044C	NP_116610.1
YFL042C	NP_116611.1
YFL041W-A	NP_878071.1
YFL041W	NP_116612.1
YFL040W	NP_116613.1
YFL039C	NP_116614.1
YFL039C	NP_116614.1
YFL038C	NP_116615.1
YFL037W	NP_116616.1
YFL036W	NP_116617.1
YFL034C-B	NP_116618.1
YFL034C-B	NP_116618.1
YFL034C-A	NP_116619.1
YFL034C-A	NP_116619.1
YFL034W	NP_116583.2
YFL033C	NP_116620.1
YFL031W	NP_116622.1
YFL031W	NP_116622.1
YFL030W	NP_116623.1
YFL029C	NP_116624.1
YFL028C	NP_116625.1
YFL027C	NP_444296.1
YFL026W	NP_116627.2
YFL025C	NP_116628.1
YFL024C	NP_116629.1
YFL023W	NP_683715.1
YFL022C	NP_116631.1
YFL021W	NP_116632.1
YFL020C	NP_116633.1
YFL019C	NP_001335772.1
YFL018C	NP_116635.1
YFL017W-A	NP_116636.1
YFL017C	NP_116637.1
YFL016C	NP_116638.1
YFL015C	NP_001335773.1
YFL014W	NP_116640.1
YFL013C	NP_116641.1
YFL012W	NP_116643.1
YFL011W	NP_116644.1
YFL010W-A	NP_116645.1
YFL010C	NP_570898.1
YFL009W	NP_116585.1
YFL008W	NP_116647.1
YFL007W	NP_116648.2
YFL005W	NP_116650.1
YFL004W	NP_116651.1
YFL003C	NP_116652.1
YFL002W-A	NP_116653.1
YFL002W-A	NP_116653.1
YFL002W-B	NP_058157.1
YFL002C	NP_116654.1
YFL001W	NP_116655.1
YFR001W	NP_116656.1
YFR002W	NP_116657.1
YFR003C	NP_116658.1
YFR004W	NP_116659.1
YFR005C	NP_116660.1
YFR006W	NP_116661.1
YFR007W	NP_116662.1
YFR008W	NP_116663.1
YFR009W	NP_116664.1
YFR010W	NP_116665.1
YFR011C	NP_116666.1
YFR012W	NP_116667.1
YFR012W-A	NP_076889.1
YFR013W	NP_116668.1
YFR014C	NP_116669.1
YFR015C	NP_116670.1
YFR016C	NP_116671.1
YFR017C	NP_116672.1
YFR018C	NP_116673.1
YFR019W	NP_116674.2
YFR020W	NP_001257674.1
YFR021W	NP_444297.1
YFR022W	NP_116677.3
YFR023W	NP_116678.1
YFR024C-A	NP_219497.4
YFR024C-A	NP_219497.4
YFR025C	NP_116681.1
YFR026C	NP_116682.3
YFR027W	NP_116683.1
YFR028C	NP_116684.3
YFR029W	NP_116685.1
YFR030W	NP_116686.3
YFR031C	NP_116687.1
YFR031C-A	NP_116688.3
YFR031C-A	NP_116688.3
YFR032C	NP_116689.1
YFR032C-A	NP_116690.3
YFR032C-B	NP_878072.1
YFR033C	NP_116691.3
YFR034C	NP_116692.1
YFR035C	NP_116693.3
YFR035W-A	NP_001418067.1
YFR036W	NP_116694.1
YFR037C	NP_116695.3
YFR038W	NP_116696.2
YFR039C	NP_116697.3
YFR040W	NP_116698.3
YFR041C	NP_116699.3
YFR042W	NP_116700.1
YFR043C	NP_116701.3
YFR044C	NP_116702.1
YFR045W	NP_116703.5
YFR045W	NP_116703.5
YFR046C	NP_116704.1
YFR047C	NP_602317.3
YFR048W	NP_683716.1
YFR049W	NP_116707.3
YFR050C	NP_116708.1
YFR051C	NP_116709.3
YFR052W	NP_116710.1
YFR053C	NP_116711.3
YFR054C	NP_001335774.1
YFR055W	NP_116714.1
YFR057W	NP_116715.3
YGL263W	NP_011251.1
YGL262W	NP_011252.1
YGL261C	NP_011253.1
YGL260W	NP_011254.1
YGL259W	NP_011255.1
YGL258W-A	NP_076890.1
YGL258W	NP_011256.1
YGL257C	NP_011257.1
YGL256W	NP_011258.2
YGL255W	NP_011259.1
YGL254W	NP_011260.1
YGL253W	NP_011261.1
YGL252C	NP_011262.1
