SUVZ_01G0010	CAI4055522.1
SUVZ_02G6200	CAI4057930.1
SUVZ_02G6210	CAI4057934.1
SUVZ_02G6220	CAI4057938.1
SUVZ_02G6230	CAI4057942.1
SUVZ_02G6240	CAI4057946.1
SUVZ_02G6250	CAI4057950.1
SUVZ_02G6260	CAI4057954.1
SUVZ_02G6270	CAI4057958.1
SUVZ_02G6280	CAI4057962.1
SUVZ_02G6290	CAI4057966.1
SUVZ_02G6300	CAI4057970.1
SUVZ_02G6310	CAI4057974.1
SUVZ_02G6320	CAI4057978.1
SUVZ_02G6330	CAI4057982.1
SUVZ_02G6340	CAI4057986.1
SUVZ_02G6350	CAI4057990.1
SUVZ_02G6360	CAI4057994.1
SUVZ_02G6370	CAI4057998.1
SUVZ_02G6390	CAI4058002.1
SUVZ_02G6400	CAI4058006.1
SUVZ_03G0010	CAI4058168.1
SUVZ_03G0020	CAI4058172.1
SUVZ_03G0030	CAI4058176.1
SUVZ_03G0040	CAI4058180.1
SUVZ_03G0050	CAI4058184.1
SUVZ_03G0060	CAI4058188.1
SUVZ_03G0070	CAI4058192.1
SUVZ_03G0080	CAI4058196.1
SUVZ_03G0090	CAI4058200.1
SUVZ_03G0110	CAI4058204.1
SUVZ_03G0120	CAI4058208.1
SUVZ_03G0130	CAI4058212.1
SUVZ_03G0140	CAI4058216.1
SUVZ_03G0150	CAI4058220.1
SUVZ_03G0160	CAI4058224.1
SUVZ_03G0170	CAI4058228.1
SUVZ_03G0180	CAI4058233.1
SUVZ_03G0190	CAI4058237.1
SUVZ_03G0200	CAI4058241.1
SUVZ_03G0210	CAI4058245.1
SUVZ_03G0220	CAI4058249.1
SUVZ_03G0230	CAI4058253.1
SUVZ_03G0240	CAI4058257.1
SUVZ_03G0250	CAI4058261.1
SUVZ_03G0260	CAI4058265.1
SUVZ_03G0270	CAI4058269.1
SUVZ_03G0280	CAI4058273.1
SUVZ_03G0290	CAI4058277.1
SUVZ_03G0300	CAI4058281.1
SUVZ_03G0310	CAI4058285.1
SUVZ_03G0320	CAI4058289.1
SUVZ_03G0330	CAI4058293.1
SUVZ_03G0340	CAI4058297.1
SUVZ_03G0350	CAI4058301.1
SUVZ_03G0360	CAI4058305.1
SUVZ_03G0370	CAI4058309.1
SUVZ_03G0380	CAI4058313.1
SUVZ_03G0390	CAI4058317.1
SUVZ_03G0400	CAI4058321.1
SUVZ_03G0410	CAI4058325.1
SUVZ_03G0420	CAI4058329.1
SUVZ_03G0430	CAI4058333.1
SUVZ_03G0440	CAI4058337.1
SUVZ_03G0450	CAI4058341.1
SUVZ_03G0460	CAI4058346.1
SUVZ_03G0470	CAI4058350.1
SUVZ_03G0480	CAI4058354.1
SUVZ_03G0490	CAI4058358.1
SUVZ_03G0500	CAI4058362.1
SUVZ_03G0510	CAI4058366.1
SUVZ_03G0520	CAI4058370.1
SUVZ_03G0520	CAI4058370.1
SUVZ_03G0530	CAI4058374.1
SUVZ_03G0540	CAI4058378.1
SUVZ_03G0550	CAI4058382.1
SUVZ_03G0560	CAI4058386.1
SUVZ_03G0570	CAI4058390.1
SUVZ_03G0570	CAI4058390.1
SUVZ_03G0570	CAI4058390.1
SUVZ_03G0580	CAI4058394.1
SUVZ_03G0590	CAI4058398.1
SUVZ_03G0600	CAI4058402.1
SUVZ_03G0600	CAI4058402.1
SUVZ_03G0610	CAI4058406.1
SUVZ_03G0620	CAI4058410.1
SUVZ_03G0630	CAI4058414.1
SUVZ_03G0640	CAI4058418.1
SUVZ_03G0650	CAI4058422.1
SUVZ_03G0660	CAI4058426.1
SUVZ_03G0680	CAI4058430.1
SUVZ_03G0685	CAI4058434.1
SUVZ_03G0690	CAI4058438.1
SUVZ_03G0700	CAI4058442.1
SUVZ_03G0710	CAI4058446.1
SUVZ_03G0720	CAI4058450.1
SUVZ_03G0730	CAI4058454.1
SUVZ_03G0740	CAI4058458.1
SUVZ_03G0750	CAI4058462.1
SUVZ_03G0760	CAI4058466.1
SUVZ_03G0770	CAI4058469.1
SUVZ_03G0780	CAI4058473.1
SUVZ_03G0790	CAI4058477.1
SUVZ_03G0800	CAI4058481.1
SUVZ_03G0810	CAI4058485.1
SUVZ_03G0820	CAI4058489.1
SUVZ_03G0830	CAI4058493.1
SUVZ_03G0840	CAI4058497.1
SUVZ_03G0850	CAI4058501.1
SUVZ_03G0860	CAI4058505.1
SUVZ_03G0870	CAI4058509.1
SUVZ_03G0880	CAI4058513.1
SUVZ_03G0890	CAI4058517.1
SUVZ_03G0900	CAI4058521.1
SUVZ_03G0900	CAI4058521.1
SUVZ_03G0910	CAI4058525.1
SUVZ_03G0920	CAI4058529.1
SUVZ_03G0920	CAI4058529.1
SUVZ_03G0930	CAI4058533.1
SUVZ_03G0940	CAI4058537.1
SUVZ_03G0950	CAI4058541.1
SUVZ_03G0960	CAI4058545.1
SUVZ_03G0970	CAI4058549.1
SUVZ_03G0980	CAI4058553.1
SUVZ_03G0990	CAI4058557.1
SUVZ_03G1010	CAI4058561.1
SUVZ_03G1020	CAI4058565.1
SUVZ_03G1030	CAI4058569.1
SUVZ_03G1040	CAI4058573.1
SUVZ_03G1050	CAI4058576.1
SUVZ_03G1060	CAI4058580.1
SUVZ_03G1080	CAI4058584.1
SUVZ_03G1100	CAI4058588.1
SUVZ_03G1110	CAI4058592.1
SUVZ_03G1120	CAI4058596.1
SUVZ_03G1130	CAI4058600.1
SUVZ_03G1140	CAI4058604.1
SUVZ_03G1145	CAI4058608.1
SUVZ_03G1150	CAI4058612.1
SUVZ_03G1160	CAI4058617.1
SUVZ_03G1170	CAI4058621.1
SUVZ_03G1180	CAI4058625.1
SUVZ_03G1190	CAI4058629.1
SUVZ_03G1200	CAI4058633.1
SUVZ_03G1210	CAI4058637.1
SUVZ_03G1220	CAI4058641.1
SUVZ_03G1230	CAI4058645.1
SUVZ_03G1240	CAI4058649.1
SUVZ_03G1250	CAI4058653.1
SUVZ_03G1260	CAI4058657.1
SUVZ_03G1270	CAI4058661.1
SUVZ_03G1280	CAI4058665.1
SUVZ_03G1290	CAI4058669.1
SUVZ_03G1300	CAI4058673.1
SUVZ_03G1310	CAI4058677.1
SUVZ_03G1320	CAI4058681.1
SUVZ_03G1330	CAI4058685.1
SUVZ_03G1340	CAI4058689.1
SUVZ_03G1350	CAI4058693.1
SUVZ_03G1360	CAI4058697.1
SUVZ_03G1370	CAI4058701.1
SUVZ_03G1380	CAI4058705.1
SUVZ_03G1390	CAI4058709.1
SUVZ_03G1400	CAI4058713.1
SUVZ_03G1410	CAI4058717.1
SUVZ_03G1420	CAI4058721.1
SUVZ_03G1430	CAI4058725.1
SUVZ_03G1440	CAI4058729.1
SUVZ_03G1450	CAI4058733.1
SUVZ_03G1455	CAI4058737.1
SUVZ_03G1455	CAI4058737.1
SUVZ_03G1455	CAI4058737.1
SUVZ_03G1460	CAI4058741.1
SUVZ_04G0010	CAI4058911.1
SUVZ_04G0020	CAI4058915.1
SUVZ_04G0030	CAI4058919.1
SUVZ_04G0040	CAI4058923.1
SUVZ_04G0060	CAI4058927.1
SUVZ_04G0070	CAI4058931.1
SUVZ_04G0080	CAI4058935.1
SUVZ_04G0090	CAI4058939.1
SUVZ_04G0100	CAI4058943.1
SUVZ_04G0110	CAI4058948.1
SUVZ_04G0120	CAI4058952.1
SUVZ_04G0130	CAI4058956.1
SUVZ_04G0140	CAI4058960.1
SUVZ_04G0150	CAI4058964.1
SUVZ_04G0160	CAI4058968.1
SUVZ_04G0170	CAI4058972.1
SUVZ_04G0180	CAI4058976.1
SUVZ_04G0190	CAI4058980.1
SUVZ_04G0200	CAI4058984.1
SUVZ_04G0210	CAI4058989.1
SUVZ_04G0220	CAI4058993.1
SUVZ_04G0230	CAI4058997.1
SUVZ_04G0240	CAI4059001.1
SUVZ_04G0250	CAI4059005.1
SUVZ_04G0250	CAI4059005.1
SUVZ_04G0260	CAI4059009.1
SUVZ_04G0270	CAI4059013.1
SUVZ_04G0280	CAI4059017.1
SUVZ_04G0290	CAI4059021.1
SUVZ_04G0300	CAI4059025.1
SUVZ_04G0310	CAI4059029.1
SUVZ_04G0320	CAI4059033.1
SUVZ_04G0330	CAI4059037.1
SUVZ_04G0340	CAI4059041.1
SUVZ_04G0350	CAI4059045.1
SUVZ_04G0360	CAI4059049.1
SUVZ_04G0370	CAI4059053.1
SUVZ_04G0380	CAI4059057.1
SUVZ_04G0390	CAI4059061.1
SUVZ_04G0400	CAI4059065.1
SUVZ_04G0410	CAI4059069.1
SUVZ_04G0420	CAI4059073.1
SUVZ_04G0430	CAI4059077.1
SUVZ_04G0440	CAI4059081.1
SUVZ_04G0450	CAI4059085.1
SUVZ_04G0460	CAI4059089.1
SUVZ_04G0470	CAI4059093.1
SUVZ_04G0480	CAI4059097.1
SUVZ_04G0490	CAI4059101.1
SUVZ_04G0500	CAI4059105.1
SUVZ_04G0510	CAI4059109.1
SUVZ_04G0520	CAI4059113.1
SUVZ_04G0520	CAI4059113.1
SUVZ_04G0530	CAI4059117.1
SUVZ_04G0540	CAI4059121.1
SUVZ_04G0550	CAI4059125.1
SUVZ_04G0570	CAI4059129.1
SUVZ_04G0580	CAI4059134.1
SUVZ_04G0590	CAI4059138.1
SUVZ_04G0600	CAI4059142.1
SUVZ_04G0610	CAI4059146.1
SUVZ_04G0620	CAI4059150.1
SUVZ_04G0630	CAI4059154.1
SUVZ_04G0640	CAI4059158.1
SUVZ_04G0650	CAI4059162.1
SUVZ_04G0660	CAI4059166.1
SUVZ_04G0670	CAI4059170.1
SUVZ_04G0680	CAI4059174.1
SUVZ_04G0690	CAI4059178.1
SUVZ_04G0700	CAI4059182.1
SUVZ_04G0720	CAI4059186.1
SUVZ_04G0730	CAI4059190.1
SUVZ_04G0740	CAI4059194.1
SUVZ_04G0750	CAI4059198.1
SUVZ_04G0760	CAI4059202.1
SUVZ_04G0770	CAI4059206.1
SUVZ_04G0780	CAI4059210.1
SUVZ_04G0790	CAI4059214.1
SUVZ_04G0810	CAI4059218.1
SUVZ_04G0820	CAI4059222.1
SUVZ_04G0830	CAI4059226.1
SUVZ_04G0840	CAI4059230.1
SUVZ_04G0870	CAI4059234.1
SUVZ_04G0880	CAI4059238.1
SUVZ_04G0890	CAI4059242.1
SUVZ_04G0900	CAI4059246.1
SUVZ_04G0910	CAI4059250.1
SUVZ_04G0930	CAI4059254.1
SUVZ_04G0940	CAI4059258.1
SUVZ_04G0950	CAI4059262.1
SUVZ_04G0960	CAI4059266.1
SUVZ_04G0970	CAI4059270.1
SUVZ_04G0980	CAI4059274.1
SUVZ_04G0990	CAI4059278.1
SUVZ_04G1000	CAI4059282.1
SUVZ_04G1010	CAI4059286.1
SUVZ_04G1020	CAI4059290.1
SUVZ_04G1030	CAI4059294.1
SUVZ_04G1040	CAI4059298.1
SUVZ_04G1050	CAI4059302.1
SUVZ_04G1060	CAI4059306.1
SUVZ_04G1070	CAI4059310.1
SUVZ_04G1070	CAI4059310.1
SUVZ_04G1080	CAI4059314.1
SUVZ_04G1090	CAI4059318.1
SUVZ_04G1100	CAI4059322.1
SUVZ_04G1110	CAI4059326.1
SUVZ_04G1120	CAI4059330.1
SUVZ_04G1130	CAI4059334.1
SUVZ_04G1140	CAI4059338.1
SUVZ_04G1150	CAI4059342.1
SUVZ_04G1150	CAI4059342.1
SUVZ_04G1160	CAI4059346.1
SUVZ_04G1170	CAI4059350.1
SUVZ_04G1180	CAI4059354.1
SUVZ_04G1190	CAI4059358.1
SUVZ_04G1200	CAI4059362.1
SUVZ_04G1200	CAI4059362.1
SUVZ_04G1210	CAI4059366.1
SUVZ_04G1220	CAI4059370.1
SUVZ_04G1230	CAI4059374.1
SUVZ_04G1240	CAI4059378.1
SUVZ_04G1250	CAI4059382.1
SUVZ_04G1270	CAI4059386.1
SUVZ_04G1280	CAI4059390.1
SUVZ_04G1290	CAI4059394.1
SUVZ_04G1290	CAI4059394.1
SUVZ_04G1310	CAI4059398.1
SUVZ_04G1320	CAI4059402.1
SUVZ_04G1330	CAI4059406.1
SUVZ_04G1340	CAI4059411.1
SUVZ_04G1350	CAI4059415.1
SUVZ_04G1360	CAI4059419.1
SUVZ_04G1370	CAI4059423.1
SUVZ_04G1370	CAI4059423.1
SUVZ_04G1380	CAI4059427.1
SUVZ_04G1390	CAI4059431.1
SUVZ_04G1400	CAI4059435.1
SUVZ_04G1410	CAI4059439.1
SUVZ_04G1420	CAI4059443.1
SUVZ_04G1430	CAI4059447.1
SUVZ_04G1440	CAI4059451.1
SUVZ_04G1450	CAI4059455.1
SUVZ_04G1460	CAI4059459.1
SUVZ_04G1470	CAI4059463.1
SUVZ_04G1480	CAI4059467.1
SUVZ_04G1490	CAI4059470.1
SUVZ_04G1500	CAI4059473.1
SUVZ_04G1510	CAI4059476.1
SUVZ_04G1520	CAI4059479.1
SUVZ_04G1530	CAI4059482.1
SUVZ_04G1540	CAI4059485.1
SUVZ_04G1550	CAI4059488.1
SUVZ_04G1560	CAI4059491.1
SUVZ_04G1570	CAI4059494.1
SUVZ_04G1590	CAI4059497.1
SUVZ_04G1600	CAI4059500.1
SUVZ_04G1610	CAI4059503.1
SUVZ_04G1620	CAI4059506.1
SUVZ_04G1620	CAI4059506.1
SUVZ_04G1630	CAI4059509.1
SUVZ_04G1630	CAI4059509.1
SUVZ_04G1640	CAI4059512.1
SUVZ_04G1650	CAI4059515.1
SUVZ_04G1660	CAI4059518.1
SUVZ_04G1660	CAI4059518.1
SUVZ_04G1670	CAI4059521.1
SUVZ_04G1680	CAI4059524.1
SUVZ_04G1690	CAI4059527.1
SUVZ_04G1700	CAI4059530.1
SUVZ_04G1700	CAI4059530.1
SUVZ_04G1710	CAI4059533.1
SUVZ_04G1720	CAI4059536.1
SUVZ_04G1730	CAI4059538.1
SUVZ_04G1740	CAI4059541.1
SUVZ_04G1750	CAI4059544.1
SUVZ_04G1760	CAI4059547.1
SUVZ_04G1770	CAI4059550.1
SUVZ_04G1780	CAI4059553.1
SUVZ_04G1790	CAI4059556.1
SUVZ_04G1790	CAI4059556.1
SUVZ_04G1800	CAI4059559.1
SUVZ_04G1810	CAI4059562.1
SUVZ_04G1820	CAI4059565.1
SUVZ_04G1830	CAI4059568.1
SUVZ_04G1840	CAI4059571.1
SUVZ_04G1850	CAI4059574.1
SUVZ_04G1860	CAI4059577.1
SUVZ_04G1870	CAI4059580.1
SUVZ_04G1880	CAI4059583.1
SUVZ_04G1890	CAI4059586.1
SUVZ_04G1900	CAI4059589.1
SUVZ_04G1910	CAI4059592.1
SUVZ_04G1920	CAI4059594.1
SUVZ_04G1930	CAI4059596.1
SUVZ_04G1940	CAI4059598.1
SUVZ_04G1950	CAI4059600.1
SUVZ_04G1960	CAI4059602.1
SUVZ_04G1970	CAI4059603.1
SUVZ_04G1980	CAI4059604.1
SUVZ_04G1990	CAI4059605.1
SUVZ_04G2000	CAI4059606.1
SUVZ_04G2010	CAI4059607.1
SUVZ_04G2020	CAI4059608.1
SUVZ_04G2030	CAI4059609.1
SUVZ_04G2040	CAI4059610.1
SUVZ_04G2050	CAI4059611.1
SUVZ_04G2060	CAI4059612.1
SUVZ_04G2070	CAI4059613.1
SUVZ_04G2080	CAI4059614.1
SUVZ_04G2080	CAI4059614.1
SUVZ_04G2090	CAI4059615.1
SUVZ_04G2100	CAI4059616.1
SUVZ_04G2110	CAI4059617.1
SUVZ_04G2130	CAI4059618.1
SUVZ_04G2140	CAI4059619.1
SUVZ_04G2150	CAI4059620.1
SUVZ_04G2160	CAI4059621.1
SUVZ_04G2170	CAI4059622.1
SUVZ_04G2180	CAI4059623.1
SUVZ_04G2190	CAI4059624.1
SUVZ_04G2200	CAI4059625.1
SUVZ_04G2210	CAI4059626.1
SUVZ_04G2220	CAI4059627.1
SUVZ_04G2230	CAI4059628.1
SUVZ_04G2230	CAI4059628.1
SUVZ_04G2250	CAI4059629.1
SUVZ_04G2260	CAI4059630.1
SUVZ_04G2270	CAI4059631.1
SUVZ_04G2280	CAI4059632.1
SUVZ_04G2290	CAI4059633.1
SUVZ_04G2300	CAI4059634.1
SUVZ_04G2310	CAI4059635.1
SUVZ_04G2320	CAI4059636.1
SUVZ_04G2330	CAI4059637.1
SUVZ_04G2340	CAI4059638.1
SUVZ_04G2350	CAI4059639.1
SUVZ_04G2360	CAI4059640.1
SUVZ_04G2370	CAI4059641.1
SUVZ_04G2380	CAI4059642.1
SUVZ_04G2390	CAI4059643.1
SUVZ_04G2390	CAI4059643.1
SUVZ_04G2400	CAI4059644.1
SUVZ_04G2410	CAI4059646.1
SUVZ_04G2420	CAI4059648.1
SUVZ_04G2430	CAI4059650.1
SUVZ_04G2440	CAI4059652.1
SUVZ_04G2450	CAI4059654.1
SUVZ_04G2460	CAI4059656.1
SUVZ_04G2470	CAI4059658.1
SUVZ_04G2480	CAI4059660.1
SUVZ_04G2490	CAI4059662.1
SUVZ_04G2500	CAI4059664.1
SUVZ_04G2510	CAI4059666.1
SUVZ_04G2520	CAI4059668.1
SUVZ_04G2530	CAI4059670.1
SUVZ_04G2540	CAI4059672.1
SUVZ_04G2550	CAI4059674.1
SUVZ_04G2560	CAI4059676.1
SUVZ_04G2570	CAI4059678.1
SUVZ_04G2580	CAI4059680.1
SUVZ_04G2590	CAI4059682.1
SUVZ_04G2600	CAI4059684.1
SUVZ_04G2600	CAI4059684.1
SUVZ_04G2610	CAI4059686.1
SUVZ_04G2620	CAI4059688.1
SUVZ_04G2630	CAI4059690.1
SUVZ_04G2640	CAI4059692.1
SUVZ_04G2650	CAI4059694.1
SUVZ_04G2660	CAI4059696.1
SUVZ_04G2670	CAI4059698.1
SUVZ_04G2680	CAI4059700.1
SUVZ_04G2690	CAI4059702.1
SUVZ_04G2710	CAI4059704.1
SUVZ_04G2720	CAI4059706.1
SUVZ_04G2730	CAI4059708.1
SUVZ_04G2740	CAI4059710.1
SUVZ_04G2750	CAI4059712.1
SUVZ_04G2760	CAI4059714.1
SUVZ_04G2770	CAI4059716.1
SUVZ_02G2775	CAI4059718.1
SUVZ_02G2775	CAI4059718.1
SUVZ_04G2780	CAI4059720.1
SUVZ_04G2790	CAI4059722.1
SUVZ_04G2800	CAI4059724.1
SUVZ_04G2810	CAI4059726.1
SUVZ_04G2820	CAI4059728.1
SUVZ_04G2830	CAI4059730.1
SUVZ_04G2840	CAI4059732.1
SUVZ_04G2850	CAI4059734.1
SUVZ_04G2860	CAI4059736.1
SUVZ_04G2870	CAI4059738.1
SUVZ_04G2880	CAI4059740.1
SUVZ_04G2890	CAI4059742.1
SUVZ_04G2900	CAI4059744.1
SUVZ_04G2910	CAI4059747.1
SUVZ_04G2910	CAI4059747.1
SUVZ_04G2920	CAI4059750.1
SUVZ_04G2930	CAI4059753.1
SUVZ_04G2940	CAI4059756.1
SUVZ_04G2950	CAI4059759.1
SUVZ_04G2950	CAI4059759.1
SUVZ_04G2960	CAI4059762.1
SUVZ_04G2970	CAI4059764.1
SUVZ_04G2980	CAI4059767.1
SUVZ_04G2980	CAI4059767.1
SUVZ_04G2990	CAI4059770.1
SUVZ_04G3000	CAI4059773.1
SUVZ_04G3010	CAI4059776.1
SUVZ_04G3020	CAI4059779.1
SUVZ_04G3030	CAI4059782.1
SUVZ_04G3040	CAI4059785.1
SUVZ_04G3050	CAI4059788.1
SUVZ_04G3060	CAI4059791.1
SUVZ_04G3070	CAI4059794.1
SUVZ_04G3080	CAI4059797.1
SUVZ_04G3090	CAI4059800.1
SUVZ_04G3100	CAI4059803.1
SUVZ_04G3110	CAI4059806.1
SUVZ_04G3120	CAI4059809.1
SUVZ_04G3130	CAI4059813.1
SUVZ_04G3140	CAI4059817.1
SUVZ_04G3150	CAI4059821.1
SUVZ_04G3160	CAI4059825.1
SUVZ_04G3180	CAI4059829.1
SUVZ_04G3190	CAI4059833.1
SUVZ_04G3200	CAI4059837.1
SUVZ_04G3210	CAI4059841.1
SUVZ_04G3220	CAI4059845.1
SUVZ_04G3230	CAI4059849.1
SUVZ_04G3240	CAI4059853.1
SUVZ_04G3250	CAI4059857.1
SUVZ_04G3260	CAI4059861.1
SUVZ_04G3260	CAI4059861.1
SUVZ_04G3260	CAI4059861.1
SUVZ_04G3270	CAI4059865.1
SUVZ_04G3280	CAI4059869.1
SUVZ_04G3290	CAI4059873.1
SUVZ_04G3300	CAI4059877.1
SUVZ_04G3310	CAI4059881.1
SUVZ_04G3320	CAI4059885.1
SUVZ_04G3320	CAI4059885.1
SUVZ_04G3330	CAI4059889.1
SUVZ_04G3340	CAI4059893.1
SUVZ_04G3360	CAI4059897.1
SUVZ_04G3370	CAI4059901.1
SUVZ_04G3380	CAI4059905.1
SUVZ_04G3390	CAI4059909.1
SUVZ_04G3400	CAI4059912.1
SUVZ_04G3410	CAI4059916.1
SUVZ_04G3420	CAI4059920.1
SUVZ_04G3430	CAI4059924.1
SUVZ_04G3440	CAI4059928.1
SUVZ_04G3450	CAI4059932.1
SUVZ_04G3460	CAI4059936.1
SUVZ_04G3470	CAI4059940.1
SUVZ_04G3480	CAI4059944.1
SUVZ_04G3490	CAI4059948.1
SUVZ_04G3500	CAI4059952.1
SUVZ_04G3510	CAI4059956.1
SUVZ_04G3520	CAI4059960.1
SUVZ_04G3530	CAI4059964.1
SUVZ_04G3540	CAI4059968.1
SUVZ_04G3550	CAI4059972.1
SUVZ_04G3560	CAI4059976.1
SUVZ_04G3570	CAI4059980.1
SUVZ_04G3580	CAI4059984.1
SUVZ_04G3590	CAI4059988.1
SUVZ_04G3600	CAI4059992.1
SUVZ_04G3610	CAI4059996.1
SUVZ_04G3620	CAI4060000.1
SUVZ_04G3630	CAI4060004.1
SUVZ_04G3640	CAI4060008.1
SUVZ_04G3650	CAI4060012.1
SUVZ_04G3660	CAI4060016.1
SUVZ_04G3670	CAI4060020.1
SUVZ_04G3680	CAI4060024.1
SUVZ_04G3690	CAI4060028.1
SUVZ_04G3700	CAI4060032.1
SUVZ_04G3710	CAI4060036.1
SUVZ_04G3720	CAI4060040.1
SUVZ_04G3730	CAI4060044.1
SUVZ_04G3740	CAI4060048.1
SUVZ_04G3750	CAI4060053.1
SUVZ_04G3760	CAI4060057.1
SUVZ_04G3770	CAI4060061.1
SUVZ_04G3780	CAI4060065.1
SUVZ_04G3790	CAI4060069.1
SUVZ_04G3800	CAI4060073.1
SUVZ_04G3810	CAI4060077.1
SUVZ_04G3820	CAI4060081.1
SUVZ_04G3830	CAI4060085.1
SUVZ_04G3840	CAI4060089.1
SUVZ_04G3850	CAI4060093.1
SUVZ_04G3870	CAI4060098.1
SUVZ_04G3880	CAI4060102.1
SUVZ_04G3890	CAI4060106.1
SUVZ_04G3900	CAI4060110.1
SUVZ_04G3910	CAI4060114.1
SUVZ_04G3920	CAI4060118.1
SUVZ_04G3920	CAI4060118.1
SUVZ_04G3930	CAI4060122.1
SUVZ_04G3940	CAI4060126.1
SUVZ_04G3950	CAI4060130.1
SUVZ_04G3960	CAI4060134.1
SUVZ_04G3970	CAI4060138.1
SUVZ_04G3970	CAI4060138.1
SUVZ_04G3980	CAI4060142.1
SUVZ_04G3990	CAI4060146.1
SUVZ_04G4000	CAI4060150.1
SUVZ_04G4000	CAI4060150.1
SUVZ_04G4010	CAI4060154.1
SUVZ_04G4010	CAI4060154.1
SUVZ_04G4030	CAI4060158.1
SUVZ_04G4040	CAI4060162.1
SUVZ_04G4050	CAI4060166.1
SUVZ_04G4060	CAI4060170.1
SUVZ_04G4070	CAI4060174.1
SUVZ_04G4080	CAI4060178.1
SUVZ_04G4090	CAI4060182.1
SUVZ_04G4100	CAI4060186.1
SUVZ_04G4110	CAI4060190.1
SUVZ_04G4120	CAI4060194.1
SUVZ_04G4130	CAI4060198.1
SUVZ_04G4140	CAI4060202.1
SUVZ_04G4150	CAI4060206.1
SUVZ_04G4160	CAI4060210.1
SUVZ_04G4170	CAI4060214.1
SUVZ_04G4180	CAI4060218.1
SUVZ_04G4190	CAI4060222.1
SUVZ_04G4200	CAI4060226.1
SUVZ_04G4210	CAI4060230.1
SUVZ_04G4220	CAI4060234.1
SUVZ_04G4230	CAI4060238.1
SUVZ_04G4240	CAI4060242.1
SUVZ_04G4240	CAI4060242.1
SUVZ_04G4250	CAI4060246.1
SUVZ_04G4260	CAI4060250.1
SUVZ_04G4270	CAI4060254.1
SUVZ_04G4290	CAI4060258.1
SUVZ_04G4300	CAI4060262.1
SUVZ_04G4310	CAI4060266.1
SUVZ_04G4320	CAI4060270.1
SUVZ_04G4330	CAI4060274.1
SUVZ_04G4340	CAI4060278.1
SUVZ_04G4350	CAI4060282.1
SUVZ_04G4360	CAI4060286.1
SUVZ_04G4370	CAI4060290.1
SUVZ_04G4370	CAI4060290.1
SUVZ_04G4380	CAI4060294.1
SUVZ_04G4390	CAI4060298.1
SUVZ_04G4410	CAI4060302.1
SUVZ_04G4420	CAI4060306.1
SUVZ_04G4430	CAI4060310.1
SUVZ_04G4440	CAI4060314.1
SUVZ_04G4450	CAI4060318.1
SUVZ_04G4460	CAI4060322.1
SUVZ_04G4470	CAI4060326.1
SUVZ_04G4480	CAI4060330.1
SUVZ_04G4490	CAI4060334.1
SUVZ_04G4500	CAI4060338.1
SUVZ_04G4510	CAI4060342.1
SUVZ_04G4520	CAI4060346.1
SUVZ_04G4530	CAI4060350.1
SUVZ_04G4540	CAI4060354.1
SUVZ_04G4550	CAI4060358.1
SUVZ_04G4560	CAI4060362.1
SUVZ_04G4570	CAI4060366.1
SUVZ_04G4580	CAI4060370.1
SUVZ_04G4590	CAI4060374.1
SUVZ_04G4600	CAI4060378.1
SUVZ_04G4610	CAI4060382.1
SUVZ_04G4620	CAI4060386.1
SUVZ_04G4630	CAI4060391.1
SUVZ_04G4640	CAI4060395.1
SUVZ_04G4650	CAI4060397.1
SUVZ_04G4650	CAI4060397.1
SUVZ_04G4660	CAI4060401.1
SUVZ_04G4670	CAI4060405.1
SUVZ_04G4680	CAI4060409.1
SUVZ_04G4690	CAI4060413.1
SUVZ_04G4700	CAI4060417.1
SUVZ_04G4710	CAI4060421.1
SUVZ_04G4720	CAI4060425.1
SUVZ_04G4730	CAI4060429.1
SUVZ_04G4740	CAI4060433.1
SUVZ_04G4750	CAI4060437.1
SUVZ_04G4760	CAI4060441.1
SUVZ_04G4770	CAI4060445.1
SUVZ_04G4780	CAI4060449.1
SUVZ_04G4790	CAI4060453.1
SUVZ_04G4800	CAI4060457.1
SUVZ_04G4810	CAI4060461.1
SUVZ_04G4820	CAI4060466.1
SUVZ_04G4830	CAI4060470.1
SUVZ_04G4840	CAI4060473.1
SUVZ_04G4850	CAI4060477.1
SUVZ_04G4870	CAI4060481.1
SUVZ_04G4880	CAI4060486.1
SUVZ_04G4890	CAI4060490.1
SUVZ_04G4900	CAI4060494.1
SUVZ_04G4910	CAI4060498.1
SUVZ_04G4920	CAI4060502.1
SUVZ_04G4930	CAI4060506.1
SUVZ_04G4940	CAI4060510.1
SUVZ_04G4950	CAI4060514.1
SUVZ_04G4960	CAI4060518.1
SUVZ_04G4970	CAI4060522.1
SUVZ_04G4980	CAI4060526.1
SUVZ_04G4990	CAI4060530.1
SUVZ_04G5000	CAI4060534.1
SUVZ_04G5010	CAI4060538.1
SUVZ_04G5020	CAI4060542.1
SUVZ_04G5030	CAI4060546.1
SUVZ_04G5040	CAI4060550.1
SUVZ_04G5050	CAI4060554.1
SUVZ_04G5060	CAI4060558.1
SUVZ_04G5070	CAI4060562.1
SUVZ_04G5080	CAI4060566.1
SUVZ_04G5090	CAI4060570.1
SUVZ_05G0010	CAI4060701.1
SUVZ_05G0020	CAI4060703.1
SUVZ_05G0030	CAI4060705.1
SUVZ_05G0040	CAI4060707.1
SUVZ_05G0050	CAI4060709.1
SUVZ_05G0060	CAI4060711.1
SUVZ_05G0070	CAI4060713.1
