GVI51_A00011	XP_065482658.1
GVI51_D03157	XP_445556.1
GVI51_D03179	XP_445557.1
GVI51_D03201	XP_445558.1
GVI51_D03223	XP_445559.1
GVI51_D03245	XP_445560.1
GVI51_D03267	XP_445561.1
GVI51_D03289	XP_445562.1
GVI51_D03333	XP_445563.1
GVI51_D03355	XP_445564.1
GVI51_D03377	XP_445565.1
GVI51_D03399	XP_445566.1
GVI51_D03443	XP_445567.1
GVI51_D03465	XP_445568.1
GVI51_D03487	XP_445569.1
GVI51_D03509	XP_445570.2
GVI51_D03531	XP_445571.1
GVI51_D03553	XP_445572.1
GVI51_D03575	XP_445573.1
GVI51_D03597	XP_445574.2
GVI51_D03619	XP_445575.1
GVI51_D03641	XP_445576.2
GVI51_D03663	XP_445577.1
GVI51_D03685	XP_445578.1
GVI51_D03707	XP_445579.1
GVI51_D03729	XP_445580.2
GVI51_D03751	XP_445581.1
GVI51_D03773	XP_445582.1
GVI51_D03795	XP_445583.1
GVI51_D03817	XP_445584.1
GVI51_D03839	XP_445585.1
GVI51_D03861	XP_445586.1
GVI51_D03883	XP_445587.1
GVI51_D03905	XP_445588.2
GVI51_D03927	XP_445589.1
GVI51_D03949	XP_445590.1
GVI51_D03971	XP_445591.1
GVI51_D03993	XP_445592.1
GVI51_D04015	XP_445593.1
GVI51_D04037	XP_445594.1
GVI51_D04059	XP_445595.1
GVI51_D04081	XP_445596.2
GVI51_D04081	XP_445596.2
GVI51_D04103	XP_445597.1
GVI51_D04125	XP_445598.1
GVI51_D04147	XP_445599.1
GVI51_D04191	XP_445600.1
GVI51_D04213	XP_445601.1
GVI51_D04235	XP_445602.2
GVI51_D04257	XP_445603.1
GVI51_D04301	XP_445604.1
GVI51_D04323	XP_445605.1
GVI51_D04345	XP_002999530.1
GVI51_D04367	XP_445606.1
GVI51_D04389	XP_445607.1
GVI51_D04411	XP_445608.1
GVI51_D04433	XP_445609.1
GVI51_D04455	XP_445610.1
GVI51_D04477	XP_445611.1
GVI51_D04521	XP_445612.1
GVI51_D04565	XP_445613.1
GVI51_D04587	XP_445614.1
GVI51_D04631	XP_445615.1
GVI51_D04653	XP_445616.1
GVI51_D04675	XP_445617.1
GVI51_D04697	XP_445618.1
GVI51_D04719	XP_445619.1
GVI51_D04741	XP_445620.1
GVI51_D04763	XP_445621.1
GVI51_D04785	XP_002999531.1
GVI51_D04807	XP_445622.1
GVI51_D04829	XP_445623.1
GVI51_D04851	XP_445624.1
GVI51_D04895	XP_445625.1
GVI51_D04917	XP_445626.1
GVI51_D04939	XP_445627.1
GVI51_D04961	XP_445628.1
GVI51_D04983	XP_445629.1
GVI51_D05027	XP_445630.1
GVI51_D05049	XP_445631.1
GVI51_D05071	XP_065482679.1
GVI51_D05115	XP_445633.1
GVI51_D05137	XP_445634.1
GVI51_D05159	XP_445635.1
GVI51_D05181	XP_445636.1
GVI51_D05203	XP_445637.1
GVI51_D05225	XP_445638.1
GVI51_D05247	XP_445639.1
GVI51_D05269	XP_445640.1
GVI51_D05291	XP_002999532.1
GVI51_D05291	XP_002999532.1
GVI51_D05313	XP_445641.1
GVI51_D05335	XP_445642.1
GVI51_D05357	XP_445643.1
GVI51_D05401	XP_445644.1
GVI51_D05423	XP_445645.1
GVI51_D05445	XP_445646.1
GVI51_D05467	XP_445647.1
GVI51_D05489	XP_445648.1
GVI51_D05511	XP_445649.1
GVI51_D05533	XP_445650.1
GVI51_D05555	XP_445651.1
GVI51_D05577	XP_445652.1
GVI51_D05599	XP_445653.1
GVI51_D05621	XP_445654.1
GVI51_D05643	XP_445655.1
GVI51_D05665	XP_445656.1
GVI51_D05687	XP_445657.1
GVI51_D05709	XP_445658.1
GVI51_D05731	XP_445659.1
GVI51_D05753	XP_445660.1
GVI51_D05775	XP_445661.1
GVI51_D05797	XP_445662.1
GVI51_D05819	XP_445663.1
GVI51_D05841	XP_445664.1
GVI51_D05863	XP_445665.1
GVI51_D05885	XP_445666.1
GVI51_D05907	XP_445667.1
GVI51_D05929	XP_445668.1
GVI51_D05973	XP_445669.1
GVI51_D05995	XP_445670.1
GVI51_D06017	XP_445671.1
GVI51_D06061	XP_445672.1
GVI51_D06105	XP_445673.1
GVI51_D06127	XP_002999533.2
GVI51_D06149	XP_445674.1
GVI51_D06171	XP_445675.1
GVI51_D06193	XP_445676.1
GVI51_D06215	XP_445677.1
GVI51_D06259	XP_445678.1
GVI51_D06281	XP_445679.1
GVI51_D06303	XP_445680.2
GVI51_D06325	XP_445681.1
GVI51_D06369	XP_445682.1
GVI51_D06391	XP_445683.1
GVI51_D06413	XP_445684.1
GVI51_D06435	XP_445685.1
GVI51_D06457	XP_445686.1
GVI51_D06479	XP_445687.1
GVI51_D06501	XP_445688.1
GVI51_D06523	XP_445689.1
GVI51_D06545	XP_445690.1
GVI51_D06567	XP_445691.1
GVI51_D06589	XP_445692.1
GVI51_D06611	XP_445693.1
GVI51_D06633	XP_445694.1
GVI51_D06655	XP_445695.1
GVI51_D06677	XP_445696.1
GVI51_D06699	XP_445697.1
GVI51_D06721	XP_065482680.1
GVI51_E00011	XP_065482681.1
GVI51_E00033	XP_445699.1
GVI51_E00055	XP_002999534.2
GVI51_E00077	XP_445700.1
GVI51_E00121	XP_445702.1
GVI51_E00121	XP_445702.1
GVI51_E00121	XP_445702.1
GVI51_E00143	XP_445703.1
GVI51_E00165	XP_445704.1
GVI51_E00187	XP_445705.1
GVI51_E00209	XP_445706.1
GVI51_E00231	XP_445707.1
GVI51_E00253	XP_445708.1
GVI51_E00275	XP_445709.1
GVI51_E00297	XP_445710.1
GVI51_E00319	XP_445711.1
GVI51_E00341	XP_445712.1
GVI51_E00363	XP_445713.1
GVI51_E00385	XP_445714.1
GVI51_E00407	XP_445715.1
GVI51_E00429	XP_445716.1
GVI51_E00451	XP_445717.1
GVI51_E00473	XP_445718.1
GVI51_E00495	XP_445719.1
GVI51_E00517	XP_445720.1
GVI51_E00539	XP_445721.1
GVI51_E00561	XP_445722.1
GVI51_E00583	XP_445723.1
GVI51_E00627	XP_445724.2
GVI51_E00649	XP_445725.1
GVI51_E00671	XP_445726.2
GVI51_E00693	XP_445727.1
GVI51_E00715	XP_445728.1
GVI51_E00737	XP_445729.1
GVI51_E00759	XP_445730.1
GVI51_E00781	XP_445731.1
GVI51_E00803	XP_445732.1
GVI51_E00825	XP_445733.1
GVI51_E00847	XP_445734.1
GVI51_E00869	XP_445735.1
GVI51_E00891	XP_445736.1
GVI51_E00913	XP_445737.1
GVI51_E00935	XP_445738.1
GVI51_E00957	XP_445739.1
GVI51_E00979	XP_445740.1
GVI51_E01001	XP_445741.1
GVI51_E01023	XP_445742.1
GVI51_E01045	XP_445743.1
GVI51_E01067	XP_445744.1
GVI51_E01089	XP_445745.2
GVI51_E01089	XP_445745.2
GVI51_E01111	XP_445746.1
GVI51_E01133	XP_445747.1
GVI51_E01155	XP_445749.1
GVI51_E01177	XP_445750.2
GVI51_E01199	XP_445751.1
GVI51_E01221	XP_445752.1
GVI51_E01243	XP_445753.1
GVI51_E01265	XP_445754.1
GVI51_E01287	XP_445755.1
GVI51_E01309	XP_445756.1
GVI51_E01331	XP_002999535.1
GVI51_E01353	XP_445757.1
GVI51_E01375	XP_445758.1
GVI51_E01397	XP_445759.1
GVI51_E01419	XP_445760.1
GVI51_E01441	XP_445761.2
GVI51_E01463	XP_445762.1
GVI51_E01485	XP_445763.1
GVI51_E01507	XP_445764.1
GVI51_E01529	XP_445765.1
GVI51_E01551	XP_445766.1
GVI51_E01573	XP_445767.1
GVI51_E01595	XP_445768.1
GVI51_E01617	XP_445769.1
GVI51_E01639	XP_445770.1
GVI51_E01661	XP_445771.1
GVI51_E01683	XP_445772.1
GVI51_E01705	XP_445773.1
GVI51_E01727	XP_445774.1
GVI51_E01749	XP_445775.1
GVI51_E01771	XP_445776.1
GVI51_E01771	XP_445776.1
GVI51_E01793	XP_445777.2
GVI51_E01793	XP_445777.2
GVI51_E01815	XP_445778.1
GVI51_E01837	XP_445779.1
GVI51_E01859	XP_445780.1
GVI51_E01881	XP_445781.1
GVI51_E01903	XP_445782.1
GVI51_E01925	XP_445783.1
GVI51_E01947	XP_445784.1
GVI51_E01969	XP_445785.3
GVI51_E01991	XP_445786.1
GVI51_E02013	XP_445787.1
GVI51_E02035	XP_445788.1
GVI51_E02079	XP_445789.1
GVI51_E02101	XP_002999536.1
GVI51_E02123	XP_445790.1
GVI51_E02145	XP_445791.1
GVI51_E02167	XP_445792.1
GVI51_E02189	XP_445793.1
GVI51_E02211	XP_445794.1
GVI51_E02233	XP_445795.1
GVI51_E02255	XP_445796.1
GVI51_E02277	XP_445797.1
GVI51_E02299	XP_445798.1
GVI51_E02321	XP_445799.1
GVI51_E02343	XP_445800.1
GVI51_E02365	XP_445801.1
GVI51_E02387	XP_445802.1
GVI51_E02409	XP_445803.1
GVI51_E02431	XP_445804.1
GVI51_E02453	XP_445805.1
GVI51_E02475	XP_445806.1
GVI51_E02497	XP_445807.1
GVI51_E02519	XP_445808.1
GVI51_E02541	XP_445809.1
GVI51_E02563	XP_445810.1
GVI51_E02585	XP_445811.1
GVI51_E02607	XP_445812.1
GVI51_E02629	XP_445813.1
GVI51_E02651	XP_445814.1
GVI51_E02673	XP_445815.1
GVI51_E02695	XP_445816.1
GVI51_E02717	XP_445817.1
GVI51_E02739	XP_445818.1
GVI51_E02761	XP_445819.1
GVI51_E02783	XP_445820.1
GVI51_E02805	XP_445821.1
GVI51_E02827	XP_445823.2
GVI51_E02827	XP_445823.2
GVI51_E02871	XP_445824.1
GVI51_E02893	XP_445826.1
GVI51_E02915	XP_445827.1
GVI51_E02937	XP_445828.1
GVI51_E02959	XP_445829.1
GVI51_E02981	XP_445830.1
GVI51_E03003	XP_445831.1
GVI51_E03025	XP_445832.1
GVI51_E03047	XP_445833.1
GVI51_E03091	XP_445834.1
GVI51_E03113	XP_065482682.1
GVI51_E03157	XP_445835.1
GVI51_E03179	XP_445836.1
GVI51_E03201	XP_445837.1
GVI51_E03223	XP_445838.1
GVI51_E03245	XP_445839.2
GVI51_E03267	XP_445840.1
GVI51_E03289	XP_445841.1
GVI51_E03311	XP_445842.1
GVI51_E03355	XP_445843.1
GVI51_E03377	XP_445844.2
GVI51_E03399	XP_445845.1
GVI51_E03421	XP_445846.1
GVI51_E03443	XP_445848.1
GVI51_E03465	XP_445849.2
GVI51_E03487	XP_445850.1
GVI51_E03509	XP_445851.1
GVI51_E03531	XP_445852.1
GVI51_E03553	XP_445853.1
GVI51_E03575	XP_445854.1
GVI51_E03597	XP_445855.1
GVI51_E03619	XP_445856.1
GVI51_E03641	XP_445857.1
GVI51_E03663	XP_445858.1
GVI51_E03685	XP_445859.1
GVI51_E03707	XP_445860.1
GVI51_E03729	XP_445861.1
GVI51_E03751	XP_445862.1
GVI51_E03773	XP_445863.1
GVI51_E03773	XP_445863.1
GVI51_E03795	XP_445864.1
GVI51_E03817	XP_445865.1
GVI51_E03839	XP_445866.1
GVI51_E03861	XP_445867.1
GVI51_E03883	XP_445868.1
GVI51_E03905	XP_445869.1
GVI51_E03927	XP_445871.1
GVI51_E03949	XP_445872.1
GVI51_E03971	XP_445873.1
GVI51_E03993	XP_445874.1
GVI51_E04015	XP_445875.1
GVI51_E04037	XP_445876.1
GVI51_E04059	XP_445877.1
GVI51_E04081	XP_445878.1
GVI51_E04103	XP_445879.1
GVI51_E04125	XP_445880.1
GVI51_E04147	XP_445881.1
GVI51_E04169	XP_445882.1
GVI51_E04191	XP_445883.1
GVI51_E04213	XP_445884.1
GVI51_E04235	XP_445885.1
GVI51_E04257	XP_002999537.1
GVI51_E04279	XP_445886.1
GVI51_E04301	XP_445887.1
GVI51_E04323	XP_445888.1
GVI51_E04345	XP_445889.1
GVI51_E04367	XP_445890.2
GVI51_E04389	XP_445891.1
GVI51_E04411	XP_445892.1
GVI51_E04433	XP_445893.1
GVI51_E04477	XP_445894.1
GVI51_E04499	XP_445895.1
GVI51_E04521	XP_445896.1
GVI51_E04543	XP_445897.1
GVI51_E04565	XP_445898.1
GVI51_E04587	XP_445899.1
GVI51_E04609	XP_445900.2
GVI51_E04631	XP_445901.1
GVI51_E04653	XP_445902.1
GVI51_E04675	XP_445903.1
GVI51_E04697	XP_445904.1
GVI51_E04719	XP_445905.1
GVI51_E04741	XP_445906.1
GVI51_E04763	XP_445907.1
GVI51_E04785	XP_445908.1
GVI51_E04807	XP_445909.1
GVI51_E04829	XP_445910.1
GVI51_E04851	XP_445911.1
GVI51_E04873	XP_445912.1
GVI51_E04895	XP_445913.1
GVI51_E04917	XP_445914.1
GVI51_E04939	XP_445915.1
GVI51_E04961	XP_445916.1
GVI51_E04983	XP_445917.1
GVI51_E05005	XP_445918.1
GVI51_E05027	XP_445919.1
GVI51_E05049	XP_445920.1
GVI51_E05071	XP_445921.1
GVI51_E05093	XP_445922.1
GVI51_E05115	XP_445923.1
GVI51_E05137	XP_445924.1
GVI51_E05159	XP_445925.1
GVI51_E05181	XP_445926.1
GVI51_E05203	XP_445927.1
GVI51_E05225	XP_445928.1
GVI51_E05247	XP_445929.1
GVI51_E05291	XP_445930.1
GVI51_E05313	XP_445931.1
GVI51_E05335	XP_445932.1
GVI51_E05357	XP_445933.1
GVI51_E05379	XP_445934.1
GVI51_E05401	XP_445935.1
GVI51_E05423	XP_445936.1
GVI51_E05445	XP_445937.1
GVI51_E05467	XP_445938.1
GVI51_E05489	XP_445939.1
GVI51_E05511	XP_445940.1
GVI51_E05533	XP_445941.1
GVI51_E05555	XP_445942.1
GVI51_E05577	XP_445944.1
GVI51_E05599	XP_445945.1
GVI51_E05599	XP_445945.1
GVI51_E05621	XP_445946.1
GVI51_E05643	XP_445947.1
GVI51_E05665	XP_445948.1
GVI51_E05687	XP_445949.1
GVI51_E05709	XP_445950.1
GVI51_E05731	XP_445951.1
GVI51_E05753	XP_445952.1
GVI51_E05775	XP_445953.1
GVI51_E05797	XP_445954.1
GVI51_E05819	XP_445955.1
GVI51_E05841	XP_445956.1
GVI51_E05863	XP_445957.1
GVI51_E05885	XP_445958.1
GVI51_E05907	XP_445959.1
GVI51_E05929	XP_445960.2
GVI51_E05929	XP_445960.2
GVI51_E05951	XP_445961.1
GVI51_E05973	XP_445962.1
GVI51_E05995	XP_445963.1
GVI51_E06017	XP_445964.1
GVI51_E06039	XP_445965.1
GVI51_E06061	XP_445966.1
GVI51_E06083	XP_445967.1
GVI51_E06105	XP_445968.1
GVI51_E06127	XP_445969.1
GVI51_E06149	XP_445970.1
GVI51_E06171	XP_445971.1
GVI51_E06193	XP_445972.1
GVI51_E06215	XP_445973.1
GVI51_E06237	XP_445974.1
GVI51_E06259	XP_445975.1
GVI51_E06281	XP_445977.1
GVI51_E06303	XP_445979.1
GVI51_E06325	XP_445980.1
GVI51_E06347	XP_445981.1
GVI51_F00011	XP_065482683.1
GVI51_F00033	XP_065482684.1
GVI51_F00055	XP_445982.1
GVI51_F00077	XP_445983.1
GVI51_F00099	XP_445984.1
GVI51_F00121	XP_445985.1
GVI51_F00143	XP_445986.1
GVI51_F00165	XP_445987.1
GVI51_F00187	XP_445988.1
GVI51_F00209	XP_445989.1
GVI51_F00231	XP_445990.1
GVI51_F00275	XP_445991.1
GVI51_F00297	XP_445992.1
GVI51_F00319	XP_445993.1
GVI51_F00341	XP_445994.1
GVI51_F00363	XP_445995.2
GVI51_F00385	XP_445996.1
GVI51_F00407	XP_445997.1
GVI51_F00429	XP_445998.1
GVI51_F00451	XP_445999.1
GVI51_F00473	XP_446000.1
GVI51_F00495	XP_446001.1
GVI51_F00517	XP_446002.1
GVI51_F00539	XP_446003.1
GVI51_F00561	XP_446004.1
GVI51_F00583	XP_446005.1
GVI51_F00605	XP_446006.1
GVI51_F00627	XP_446007.1
GVI51_F00649	XP_446009.1
GVI51_F00671	XP_446010.1
GVI51_F00693	XP_446011.1
GVI51_F00693	XP_446011.1
GVI51_F00715	XP_446012.2
GVI51_F00737	XP_446013.1
GVI51_F00759	XP_446014.1
GVI51_F00781	XP_446015.1
GVI51_F00803	XP_446016.1
GVI51_F00825	XP_446017.1
GVI51_F00847	XP_446018.1
GVI51_F00869	XP_446019.1
GVI51_F00891	XP_446021.1
GVI51_F00913	XP_446022.1
GVI51_F00935	XP_446023.1
GVI51_F00957	XP_446024.1
GVI51_F00979	XP_446025.1
GVI51_F01001	XP_446026.1
GVI51_F01023	XP_446027.1
GVI51_F01045	XP_446028.1
GVI51_F01067	XP_446029.1
GVI51_F01089	XP_446030.1
GVI51_F01133	XP_446031.1
GVI51_F01177	XP_446032.1
GVI51_F01199	XP_446033.1
GVI51_F01221	XP_446035.1
GVI51_F01243	XP_446036.1
GVI51_F01265	XP_446037.1
GVI51_F01287	XP_446038.1
GVI51_F01309	XP_446039.1
GVI51_F01331	XP_446040.1
GVI51_F01353	XP_446041.1
GVI51_F01375	XP_446042.1
GVI51_F01397	XP_446043.1
GVI51_F01419	XP_446044.1
GVI51_F01441	XP_446045.2
GVI51_F01441	XP_446045.2
GVI51_F01463	XP_446046.1
GVI51_F01485	XP_446047.1
GVI51_F01507	XP_446048.1
GVI51_F01529	XP_446049.1
GVI51_F01551	XP_446050.1
GVI51_F01573	XP_446051.1
GVI51_F01595	XP_446052.1
GVI51_F01617	XP_446053.1
GVI51_F01639	XP_446054.1
GVI51_F01661	XP_446055.1
GVI51_F01683	XP_446056.1
GVI51_F01705	XP_446057.1
GVI51_F01727	XP_446058.1
GVI51_F01749	XP_446059.1
GVI51_F01771	XP_446060.1
GVI51_F01793	XP_446061.1
GVI51_F01815	XP_446062.1
GVI51_F01837	XP_446063.1
GVI51_F01859	XP_446064.1
GVI51_F01881	XP_446065.1
GVI51_F01903	XP_446066.1
GVI51_F01925	XP_446067.1
GVI51_F01969	XP_446068.1
GVI51_F01991	XP_446069.1
GVI51_F02013	XP_446070.1
GVI51_F02035	XP_446071.1
GVI51_F02057	XP_446072.1
GVI51_F02079	XP_446073.1
GVI51_F02101	XP_446074.1
GVI51_F02145	XP_446075.1
GVI51_F02167	XP_446076.1
GVI51_F02189	XP_446077.1
GVI51_F02211	XP_446078.1
GVI51_F02233	XP_002999538.1
GVI51_F02233	XP_002999538.1
GVI51_F02255	XP_446079.1
GVI51_F02277	XP_446080.1
GVI51_F02299	XP_446081.1
GVI51_F02321	XP_446082.1
GVI51_F02343	XP_446083.1
GVI51_F02365	XP_446085.1
GVI51_F02387	XP_446086.1
GVI51_F02409	XP_446087.1
GVI51_F02431	XP_446088.1
GVI51_F02453	XP_446089.1
GVI51_F02475	XP_446090.1
GVI51_F02497	XP_446091.1
GVI51_F02519	XP_446092.1
GVI51_F02541	XP_446093.1
GVI51_F02563	XP_446094.1
GVI51_F02585	XP_446095.1
GVI51_F02607	XP_446096.1
GVI51_F02629	XP_446097.1
GVI51_F02651	XP_446098.1
GVI51_F02673	XP_446099.1
GVI51_F02717	XP_446100.1
GVI51_F02739	XP_446101.1
GVI51_F02761	XP_446102.1
GVI51_F02783	XP_446103.1
GVI51_F02805	XP_446104.1
GVI51_F02805	XP_446104.1
GVI51_F02827	XP_446105.1
GVI51_F02849	XP_446106.1
GVI51_F02871	XP_446107.1
GVI51_F02893	XP_446108.1
GVI51_F02915	XP_446109.1
GVI51_F02937	XP_446110.1
GVI51_F02959	XP_446111.1
GVI51_F02981	XP_002999539.1
GVI51_F02981	XP_002999539.1
GVI51_F03003	XP_446112.1
GVI51_F03025	XP_446113.1
GVI51_F03047	XP_446114.1
GVI51_F03069	XP_446115.1
GVI51_F03113	XP_446117.1
GVI51_F03135	XP_446118.1
GVI51_F03157	XP_446119.1
GVI51_F03179	XP_446120.1
GVI51_F03201	XP_446121.1
GVI51_F03223	XP_446123.1
GVI51_F03245	XP_446124.1
GVI51_F03267	XP_446125.1
GVI51_F03289	XP_446126.1
GVI51_F03289	XP_446126.1
GVI51_F03311	XP_446127.1
GVI51_F03333	XP_446128.1
GVI51_F03355	XP_446129.1
GVI51_F03377	XP_446130.1
GVI51_F03399	XP_446131.1
GVI51_F03421	XP_446132.1
GVI51_F03443	XP_446133.1
GVI51_F03465	XP_446134.1
GVI51_F03487	XP_446135.1
GVI51_F03509	XP_446136.1
GVI51_F03531	XP_446137.1
GVI51_F03553	XP_446138.1
GVI51_F03575	XP_446139.1
GVI51_F03597	XP_446140.1
GVI51_F03619	XP_446141.1
GVI51_F03641	XP_446142.1
GVI51_F03663	XP_446143.1
GVI51_F03685	XP_446144.1
GVI51_F03707	XP_446145.1
GVI51_F03729	XP_446148.1
GVI51_F03751	XP_065482685.1
GVI51_F03773	XP_446149.1
GVI51_F03795	XP_446150.1
GVI51_F03817	XP_446153.1
GVI51_F03839	XP_446154.1
GVI51_F03861	XP_446155.1
GVI51_F03883	XP_446156.1
GVI51_F03905	XP_446157.1
GVI51_F03927	XP_446158.1
GVI51_F03949	XP_446159.1
GVI51_F03971	XP_446160.1
GVI51_F03993	XP_446161.1
GVI51_F04015	XP_446162.1
GVI51_F04037	XP_446163.1
GVI51_F04059	XP_446164.1
GVI51_F04081	XP_446165.1
GVI51_F04103	XP_446166.1
GVI51_F04125	XP_446167.1
GVI51_F04147	XP_446168.1
GVI51_F04169	XP_446169.1
GVI51_F04191	XP_446170.1
GVI51_F04213	XP_446171.1
GVI51_F04235	XP_446172.1
GVI51_F04257	XP_446173.1
GVI51_F04279	XP_446174.1
GVI51_F04323	XP_446175.1
GVI51_F04345	XP_446176.1
GVI51_F04367	XP_446177.1
GVI51_F04389	XP_446178.1
GVI51_F04411	XP_446179.2
GVI51_F04433	XP_446180.1
GVI51_F04455	XP_446181.1
GVI51_F04477	XP_446182.1
GVI51_F04499	XP_446183.1
GVI51_F04521	XP_446184.1
GVI51_F04543	XP_446185.1
GVI51_F04565	XP_446186.1
GVI51_F04587	XP_446187.1
GVI51_F04587	XP_446187.1
GVI51_F04609	XP_446188.1
GVI51_F04631	XP_446189.1
GVI51_F04653	XP_446190.1
GVI51_F04675	XP_446191.1
GVI51_F04697	XP_446192.1
GVI51_F04719	XP_446193.1
GVI51_F04741	XP_446194.1
GVI51_F04763	XP_446195.1
GVI51_F04785	XP_446196.1
GVI51_F04807	XP_446197.1
GVI51_F04829	XP_446198.1
GVI51_F04851	XP_446199.1
GVI51_F04873	XP_446200.1
GVI51_F04895	XP_446201.1
GVI51_F04939	XP_002999540.1
GVI51_F04961	XP_446202.1
GVI51_F04983	XP_446203.1
GVI51_F05005	XP_446204.1
GVI51_F05027	XP_446205.1
GVI51_F05049	XP_446206.1
GVI51_F05071	XP_446207.1
GVI51_F05093	XP_446208.1
GVI51_F05115	XP_446209.1
GVI51_F05137	XP_446210.1
GVI51_F05159	XP_446211.1
GVI51_F05181	XP_446212.1
GVI51_F05203	XP_446213.1
GVI51_F05225	XP_446214.1
GVI51_F05247	XP_446215.1
GVI51_F05269	XP_446216.1
GVI51_F05291	XP_446217.1
GVI51_F05313	XP_446218.1
GVI51_F05335	XP_446219.1
GVI51_F05357	XP_446220.1
GVI51_F05379	XP_446221.1
GVI51_F05401	XP_446222.1
GVI51_F05423	XP_446223.1
GVI51_F05445	XP_446224.1
GVI51_F05467	XP_446225.1
GVI51_F05489	XP_446226.1
GVI51_F05511	XP_446227.1
GVI51_F05533	XP_446228.1
GVI51_F05555	XP_446229.1
GVI51_F05577	XP_446230.1
GVI51_F05599	XP_446231.1
GVI51_F05621	XP_446232.1
GVI51_F05643	XP_446233.1
GVI51_F05665	XP_446234.1
GVI51_F05687	XP_446235.1
GVI51_F05731	XP_446236.1
GVI51_F05753	XP_446237.1
GVI51_F05775	XP_446238.1
GVI51_F05819	XP_446239.1
GVI51_F05841	XP_446240.1
GVI51_F05863	XP_446241.1
GVI51_F05907	XP_446242.1
GVI51_F05929	XP_446243.1
GVI51_F05951	XP_446244.1
GVI51_F05973	XP_446245.1
GVI51_F05995	XP_446246.1
GVI51_F06017	XP_446247.1
GVI51_F06039	XP_446248.1
GVI51_F06061	XP_446249.1
GVI51_F06083	XP_446250.2
GVI51_F06105	XP_446251.1
GVI51_F06127	XP_446252.1
GVI51_F06149	XP_446253.1
GVI51_F06171	XP_446254.1
GVI51_F06193	XP_446255.1
GVI51_F06215	XP_446256.1
GVI51_F06237	XP_446257.1
GVI51_F06259	XP_446258.1
GVI51_F06281	XP_002999541.1
GVI51_F06303	XP_446259.1
GVI51_F06325	XP_446260.1
GVI51_F06347	XP_446261.1
GVI51_F06369	XP_446262.1
GVI51_F06391	XP_446263.1
GVI51_F06413	XP_446264.1
GVI51_F06435	XP_446265.2
GVI51_F06457	XP_446266.1
GVI51_F06479	XP_446267.1
GVI51_F06501	XP_446268.1
GVI51_F06523	XP_446269.1
GVI51_F06545	XP_446270.1
GVI51_F06567	XP_446271.1
GVI51_F06589	XP_446272.1
GVI51_F06611	XP_446273.1
GVI51_F06633	XP_446274.1
GVI51_F06655	XP_446275.1
GVI51_F06677	XP_446276.1
GVI51_F06699	XP_446277.1
GVI51_F06721	XP_446278.1
GVI51_F06743	XP_446279.1
GVI51_F06765	XP_446280.2
GVI51_F06765	XP_446280.2
GVI51_F06809	XP_446282.1
GVI51_F06831	XP_446283.1
GVI51_F06853	XP_446284.2
GVI51_F06875	XP_446285.1
GVI51_F06897	XP_446286.1
GVI51_F06919	XP_446287.1
GVI51_F06941	XP_446288.1
GVI51_F06963	XP_446289.1
GVI51_F06985	XP_446290.1
GVI51_F07007	XP_446291.1
GVI51_F07029	XP_446292.1
GVI51_F07051	XP_446293.1
GVI51_F07073	XP_446294.2
GVI51_F07095	XP_446295.1
GVI51_F07117	XP_446296.1
GVI51_F07139	XP_446297.1
GVI51_F07161	XP_446298.1
GVI51_F07183	XP_446299.1
GVI51_F07205	XP_446300.1
GVI51_F07227	XP_446301.2
GVI51_F07249	XP_446302.1
GVI51_F07271	XP_446303.1
GVI51_F07293	XP_446304.1
GVI51_F07315	XP_446305.1
GVI51_F07337	XP_446306.1
GVI51_F07359	XP_446307.1
GVI51_F07381	XP_446308.1
GVI51_F07403	XP_446309.1
GVI51_F07425	XP_446310.1
GVI51_F07447	XP_446311.1
GVI51_F07469	XP_446312.1
GVI51_F07491	XP_446313.1
GVI51_F07513	XP_446314.1
GVI51_F07535	XP_446315.1
GVI51_F07557	XP_446316.1
GVI51_F07579	XP_446317.1
GVI51_F07601	XP_446318.1
GVI51_F07623	XP_446319.1
GVI51_F07645	XP_446320.1
GVI51_F07667	XP_446321.1
GVI51_F07689	XP_446322.1
GVI51_F07711	XP_446323.1
GVI51_F07733	XP_446324.1
GVI51_F07755	XP_446325.1
GVI51_F07777	XP_446326.1
GVI51_F07799	XP_446327.1
GVI51_F07821	XP_446328.1
GVI51_F07843	XP_446329.1
GVI51_F07865	XP_446330.1
GVI51_F07887	XP_446331.1
GVI51_F07931	XP_446332.1
GVI51_F07953	XP_446333.1
GVI51_F07975	XP_446334.1
GVI51_F07997	XP_446335.1
GVI51_F08019	XP_446336.1
GVI51_F08041	XP_446337.1
GVI51_F08063	XP_446338.1
GVI51_F08085	XP_446339.2
GVI51_F08085	XP_446339.2
GVI51_F08107	XP_446340.1
GVI51_F08107	XP_446340.1
GVI51_F08129	XP_446341.1
GVI51_F08151	XP_446342.1
GVI51_F08173	XP_446343.1
GVI51_F08195	XP_446344.1
GVI51_F08217	XP_446345.1
GVI51_F08239	XP_446346.1
GVI51_F08261	XP_446347.1
GVI51_F08283	XP_446348.1
GVI51_F08305	XP_446349.1
GVI51_F08327	XP_446350.1
GVI51_F08349	XP_446351.1
GVI51_F08371	XP_446352.1
GVI51_F08393	XP_446353.1
GVI51_F08415	XP_446354.1
GVI51_F08437	XP_446355.1
GVI51_F08481	XP_446356.1
GVI51_F08503	XP_446357.1
GVI51_F08525	XP_446358.1
