SPAR_A00010	XP_033764409.1
SPAR_D01160	XP_033765149.1
SPAR_D01170	XP_033765150.1
SPAR_D01180	XP_033765151.1
SPAR_D01190	XP_033765152.1
SPAR_D01200	XP_033765153.1
SPAR_D01210	XP_033765154.1
SPAR_D01220	XP_033765155.1
SPAR_D01220	XP_033765155.1
SPAR_D01230	XP_033765156.1
SPAR_D01240	XP_033765157.1
SPAR_D01250	XP_033765158.1
SPAR_D01260	XP_033765159.1
SPAR_D01270	XP_033765160.1
SPAR_D01280	XP_033765161.1
SPAR_D01290	XP_033765162.1
SPAR_D01290	XP_033765162.1
SPAR_D01300	XP_033765163.1
SPAR_D01310	XP_033765164.1
SPAR_D01320	XP_033765165.1
SPAR_D01330	XP_033765166.1
SPAR_D01340	XP_033765167.1
SPAR_D01350	XP_033765168.1
SPAR_D01360	XP_033765169.1
SPAR_D01370	XP_033765170.1
SPAR_D01380	XP_033765171.1
SPAR_D01390	XP_033765172.1
SPAR_D01400	XP_033765173.1
SPAR_D01410	XP_033765174.1
SPAR_D01420	XP_033765175.1
SPAR_D01430	XP_033765176.1
SPAR_D01440	XP_033765177.1
SPAR_D01450	XP_033765178.1
SPAR_D01460	XP_033765179.1
SPAR_D01470	XP_033765180.1
SPAR_D01480	XP_033765181.1
SPAR_D01490	XP_033765182.1
SPAR_D01500	XP_033765183.1
SPAR_D01510	XP_033765184.1
SPAR_D01520	XP_033765185.1
SPAR_D01530	XP_033765186.1
SPAR_D01530	XP_033765186.1
SPAR_D01540	XP_033765187.1
SPAR_D01540	XP_033765187.1
SPAR_D01550	XP_033765188.1
SPAR_D01560	XP_033765189.1
SPAR_D01570	XP_033765190.1
SPAR_D01570	XP_033765190.1
SPAR_D01570	XP_033765190.1
SPAR_D01580	XP_033765191.1
SPAR_D01590	XP_033765192.1
SPAR_D01600	XP_033765193.1
SPAR_D01610	XP_033765194.1
SPAR_D01610	XP_033765194.1
SPAR_D01620	XP_033765195.1
SPAR_D01630	XP_033765196.1
SPAR_D01640	XP_033765197.1
SPAR_D01650	XP_033765198.1
SPAR_D01660	XP_033765199.1
SPAR_D01670	XP_033765200.1
SPAR_D01680	XP_033765201.1
SPAR_D01690	XP_033765202.1
SPAR_D01700	XP_033765203.1
SPAR_D01710	XP_033765204.1
SPAR_D01720	XP_033765205.1
SPAR_D01730	XP_033765206.1
SPAR_D01740	XP_033765207.1
SPAR_D01750	XP_033765208.1
SPAR_D01760	XP_033765209.1
SPAR_D01770	XP_033765210.1
SPAR_D01780	XP_033765211.1
SPAR_D01790	XP_033765212.1
SPAR_D01800	XP_033765213.1
SPAR_D01810	XP_033765214.1
SPAR_D01820	XP_033765215.1
SPAR_D01830	XP_033765216.1
SPAR_D01840	XP_033765217.1
SPAR_D01850	XP_033765218.1
SPAR_D01860	XP_033765219.1
SPAR_D01870	XP_033765220.1
SPAR_D01880	XP_033765221.1
SPAR_D01890	XP_033765222.1
SPAR_D01900	XP_033765223.1
SPAR_D01910	XP_033765224.1
SPAR_D01920	XP_033765225.1
SPAR_D01930	XP_033765226.1
SPAR_D01940	XP_033765227.1
SPAR_D01950	XP_033765228.1
SPAR_D01960	XP_033765229.1
SPAR_D01970	XP_033765230.1
SPAR_D01980	XP_033765231.1
SPAR_D01990	XP_033765232.1
SPAR_D01990	XP_033765232.1
SPAR_D02000	XP_033765233.1
SPAR_D02010	XP_033765234.1
SPAR_D02020	XP_033765235.1
SPAR_D02030	XP_033765236.1
SPAR_D02040	XP_033765237.1
SPAR_D02050	XP_033765238.1
SPAR_D02060	XP_033765239.1
SPAR_D02070	XP_033765240.1
SPAR_D02080	XP_033765241.1
SPAR_D02090	XP_033765242.1
SPAR_D02100	XP_033765243.1
SPAR_D02110	XP_033765244.1
SPAR_D02120	XP_033765245.1
SPAR_D02130	XP_033765246.1
SPAR_D02130	XP_033765246.1
SPAR_D02140	XP_033765247.1
SPAR_D02150	XP_033765248.1
SPAR_D02160	XP_033765249.1
SPAR_D02170	XP_033765250.1
SPAR_D02180	XP_033765251.1
SPAR_D02190	XP_033765252.1
SPAR_D02200	XP_033765253.1
SPAR_D02210	XP_033765254.1
SPAR_D02220	XP_033765255.1
SPAR_D02230	XP_033765256.1
SPAR_D02240	XP_033765257.1
SPAR_D02250	XP_033765258.1
SPAR_D02260	XP_033765259.1
SPAR_D02270	XP_033765260.1
SPAR_D02280	XP_033765261.1
SPAR_D02280	XP_033765261.1
SPAR_D02290	XP_033765262.1
SPAR_D02300	XP_033765263.1
SPAR_D02310	XP_033765264.1
SPAR_D02320	XP_033765265.1
SPAR_D02330	XP_033765266.1
SPAR_D02340	XP_033765267.1
SPAR_D02350	XP_033765268.1
SPAR_D02360	XP_033765269.1
SPAR_D02370	XP_033765270.1
SPAR_D02380	XP_033765271.1
SPAR_D02390	XP_033765272.1
SPAR_D02400	XP_033765273.1
SPAR_D02410	XP_033765274.1
SPAR_D02420	XP_033765275.1
SPAR_D02430	XP_033765276.1
SPAR_D02440	XP_033765277.1
SPAR_D02450	XP_033765278.1
SPAR_D02450	XP_033765278.1
SPAR_D02460	XP_033765279.1
SPAR_D02460	XP_033765279.1
SPAR_D02470	XP_033765280.1
SPAR_D02480	XP_033765281.1
SPAR_D02490	XP_033765282.1
SPAR_D02500	XP_033765283.1
SPAR_D02510	XP_033765284.1
SPAR_D02520	XP_033765285.1
SPAR_D02530	XP_033765286.1
SPAR_D02540	XP_033765287.1
SPAR_D02550	XP_033765288.1
SPAR_D02560	XP_033765289.1
SPAR_D02570	XP_033765290.1
SPAR_D02580	XP_033765291.1
SPAR_D02590	XP_033765292.1
SPAR_D02600	XP_033765293.1
SPAR_D02610	XP_033765294.1
SPAR_D02620	XP_033765295.1
SPAR_D02630	XP_033765296.1
SPAR_D02640	XP_033765297.1
SPAR_D02650	XP_033765298.1
SPAR_D02660	XP_033765299.1
SPAR_D02670	XP_033765300.1
SPAR_D02680	XP_033765301.1
SPAR_D02690	XP_033765302.1
SPAR_D02700	XP_033765303.1
SPAR_D02710	XP_033765304.1
SPAR_D02720	XP_033765305.1
SPAR_D02730	XP_033765306.1
SPAR_D02740	XP_033765307.1
SPAR_D02750	XP_033765308.1
SPAR_D02750	XP_033765308.1
SPAR_D02760	XP_033765309.1
SPAR_D02770	XP_033765310.1
SPAR_D02780	XP_033765311.1
SPAR_D02790	XP_033765312.1
SPAR_D02800	XP_033765313.1
SPAR_D02800	XP_033765313.1
SPAR_D02810	XP_033765314.1
SPAR_D02820	XP_033765315.1
SPAR_D02830	XP_033765316.1
SPAR_D02840	XP_033765317.1
SPAR_D02850	XP_033765318.1
SPAR_D02860	XP_033765319.1
SPAR_D02870	XP_033765320.1
SPAR_D02880	XP_033765321.1
SPAR_D02890	XP_033765322.1
SPAR_D02900	XP_033765323.1
SPAR_D02910	XP_033765324.1
SPAR_D02920	XP_033765325.1
SPAR_D02930	XP_033765326.1
SPAR_D02940	XP_033765327.1
SPAR_D02950	XP_033765328.1
SPAR_D02960	XP_033765329.1
SPAR_D02970	XP_033765330.1
SPAR_D02980	XP_033765331.1
SPAR_D02990	XP_033765332.1
SPAR_D03000	XP_033765333.1
SPAR_D03010	XP_033765334.1
SPAR_D03020	XP_033765335.1
SPAR_D03030	XP_033765336.1
SPAR_D03040	XP_033765337.1
SPAR_D03050	XP_033765338.1
SPAR_D03060	XP_033765339.1
SPAR_D03070	XP_033765340.1
SPAR_D03080	XP_033765341.1
SPAR_D03090	XP_033765342.1
SPAR_D03100	XP_033765343.1
SPAR_D03110	XP_033765344.1
SPAR_D03120	XP_033765345.1
SPAR_D03130	XP_033765346.1
SPAR_D03140	XP_033765347.1
SPAR_D03150	XP_033765348.1
SPAR_D03160	XP_033765349.1
SPAR_D03170	XP_033765350.1
SPAR_D03180	XP_033765351.1
SPAR_D03190	XP_033765352.1
SPAR_D03200	XP_033765353.1
SPAR_D03210	XP_033765354.1
SPAR_D03220	XP_033765355.1
SPAR_D03230	XP_033765356.1
SPAR_D03240	XP_033765357.1
SPAR_D03250	XP_033765358.1
SPAR_D03260	XP_033765359.1
SPAR_D03270	XP_033765360.1
SPAR_D03280	XP_033765361.1
SPAR_D03290	XP_033765362.1
SPAR_D03300	XP_033765363.1
SPAR_D03310	XP_033765364.1
SPAR_D03320	XP_033765365.1
SPAR_D03330	XP_033765366.1
SPAR_D03340	XP_033765367.1
SPAR_D03350	XP_033765368.1
SPAR_D03360	XP_033765369.1
SPAR_D03370	XP_033765370.1
SPAR_D03380	XP_033765371.1
SPAR_D03390	XP_033765372.1
SPAR_D03400	XP_033765373.1
SPAR_D03410	XP_033765374.1
SPAR_D03410	XP_033765374.1
SPAR_D03420	XP_033765375.1
SPAR_D03430	XP_033765376.1
SPAR_D03440	XP_033765377.1
SPAR_D03450	XP_033765378.1
SPAR_D03460	XP_033765379.1
SPAR_D03470	XP_033765380.1
SPAR_D03480	XP_033765381.1
SPAR_D03490	XP_033765382.1
SPAR_D03500	XP_033765383.1
SPAR_D03510	XP_033765384.1
SPAR_D03520	XP_033765385.1
SPAR_D03530	XP_033765386.1
SPAR_D03540	XP_033765387.1
SPAR_D03550	XP_033765388.1
SPAR_D03560	XP_033765389.1
SPAR_D03570	XP_033765390.1
SPAR_D03580	XP_033765391.1
SPAR_D03590	XP_033765392.1
SPAR_D03600	XP_033765393.1
SPAR_D03610	XP_033765394.1
SPAR_D03620	XP_033765395.1
SPAR_D03630	XP_033765396.1
SPAR_D03640	XP_033765397.1
SPAR_D03650	XP_033765398.1
SPAR_D03660	XP_033765399.1
SPAR_D03670	XP_033765400.1
SPAR_D03680	XP_033765401.1
SPAR_D03690	XP_033765402.1
SPAR_D03700	XP_033765403.1
SPAR_D03710	XP_033765404.1
SPAR_D03720	XP_033765405.1
SPAR_D03730	XP_033765406.1
SPAR_D03740	XP_033765407.1
SPAR_D03750	XP_033765408.1
SPAR_D03760	XP_033765409.1
SPAR_D03770	XP_033765410.1
SPAR_D03780	XP_033765411.1
SPAR_D03790	XP_033765412.1
SPAR_D03800	XP_033765413.1
SPAR_D03810	XP_033765414.1
SPAR_D03820	XP_033765415.1
SPAR_D03830	XP_033765416.1
SPAR_D03840	XP_033765417.1
SPAR_D03850	XP_033765418.1
SPAR_D03860	XP_033765419.1
SPAR_D03870	XP_033765420.1
SPAR_D03880	XP_033765421.1
SPAR_D03890	XP_033765422.1
SPAR_D03900	XP_033765423.1
SPAR_D03910	XP_033765424.1
SPAR_D03920	XP_033765425.1
SPAR_D03930	XP_033765426.1
SPAR_D03940	XP_033765427.1
SPAR_D03950	XP_033765428.1
SPAR_D03960	XP_033765429.1
SPAR_D03970	XP_033765430.1
SPAR_D03980	XP_033765431.1
SPAR_D03990	XP_033765432.1
SPAR_D04000	XP_033765433.1
SPAR_D04010	XP_033765434.1
SPAR_D04020	XP_033765435.1
SPAR_D04030	XP_033765436.1
SPAR_D04040	XP_033765437.1
SPAR_D04050	XP_033765438.1
SPAR_D04060	XP_033765439.1
SPAR_D04070	XP_033765440.1
SPAR_D04080	XP_033765441.1
SPAR_D04090	XP_033765442.1
SPAR_D04100	XP_033765443.1
SPAR_D04110	XP_033765444.1
SPAR_D04120	XP_033765445.1
SPAR_D04130	XP_033765446.1
SPAR_D04140	XP_033765447.1
SPAR_D04150	XP_033765448.1
SPAR_D04160	XP_033765449.1
SPAR_D04170	XP_033765450.1
SPAR_D04180	XP_033765451.1
SPAR_D04190	XP_033765452.1
SPAR_D04200	XP_033765453.1
SPAR_D04210	XP_033765454.1
SPAR_D04220	XP_033765455.1
SPAR_D04230	XP_033765456.1
SPAR_D04240	XP_033765457.1
SPAR_D04250	XP_033765458.1
SPAR_D04260	XP_033765459.1
SPAR_D04270	XP_033765460.1
SPAR_D04280	XP_033765461.1
SPAR_D04290	XP_033765462.1
SPAR_D04300	XP_033765463.1
SPAR_D04310	XP_033765464.1
SPAR_D04320	XP_033765465.1
SPAR_D04330	XP_033765466.1
SPAR_D04340	XP_033765467.1
SPAR_D04350	XP_033765468.1
SPAR_D04360	XP_033765469.1
SPAR_D04370	XP_033765470.1
SPAR_D04380	XP_033765471.1
SPAR_D04390	XP_033765472.1
SPAR_D04400	XP_033765473.1
SPAR_D04410	XP_033765474.1
SPAR_D04420	XP_033765475.1
SPAR_D04430	XP_033765476.1
SPAR_D04440	XP_033765477.1
SPAR_D04450	XP_033765478.1
SPAR_D04460	XP_033765479.1
SPAR_D04470	XP_033765480.1
SPAR_D04480	XP_033765481.1
SPAR_D04490	XP_033765482.1
SPAR_D04500	XP_033765483.1
SPAR_D04510	XP_033765484.1
SPAR_D04520	XP_033765485.1
SPAR_D04530	XP_033765486.1
SPAR_D04540	XP_033765487.1
SPAR_D04550	XP_033765488.1
SPAR_D04560	XP_033765489.1
SPAR_D04570	XP_033765490.1
SPAR_D04580	XP_033765491.1
SPAR_D04590	XP_033765492.1
SPAR_D04600	XP_033765493.1
SPAR_D04610	XP_033765494.1
SPAR_D04620	XP_033765495.1
SPAR_D04630	XP_033765496.1
SPAR_D04640	XP_033765497.1
SPAR_D04650	XP_033765498.1
SPAR_D04660	XP_033765499.1
SPAR_D04670	XP_033765500.1
SPAR_D04680	XP_033765501.1
SPAR_D04690	XP_033765502.1
SPAR_D04700	XP_033765503.1
SPAR_D04710	XP_033765504.1
SPAR_D04720	XP_033765505.1
SPAR_D04730	XP_033765506.1
SPAR_D04740	XP_033765507.1
SPAR_D04750	XP_033765508.1
SPAR_D04760	XP_033765509.1
SPAR_D04770	XP_033765510.1
SPAR_D04780	XP_033765511.1
SPAR_D04790	XP_033765512.1
SPAR_D04800	XP_033765513.1
SPAR_D04810	XP_033765514.1
SPAR_D04820	XP_033765515.1
SPAR_D04830	XP_033765516.1
SPAR_D04840	XP_033765517.1
SPAR_D04850	XP_033765518.1
SPAR_D04860	XP_033765519.1
SPAR_D04870	XP_033765520.1
SPAR_D04880	XP_033765521.1
SPAR_D04890	XP_033765522.1
SPAR_D04900	XP_033765523.1
SPAR_D04910	XP_033765524.1
SPAR_D04920	XP_033765525.1
SPAR_D04930	XP_033765526.1
SPAR_D04940	XP_033765527.1
SPAR_D04950	XP_033765528.1
SPAR_D04960	XP_033765529.1
SPAR_D04970	XP_033765530.1
SPAR_D04980	XP_033765531.1
SPAR_D04990	XP_033765532.1
SPAR_D05000	XP_033765533.1
SPAR_D05010	XP_033765534.1
SPAR_D05020	XP_033765535.1
SPAR_D05030	XP_033765536.1
SPAR_D05040	XP_033765537.1
SPAR_D05050	XP_033765538.1
SPAR_D05060	XP_033765539.1
SPAR_D05070	XP_033765540.1
SPAR_D05080	XP_033765541.1
SPAR_D05090	XP_033765542.1
SPAR_D05090	XP_033765542.1
SPAR_D05100	XP_033765543.1
SPAR_D05110	XP_033765544.1
SPAR_D05120	XP_033765545.1
SPAR_D05130	XP_033765546.1
SPAR_D05140	XP_033765547.1
SPAR_D05150	XP_033765548.1
SPAR_D05160	XP_033765549.1
SPAR_D05170	XP_033765550.1
SPAR_D05180	XP_033765551.1
SPAR_D05190	XP_033765552.1
SPAR_D05200	XP_033765553.1
SPAR_D05210	XP_033765554.1
SPAR_D05220	XP_033765555.1
SPAR_D05230	XP_033765556.1
SPAR_D05240	XP_033765557.1
SPAR_D05250	XP_033765558.1
SPAR_D05260	XP_033765559.1
SPAR_D05270	XP_033765560.1
SPAR_D05280	XP_033765561.1
SPAR_D05290	XP_033765562.1
SPAR_D05300	XP_033765563.1
SPAR_D05310	XP_033765564.1
SPAR_D05320	XP_033765565.1
SPAR_D05330	XP_033765566.1
SPAR_D05340	XP_033765567.1
SPAR_D05350	XP_033765568.1
SPAR_D05360	XP_033765569.1
SPAR_D05370	XP_033765570.1
SPAR_D05380	XP_033765571.1
SPAR_D05390	XP_033765572.1
SPAR_D05400	XP_033765573.1
SPAR_D05410	XP_033765574.1
SPAR_D05420	XP_033765575.1
SPAR_D05430	XP_033765576.1
SPAR_D05440	XP_033765577.1
SPAR_D05450	XP_033765578.1
SPAR_D05460	XP_033765579.1
SPAR_D05470	XP_033765580.1
SPAR_D05480	XP_033765581.1
SPAR_D05490	XP_033765582.1
SPAR_D05500	XP_033765583.1
SPAR_D05510	XP_033765584.1
SPAR_D05520	XP_033765585.1
SPAR_D05530	XP_033765586.1
SPAR_D05540	XP_033765587.1
SPAR_D05550	XP_033765588.1
SPAR_D05550	XP_033765588.1
SPAR_D05560	XP_033765589.1
SPAR_D05570	XP_033765590.1
SPAR_D05580	XP_033765591.1
SPAR_D05590	XP_033765592.1
SPAR_D05600	XP_033765593.1
SPAR_D05610	XP_033765594.1
SPAR_D05620	XP_033765595.1
SPAR_D05630	XP_033765596.1
SPAR_D05640	XP_033765597.1
SPAR_D05650	XP_033765598.1
SPAR_D05660	XP_033765599.1
SPAR_D05670	XP_033765600.1
SPAR_D05680	XP_033765601.1
SPAR_D05690	XP_033765602.1
SPAR_D05700	XP_033765603.1
SPAR_D05710	XP_033765604.1
SPAR_D05710	XP_033765604.1
SPAR_D05720	XP_033765605.1
SPAR_D05730	XP_033765606.1
SPAR_D05740	XP_033765607.1
SPAR_D05750	XP_033765608.1
SPAR_D05760	XP_033765609.1
SPAR_D05770	XP_033765610.1
SPAR_D05780	XP_033765611.1
SPAR_D05790	XP_033765612.1
SPAR_D05800	XP_033765613.1
SPAR_D05810	XP_033765614.1
SPAR_D05820	XP_033765615.1
SPAR_D05830	XP_033765616.1
SPAR_D05840	XP_033765617.1
SPAR_D05850	XP_033765618.1
SPAR_D05860	XP_033765619.1
SPAR_D05860	XP_033765619.1
SPAR_D05870	XP_033765620.1
SPAR_D05880	XP_033765621.1
SPAR_D05890	XP_033765622.1
SPAR_D05900	XP_033765623.1
SPAR_D05910	XP_033765624.1
SPAR_D05920	XP_033765625.1
SPAR_D05930	XP_033765626.1
SPAR_D05940	XP_033765627.1
SPAR_D05950	XP_033765628.1
SPAR_D05960	XP_033765629.1
SPAR_D05970	XP_033765630.1
SPAR_D05980	XP_033765631.1
SPAR_D05990	XP_033765632.1
SPAR_D06000	XP_033765633.1
SPAR_D06010	XP_033765634.1
SPAR_D06020	XP_033765635.1
SPAR_D06030	XP_033765636.1
SPAR_D06040	XP_033765637.1
SPAR_D06050	XP_033765638.1
SPAR_D06060	XP_033765639.1
SPAR_D06070	XP_033765640.1
SPAR_D06080	XP_033765641.1
SPAR_D06090	XP_033765642.1
SPAR_D06110	XP_033765643.1
SPAR_D06120	XP_033765644.1
SPAR_D06130	XP_033765645.1
SPAR_D06140	XP_033765646.1
SPAR_D06150	XP_033765647.1
SPAR_D06160	XP_033765648.1
SPAR_D06170	XP_033765649.1
SPAR_D06180	XP_033765650.1
SPAR_D06190	XP_033765651.1
SPAR_D06200	XP_033765652.1
SPAR_D06210	XP_033765653.1
SPAR_D06220	XP_033765654.1
SPAR_D06230	XP_033765655.1
SPAR_D06240	XP_033765656.1
SPAR_D06250	XP_033765657.1
SPAR_D06260	XP_033765658.1
SPAR_D06270	XP_033765659.1
SPAR_D06280	XP_033765660.1
SPAR_D06280	XP_033765660.1
SPAR_D06290	XP_033765661.1
SPAR_D06300	XP_033765662.1
SPAR_D06310	XP_033765663.1
SPAR_D06310	XP_033765663.1
SPAR_D06320	XP_033765664.1
SPAR_D06330	XP_033765665.1
SPAR_D06340	XP_033765666.1
SPAR_D06350	XP_033765667.1
SPAR_D06360	XP_033765668.1
SPAR_D06370	XP_033765669.1
SPAR_D06380	XP_033765670.1
SPAR_D06390	XP_033765671.1
SPAR_D06400	XP_033765672.1
SPAR_D06410	XP_033765673.1
SPAR_D06420	XP_033765674.1
SPAR_D06430	XP_033765675.1
SPAR_D06440	XP_033765676.1
SPAR_D06450	XP_033765677.1
SPAR_D06460	XP_033765678.1
SPAR_D06470	XP_033765679.1
SPAR_D06480	XP_033765680.1
SPAR_D06490	XP_033765681.1
SPAR_D06500	XP_033765682.1
SPAR_D06500	XP_033765682.1
SPAR_D06510	XP_033765683.1
SPAR_D06520	XP_033765684.1
SPAR_D06530	XP_033765685.1
SPAR_D06540	XP_033765686.1
SPAR_D06550	XP_033765687.1
SPAR_D06560	XP_033765688.1
SPAR_D06570	XP_033765689.1
SPAR_D06580	XP_033765690.1
SPAR_D06590	XP_033765691.1
SPAR_D06600	XP_033765692.1
SPAR_D06610	XP_033765693.1
SPAR_D06620	XP_033765694.1
SPAR_D06630	XP_033765695.1
SPAR_D06640	XP_033765696.1
SPAR_D06650	XP_033765697.1
SPAR_D06660	XP_033765698.1
SPAR_D06670	XP_033765699.1
SPAR_D06680	XP_033765700.1
SPAR_D06690	XP_033765701.1
SPAR_D06700	XP_033765702.1
SPAR_D06710	XP_033765703.1
SPAR_D06720	XP_033765704.1
SPAR_D06730	XP_033765705.1
SPAR_D06740	XP_033765706.1
SPAR_D06750	XP_033765707.1
SPAR_D06760	XP_033765708.1
SPAR_D06770	XP_033765709.1
SPAR_D06780	XP_033765710.1
SPAR_D06790	XP_033765711.1
SPAR_D06800	XP_033765712.1
SPAR_D06810	XP_033765713.1
SPAR_D06820	XP_033765714.1
SPAR_D06830	XP_033765715.1
SPAR_D06840	XP_033765716.1
SPAR_D06850	XP_033765717.1
SPAR_D06860	XP_033765718.1
SPAR_D06870	XP_033765719.1
SPAR_D06880	XP_033765720.1
SPAR_D06890	XP_033765721.1
SPAR_D06900	XP_033765722.1
SPAR_D06910	XP_033765723.1
SPAR_D06920	XP_033765724.1
SPAR_D06930	XP_033765725.1
SPAR_D06940	XP_033765726.1
SPAR_D06950	XP_033765727.1
SPAR_D06950	XP_033765727.1
SPAR_D06960	XP_033765728.1
SPAR_D06970	XP_033765729.1
SPAR_D06980	XP_033765730.1
SPAR_D06990	XP_033765731.1
SPAR_D07000	XP_033765732.1
SPAR_D07010	XP_033765733.1
SPAR_D07020	XP_033765734.1
SPAR_D07030	XP_033765735.1
SPAR_D07040	XP_033765736.1
SPAR_D07050	XP_033765737.1
SPAR_D07060	XP_033765738.1
SPAR_D07070	XP_033765739.1
SPAR_D07080	XP_033765740.1
SPAR_D07090	XP_033765741.1
SPAR_D07100	XP_033765742.1
SPAR_D07110	XP_033765743.1
SPAR_E00010	XP_033765744.1
SPAR_E00020	XP_033765745.1
SPAR_E00030	XP_033765746.1
SPAR_E00040	XP_033765747.1
SPAR_E00050	XP_033765748.1
SPAR_E00060	XP_033765749.1
SPAR_E00070	XP_033765750.1
SPAR_E00080	XP_033765751.1
SPAR_E00090	XP_033765752.1
SPAR_E00100	XP_033765753.1
SPAR_E00110	XP_033765754.1
SPAR_E00120	XP_033765755.1
SPAR_E00130	XP_033765756.1
SPAR_E00140	XP_033765757.1
SPAR_E00150	XP_033765758.1
SPAR_E00160	XP_033765759.1
SPAR_E00170	XP_033765760.1
SPAR_E00180	XP_033765761.1
SPAR_E00190	XP_033765762.1
SPAR_E00200	XP_033765763.1
SPAR_E00210	XP_033765764.1
SPAR_E00220	XP_033765765.1
SPAR_E00230	XP_033765766.1
SPAR_E00240	XP_033765767.1
SPAR_E00250	XP_033765768.1
SPAR_E00260	XP_033765769.1
SPAR_E00270	XP_033765770.1
SPAR_E00280	XP_033765771.1
SPAR_E00290	XP_033765772.1
SPAR_E00300	XP_033765773.1
SPAR_E00310	XP_033765774.1
SPAR_E00320	XP_033765775.1
SPAR_E00330	XP_033765776.1
SPAR_E00340	XP_033765777.1
SPAR_E00350	XP_033765778.1
SPAR_E00360	XP_033765779.1
SPAR_E00370	XP_033765780.1
SPAR_E00380	XP_033765781.1
SPAR_E00390	XP_033765782.1
SPAR_E00400	XP_033765783.1
SPAR_E00410	XP_033765784.1
SPAR_E00420	XP_033765785.1
SPAR_E00430	XP_033765786.1
SPAR_E00440	XP_033765787.1
SPAR_E00450	XP_033765788.1
SPAR_E00460	XP_033765789.1
SPAR_E00470	XP_033765790.1
SPAR_E00480	XP_033765791.1
SPAR_E00490	XP_033765792.1
SPAR_E00500	XP_033765793.1
SPAR_E00510	XP_033765794.1
SPAR_E00520	XP_033765795.1
SPAR_E00530	XP_033765796.1
SPAR_E00540	XP_033765797.1
SPAR_E00550	XP_033765798.1
SPAR_E00560	XP_033765799.1
SPAR_E00570	XP_033765800.1
SPAR_E00580	XP_033765801.1
SPAR_E00590	XP_033765802.1
SPAR_E00600	XP_033765803.1
SPAR_E00610	XP_033765804.1
SPAR_E00620	XP_033765805.1
SPAR_E00630	XP_033765806.1
SPAR_E00640	XP_033765807.1
SPAR_E00650	XP_033765808.1
SPAR_E00660	XP_033765809.1
SPAR_E00670	XP_033765810.1
SPAR_E00670	XP_033765810.1
SPAR_E00680	XP_033765811.1
SPAR_E00690	XP_033765812.1
SPAR_E00700	XP_033765813.1
SPAR_E00710	XP_033765814.1
SPAR_E00720	XP_033765815.1
SPAR_E00720	XP_033765815.1
SPAR_E00730	XP_033765816.1
SPAR_E00740	XP_033765817.1
SPAR_E00750	XP_033765818.1
SPAR_E00760	XP_033765819.1
SPAR_E00770	XP_033765820.1
SPAR_E00770	XP_033765820.1
SPAR_E00780	XP_033765821.1
SPAR_E00790	XP_033765822.1
SPAR_E00800	XP_033765823.1
SPAR_E00810	XP_033765824.1
SPAR_E00820	XP_033765825.1
SPAR_E00830	XP_033765826.1
SPAR_E00840	XP_033765827.1
SPAR_E00850	XP_033765828.1
SPAR_E00860	XP_033765829.1
SPAR_E00870	XP_033765830.1
SPAR_E00880	XP_033765831.1
SPAR_E00890	XP_033765832.1
SPAR_E00900	XP_033765833.1
SPAR_E00910	XP_033765834.1
SPAR_E00920	XP_033765835.1
SPAR_E00930	XP_033765836.1
SPAR_E00940	XP_033765837.1
SPAR_E00950	XP_033765838.1
SPAR_E00960	XP_033765839.1
SPAR_E00970	XP_033765840.1
SPAR_E00980	XP_033765841.1
SPAR_E00990	XP_033765842.1
SPAR_E01000	XP_033765843.1
SPAR_E01010	XP_033765844.1
SPAR_E01020	XP_033765845.1
SPAR_E01030	XP_033765846.1
SPAR_E01040	XP_033765847.1
SPAR_E01050	XP_033765848.1
SPAR_E01060	XP_033765849.1
SPAR_E01070	XP_033765850.1
SPAR_E01080	XP_033765851.1
SPAR_E01090	XP_033765852.1
SPAR_E01100	XP_033765853.1
SPAR_E01110	XP_033765854.1
SPAR_E01120	XP_033765855.1
SPAR_E01130	XP_033765856.1
SPAR_E01140	XP_033765857.1
SPAR_E01150	XP_033765858.1
SPAR_E01160	XP_033765859.1
SPAR_E01160	XP_033765859.1
SPAR_E01170	XP_033765860.1
SPAR_E01180	XP_033765861.1
SPAR_E01190	XP_033765862.1
SPAR_E01200	XP_033765863.1
SPAR_E01210	XP_033765864.1
SPAR_E01220	XP_033765865.1
SPAR_E01230	XP_033765866.1
SPAR_E01240	XP_033765867.1
SPAR_E01250	XP_033765868.1
SPAR_E01260	XP_033765869.1
SPAR_E01270	XP_033765870.1
SPAR_E01280	XP_033765871.1
SPAR_E01290	XP_033765872.1
SPAR_E01300	XP_033765873.1
SPAR_E01300	XP_033765873.1
SPAR_E01310	XP_033765874.1
SPAR_E01320	XP_033765875.1
SPAR_E01330	XP_033765876.1
SPAR_E01340	XP_033765877.1
SPAR_E01350	XP_033765878.1
SPAR_E01360	XP_033765879.1
SPAR_E01370	XP_033765880.1
SPAR_E01380	XP_033765881.1
SPAR_E01390	XP_033765882.1
SPAR_E01400	XP_033765883.1
SPAR_E01410	XP_033765884.1
SPAR_E01420	XP_033765885.1
SPAR_E01430	XP_033765886.1
SPAR_E01440	XP_033765887.1
SPAR_E01450	XP_033765888.1
SPAR_E01460	XP_033765889.1
SPAR_E01470	XP_033765890.1
SPAR_E01480	XP_033765891.1
SPAR_E01490	XP_033765892.1
SPAR_E01490	XP_033765892.1
SPAR_E01500	XP_033765893.1
SPAR_E01500	XP_033765893.1
SPAR_E01510	XP_033765894.1
