NCAS_0A00100	XP_003672961.1
NCAS_0A07270	XP_003673666.1
NCAS_0A07280	XP_003673667.1
NCAS_0A07290	XP_003673668.1
NCAS_0A07300	XP_003673669.1
NCAS_0A07310	XP_003673670.1
NCAS_0A07320	XP_003673671.1
NCAS_0A07330	XP_003673672.1
NCAS_0A07340	XP_003673673.1
NCAS_0A07350	XP_003673674.1
NCAS_0A07360	XP_003673675.1
NCAS_0A07370	XP_003673676.1
NCAS_0A07380	XP_003673677.1
NCAS_0A07390	XP_003673678.1
NCAS_0A07400	XP_003673679.1
NCAS_0A07410	XP_003673680.1
NCAS_0A07410	XP_003673680.1
NCAS_0A07420	XP_003673681.1
NCAS_0A07430	XP_003673682.1
NCAS_0A07440	XP_003673683.1
NCAS_0A07450	XP_003673684.1
NCAS_0A07460	XP_003673685.1
NCAS_0A07470	XP_003673686.1
NCAS_0A07480	XP_003673687.1
NCAS_0A07490	XP_003673688.1
NCAS_0A07500	XP_003673689.1
NCAS_0A07510	XP_003673690.1
NCAS_0A07520	XP_003673691.1
NCAS_0A07530	XP_003673692.1
NCAS_0A07540	XP_003673693.1
NCAS_0A07550	XP_003673694.1
NCAS_0A07560	XP_003673695.1
NCAS_0A07570	XP_003673696.1
NCAS_0A07580	XP_003673697.1
NCAS_0A07590	XP_003673698.1
NCAS_0A07600	XP_003673699.1
NCAS_0A07610	XP_003673700.1
NCAS_0A07620	XP_003673701.1
NCAS_0A07630	XP_003673702.1
NCAS_0A07640	XP_003673703.1
NCAS_0A07650	XP_003673704.1
NCAS_0A07660	XP_003673705.1
NCAS_0A07670	XP_003673706.1
NCAS_0A07680	XP_003673707.1
NCAS_0A07690	XP_003673708.1
NCAS_0A07700	XP_003673709.1
NCAS_0A07710	XP_003673710.1
NCAS_0A07720	XP_003673711.1
NCAS_0A07720	XP_003673711.1
NCAS_0A07730	XP_003673712.1
NCAS_0A07740	XP_003673713.1
NCAS_0A07750	XP_003673714.1
NCAS_0A07760	XP_003673715.1
NCAS_0A07770	XP_003673716.1
NCAS_0A07780	XP_003673717.1
NCAS_0A07790	XP_003673718.1
NCAS_0A07800	XP_003673719.1
NCAS_0A07810	XP_003673720.1
NCAS_0A07820	XP_003673721.1
NCAS_0A07830	XP_003673722.1
NCAS_0A07840	XP_003673723.1
NCAS_0A07850	XP_003673724.1
NCAS_0A07860	XP_003673725.1
NCAS_0A07870	XP_003673726.1
NCAS_0A07880	XP_003673727.1
NCAS_0A07890	XP_003673728.1
NCAS_0A07900	XP_003673729.1
NCAS_0A07910	XP_003673730.1
NCAS_0A07920	XP_003673731.1
NCAS_0A07930	XP_003673732.1
NCAS_0A07940	XP_003673733.1
NCAS_0A07950	XP_003673734.1
NCAS_0A07960	XP_003673735.1
NCAS_0A07970	XP_003673736.1
NCAS_0A07980	XP_003673737.1
NCAS_0A07990	XP_003673738.1
NCAS_0A08000	XP_003673739.1
NCAS_0A08010	XP_003673740.1
NCAS_0A08020	XP_003673741.1
NCAS_0A08030	XP_003673742.1
NCAS_0A08040	XP_003673743.1
NCAS_0A08050	XP_003673744.1
NCAS_0A08060	XP_003673745.1
NCAS_0A08070	XP_003673746.1
NCAS_0A08080	XP_003673747.1
NCAS_0A08090	XP_003673748.1
NCAS_0A08100	XP_003673749.1
NCAS_0A08110	XP_003673750.1
NCAS_0A08120	XP_003673751.1
NCAS_0A08130	XP_003673752.1
NCAS_0A08140	XP_003673753.1
NCAS_0A08150	XP_003673754.1
NCAS_0A08160	XP_003673755.1
NCAS_0A08170	XP_003673756.1
NCAS_0A08180	XP_003673757.1
NCAS_0A08190	XP_003673758.1
NCAS_0A08200	XP_003673759.1
NCAS_0A08210	XP_003673760.1
NCAS_0A08220	XP_003673761.1
NCAS_0A08230	XP_003673762.1
NCAS_0A08240	XP_003673763.1
NCAS_0A08250	XP_003673764.1
NCAS_0A08260	XP_003673765.1
NCAS_0A08270	XP_003673766.1
NCAS_0A08280	XP_003673767.1
NCAS_0A08290	XP_003673768.1
NCAS_0A08300	XP_003673769.1
NCAS_0A08310	XP_003673770.1
NCAS_0A08320	XP_003673771.1
NCAS_0A08330	XP_003673772.1
NCAS_0A08340	XP_003673773.1
NCAS_0A08350	XP_003673774.1
NCAS_0A08360	XP_003673775.1
NCAS_0A08370	XP_003673776.1
NCAS_0A08380	XP_003673777.1
NCAS_0A08390	XP_003673778.1
NCAS_0A08400	XP_003673779.1
NCAS_0A08410	XP_003673780.1
NCAS_0A08420	XP_003673781.1
NCAS_0A08430	XP_003673782.1
NCAS_0A08440	XP_003673783.1
NCAS_0A08450	XP_003673784.1
NCAS_0A08460	XP_003673785.1
NCAS_0A08470	XP_003673786.1
NCAS_0A08480	XP_003673787.1
NCAS_0A08490	XP_003673788.1
NCAS_0A08500	XP_003673789.1
NCAS_0A08510	XP_003673790.1
NCAS_0A08520	XP_003673791.1
NCAS_0A08530	XP_003673792.1
NCAS_0A08540	XP_003673793.1
NCAS_0A08550	XP_003673794.1
NCAS_0A08560	XP_003673795.1
NCAS_0A08570	XP_003673796.1
NCAS_0A08580	XP_003673797.1
NCAS_0A08590	XP_003673798.1
NCAS_0A08600	XP_003673799.1
NCAS_0A08610	XP_003673800.1
NCAS_0A08620	XP_003673801.1
NCAS_0A08630	XP_003673802.1
NCAS_0A08640	XP_003673803.1
NCAS_0A08650	XP_003673804.1
NCAS_0A08660	XP_003673805.1
NCAS_0A08670	XP_003673806.1
NCAS_0A08680	XP_003673807.1
NCAS_0A08690	XP_003673808.1
NCAS_0A08700	XP_003673809.1
NCAS_0A08710	XP_003673810.1
NCAS_0A08720	XP_003673811.1
NCAS_0A08730	XP_003673812.1
NCAS_0A08740	XP_003673813.1
NCAS_0A08750	XP_003673814.1
NCAS_0A08760	XP_003673815.1
NCAS_0A08770	XP_003673816.1
NCAS_0A08780	XP_003673817.1
NCAS_0A08790	XP_003673818.1
NCAS_0A08800	XP_003673819.1
NCAS_0A08810	XP_003673820.1
NCAS_0A08820	XP_003673821.1
NCAS_0A08830	XP_003673822.1
NCAS_0A08840	XP_003673823.1
NCAS_0A08850	XP_003673824.1
NCAS_0A08860	XP_003673825.1
NCAS_0A08870	XP_003673826.1
NCAS_0A08880	XP_003673827.1
NCAS_0A08890	XP_003673828.1
NCAS_0A08900	XP_003673829.1
NCAS_0A08910	XP_003673830.1
NCAS_0A08920	XP_003673831.1
NCAS_0A08930	XP_003673832.1
NCAS_0A08940	XP_003673833.1
NCAS_0A08950	XP_003673834.1
NCAS_0A08960	XP_003673835.1
NCAS_0A08970	XP_003673836.1
NCAS_0A08980	XP_003673837.1
NCAS_0A08990	XP_003673838.1
NCAS_0A08990	XP_003673838.1
NCAS_0A09000	XP_003673839.1
NCAS_0A09010	XP_003673840.1
NCAS_0A09020	XP_003673841.1
NCAS_0A09030	XP_003673842.1
NCAS_0A09040	XP_003673843.1
NCAS_0A09050	XP_003673844.1
NCAS_0A09060	XP_003673845.1
NCAS_0A09070	XP_003673846.1
NCAS_0A09080	XP_003673847.1
NCAS_0A09090	XP_003673848.1
NCAS_0A09100	XP_003673849.1
NCAS_0A09110	XP_003673850.1
NCAS_0A09120	XP_003673851.1
NCAS_0A09130	XP_003673852.1
NCAS_0A09140	XP_003673853.1
NCAS_0A09150	XP_003673854.1
NCAS_0A09160	XP_003673855.1
NCAS_0A09170	XP_003673856.1
NCAS_0A09180	XP_003673857.1
NCAS_0A09190	XP_003673858.1
NCAS_0A09200	XP_003673859.1
NCAS_0A09210	XP_003673860.1
NCAS_0A09220	XP_003673861.1
NCAS_0A09230	XP_003673862.1
NCAS_0A09240	XP_003673863.1
NCAS_0A09250	XP_003673864.1
NCAS_0A09260	XP_003673865.1
NCAS_0A09270	XP_003673866.1
NCAS_0A09280	XP_003673867.1
NCAS_0A09290	XP_003673868.1
NCAS_0A09300	XP_003673869.1
NCAS_0A09310	XP_003673870.1
NCAS_0A09320	XP_003673871.1
NCAS_0A09330	XP_003673872.1
NCAS_0A09340	XP_003673873.1
NCAS_0A09350	XP_003673874.1
NCAS_0A09360	XP_003673875.1
NCAS_0A09370	XP_003673876.1
NCAS_0A09380	XP_003673877.1
NCAS_0A09390	XP_003673878.1
NCAS_0A09400	XP_003673879.1
NCAS_0A09410	XP_003673880.1
NCAS_0A09420	XP_003673881.1
NCAS_0A09430	XP_003673882.1
NCAS_0A09440	XP_003673883.1
NCAS_0A09450	XP_003673884.1
NCAS_0A09460	XP_003673885.1
NCAS_0A09470	XP_003673886.1
NCAS_0A09480	XP_003673887.1
NCAS_0A09490	XP_003673888.1
NCAS_0A09500	XP_003673889.1
NCAS_0A09510	XP_003673890.1
NCAS_0A09520	XP_003673891.1
NCAS_0A09530	XP_003673892.1
NCAS_0A09540	XP_003673893.1
NCAS_0A09550	XP_003673894.1
NCAS_0A09560	XP_003673895.1
NCAS_0A09570	XP_003673896.1
NCAS_0A09580	XP_003673897.1
NCAS_0A09590	XP_003673898.1
NCAS_0A09600	XP_003673899.1
NCAS_0A09610	XP_003673900.1
NCAS_0A09620	XP_003673901.1
NCAS_0A09630	XP_003673902.1
NCAS_0A09640	XP_003673903.1
NCAS_0A09650	XP_003673904.1
NCAS_0A09660	XP_003673905.1
NCAS_0A09670	XP_003673906.1
NCAS_0A09680	XP_003673907.1
NCAS_0A09690	XP_003673908.1
NCAS_0A09700	XP_003673909.1
NCAS_0A09710	XP_003673910.1
NCAS_0A09720	XP_003673911.1
NCAS_0A09730	XP_003673912.1
NCAS_0A09740	XP_003673913.1
NCAS_0A09750	XP_003673914.1
NCAS_0A09760	XP_003673915.1
NCAS_0A09770	XP_003673916.1
NCAS_0A09780	XP_003673917.1
NCAS_0A09790	XP_003673918.1
NCAS_0A09800	XP_003673919.1
NCAS_0A09810	XP_003673920.1
NCAS_0A09820	XP_003673921.1
NCAS_0A09830	XP_003673922.1
NCAS_0A09840	XP_003673923.1
NCAS_0A09850	XP_003673924.1
NCAS_0A09860	XP_003673925.1
NCAS_0A09870	XP_003673926.1
NCAS_0A09880	XP_003673927.1
NCAS_0A09890	XP_003673928.1
NCAS_0A09900	XP_003673929.1
NCAS_0A09910	XP_003673930.1
NCAS_0A09920	XP_003673931.1
NCAS_0A09930	XP_003673932.1
NCAS_0A09940	XP_003673933.1
NCAS_0A09950	XP_003673934.1
NCAS_0A09960	XP_003673935.1
NCAS_0A09970	XP_003673936.1
NCAS_0A09980	XP_003673937.1
NCAS_0A09990	XP_003673938.1
NCAS_0A09990	XP_003673938.1
NCAS_0A10000	XP_003673939.1
NCAS_0A10000	XP_003673939.1
NCAS_0A10010	XP_003673940.1
NCAS_0A10020	XP_003673941.1
NCAS_0A10030	XP_003673942.1
NCAS_0A10040	XP_003673943.1
NCAS_0A10050	XP_003673944.1
NCAS_0A10060	XP_003673945.1
NCAS_0A10070	XP_003673946.1
NCAS_0A10080	XP_003673947.1
NCAS_0A10090	XP_003673948.1
NCAS_0A10100	XP_003673949.1
NCAS_0A10110	XP_003673950.1
NCAS_0A10120	XP_003673951.1
NCAS_0A10130	XP_003673952.1
NCAS_0A10140	XP_003673953.1
NCAS_0A10150	XP_003673954.1
NCAS_0A10160	XP_003673955.1
NCAS_0A10170	XP_003673956.1
NCAS_0A10180	XP_003673957.1
NCAS_0A10190	XP_003673958.1
NCAS_0A10200	XP_003673959.1
NCAS_0A10210	XP_003673960.1
NCAS_0A10220	XP_003673961.1
NCAS_0A10230	XP_003673962.1
NCAS_0A10240	XP_003673963.1
NCAS_0A10250	XP_003673964.1
NCAS_0A10260	XP_003673965.1
NCAS_0A10270	XP_003673966.1
NCAS_0A10280	XP_003673967.1
NCAS_0A10290	XP_003673968.1
NCAS_0A10300	XP_003673969.1
NCAS_0A10310	XP_003673970.1
NCAS_0A10320	XP_003673971.1
NCAS_0A10330	XP_003673972.1
NCAS_0A10340	XP_003673973.1
NCAS_0A10350	XP_003673974.1
NCAS_0A10360	XP_003673975.1
NCAS_0A10370	XP_003673976.1
NCAS_0A10380	XP_003673977.1
NCAS_0A10390	XP_003673978.1
NCAS_0A10400	XP_003673979.1
NCAS_0A10410	XP_003673980.1
NCAS_0A10420	XP_003673981.1
NCAS_0A10430	XP_003673982.1
NCAS_0A10440	XP_003673983.1
NCAS_0A10450	XP_003673984.1
NCAS_0A10460	XP_003673985.1
NCAS_0A10460	XP_003673985.1
NCAS_0A10470	XP_003673986.1
NCAS_0A10480	XP_003673987.1
NCAS_0A10490	XP_003673988.1
NCAS_0A10500	XP_003673989.1
NCAS_0A10510	XP_003673990.1
NCAS_0A10520	XP_003673991.1
NCAS_0A10530	XP_003673992.1
NCAS_0A10540	XP_003673993.1
NCAS_0A10550	XP_003673994.1
NCAS_0A10560	XP_003673995.1
NCAS_0A10570	XP_003673996.1
NCAS_0A10580	XP_003673997.1
NCAS_0A10590	XP_003673998.1
NCAS_0A10600	XP_003673999.1
NCAS_0A10610	XP_003674000.1
NCAS_0A10620	XP_003674001.1
NCAS_0A10630	XP_003674002.1
NCAS_0A10640	XP_003674003.1
NCAS_0A10650	XP_003674004.1
NCAS_0A10660	XP_003674005.1
NCAS_0A10670	XP_003674006.1
NCAS_0A10680	XP_003674007.1
NCAS_0A10690	XP_003674008.1
NCAS_0A10700	XP_003674009.1
NCAS_0A10710	XP_003674010.1
NCAS_0A10720	XP_003674011.1
NCAS_0A10730	XP_003674012.1
NCAS_0A10740	XP_003674013.1
NCAS_0A10750	XP_003674014.1
NCAS_0A10760	XP_003674015.1
NCAS_0A10770	XP_003674016.1
NCAS_0A10780	XP_003674017.1
NCAS_0A10790	XP_003674018.1
NCAS_0A10800	XP_003674019.1
NCAS_0A10800	XP_003674019.1
NCAS_0A10810	XP_003674020.1
NCAS_0A10820	XP_003674021.1
NCAS_0A10830	XP_003674022.1
NCAS_0A10830	XP_003674022.1
NCAS_0A10840	XP_003674023.1
NCAS_0A10850	XP_003674024.1
NCAS_0A10860	XP_003674025.1
NCAS_0A10870	XP_003674026.1
NCAS_0A10880	XP_003674027.1
NCAS_0A10890	XP_003674028.1
NCAS_0A10900	XP_003674029.1
NCAS_0A10910	XP_003674030.1
NCAS_0A10920	XP_003674031.1
NCAS_0A10930	XP_003674032.1
NCAS_0A10940	XP_003674033.1
NCAS_0A10950	XP_003674034.1
NCAS_0A10960	XP_003674035.1
NCAS_0A10970	XP_003674036.1
NCAS_0A10980	XP_003674037.1
NCAS_0A10990	XP_003674038.1
NCAS_0A11000	XP_003674039.1
NCAS_0A11010	XP_003674040.1
NCAS_0A11020	XP_003674041.1
NCAS_0A11030	XP_003674042.1
NCAS_0A11040	XP_003674043.1
NCAS_0A11050	XP_003674044.1
NCAS_0A11060	XP_003674045.1
NCAS_0A11070	XP_003674046.1
NCAS_0A11080	XP_003674047.1
NCAS_0A11090	XP_003674048.1
NCAS_0A11100	XP_003674049.1
NCAS_0A11100	XP_003674049.1
NCAS_0A11110	XP_003674050.1
NCAS_0A11120	XP_003674051.1
NCAS_0A11130	XP_003674052.1
NCAS_0A11140	XP_003674053.1
NCAS_0A11150	XP_003674054.1
NCAS_0A11160	XP_003674055.1
NCAS_0A11170	XP_003674056.1
NCAS_0A11180	XP_003674057.1
NCAS_0A11190	XP_003674058.1
NCAS_0A11200	XP_003674059.1
NCAS_0A11210	XP_003674060.1
NCAS_0A11220	XP_003674061.1
NCAS_0A11230	XP_003674062.1
NCAS_0A11240	XP_003674063.1
NCAS_0A11250	XP_003674064.1
NCAS_0A11260	XP_003674065.1
NCAS_0A11270	XP_003674066.1
NCAS_0A11280	XP_003674067.1
NCAS_0A11290	XP_003674068.1
NCAS_0A11300	XP_003674069.1
NCAS_0A11310	XP_003674070.1
NCAS_0A11320	XP_003674071.1
NCAS_0A11330	XP_003674072.1
NCAS_0A11340	XP_003674073.1
NCAS_0A11350	XP_003674074.1
NCAS_0A11360	XP_003674075.1
NCAS_0A11370	XP_003674076.1
NCAS_0A11380	XP_003674077.1
NCAS_0A11390	XP_003674078.1
NCAS_0A11400	XP_003674079.1
NCAS_0A11400	XP_003674079.1
NCAS_0A11410	XP_003674080.1
NCAS_0A11420	XP_003674081.1
NCAS_0A11430	XP_003674082.1
NCAS_0A11440	XP_003674083.1
NCAS_0A11450	XP_003674084.1
NCAS_0A11460	XP_003674085.1
NCAS_0A11470	XP_003674086.1
NCAS_0A11480	XP_003674087.1
NCAS_0A11490	XP_003674088.1
NCAS_0A11500	XP_003674089.1
NCAS_0A11510	XP_003674090.1
NCAS_0A11520	XP_003674091.1
NCAS_0A11530	XP_003674092.1
NCAS_0A11540	XP_003674093.1
NCAS_0A11550	XP_003674094.1
NCAS_0A11560	XP_003674095.1
NCAS_0A11570	XP_003674096.1
NCAS_0A11580	XP_003674097.1
NCAS_0A11590	XP_003674098.1
NCAS_0A11600	XP_003674099.1
NCAS_0A11610	XP_003674100.1
NCAS_0A11620	XP_003674101.1
NCAS_0A11630	XP_003674102.1
NCAS_0A11640	XP_003674103.1
NCAS_0A11650	XP_003674104.1
NCAS_0A11660	XP_003674105.1
NCAS_0A11670	XP_003674106.1
NCAS_0A11680	XP_003674107.1
NCAS_0A11690	XP_003674108.1
NCAS_0A11700	XP_003674109.1
NCAS_0A11700	XP_003674109.1
NCAS_0A11710	XP_003674110.1
NCAS_0A11720	XP_003674111.1
NCAS_0A11730	XP_003674112.1
NCAS_0A11740	XP_003674113.1
NCAS_0A11750	XP_003674114.1
NCAS_0A11760	XP_003674115.1
NCAS_0A11770	XP_003674116.1
NCAS_0A11780	XP_003674117.1
NCAS_0A11790	XP_003674118.1
NCAS_0A11800	XP_003674119.1
NCAS_0A11810	XP_003674120.1
NCAS_0A11820	XP_003674121.1
NCAS_0A11830	XP_003674122.1
NCAS_0A11840	XP_003674123.1
NCAS_0A11840	XP_003674123.1
NCAS_0A11850	XP_003674124.1
NCAS_0A11850	XP_003674124.1
NCAS_0A11860	XP_003674125.1
NCAS_0A11870	XP_003674126.1
NCAS_0A11880	XP_003674127.1
NCAS_0A11890	XP_003674128.1
NCAS_0A11900	XP_003674129.1
NCAS_0A11910	XP_003674130.1
NCAS_0A11920	XP_003674131.1
NCAS_0A11930	XP_003674132.1
NCAS_0A11940	XP_003674133.1
NCAS_0A11950	XP_003674134.1
NCAS_0A11960	XP_003674135.1
NCAS_0A11970	XP_003674136.1
NCAS_0A11980	XP_003674137.1
NCAS_0A11990	XP_003674138.1
NCAS_0A12000	XP_003674139.1
NCAS_0A12010	XP_003674140.1
NCAS_0A12020	XP_003674141.1
NCAS_0A12030	XP_003674142.1
NCAS_0A12040	XP_003674143.1
NCAS_0A12050	XP_003674144.1
NCAS_0A12060	XP_003674145.1
NCAS_0A12070	XP_003674146.1
NCAS_0A12080	XP_003674147.1
NCAS_0A12090	XP_003674148.1
NCAS_0A12100	XP_003674149.1
NCAS_0A12110	XP_003674150.1
NCAS_0A12120	XP_003674151.1
NCAS_0A12130	XP_003674152.1
NCAS_0A12140	XP_003674153.1
NCAS_0A12150	XP_003674154.1
NCAS_0A12160	XP_003674155.1
NCAS_0A12170	XP_003674156.1
NCAS_0A12180	XP_003674157.1
NCAS_0A12190	XP_003674158.1
NCAS_0A12200	XP_003674159.1
NCAS_0A12210	XP_003674160.1
NCAS_0A12220	XP_003674161.1
NCAS_0A12230	XP_003674162.1
NCAS_0A12240	XP_003674163.1
NCAS_0A12260	XP_003674164.1
NCAS_0A12270	XP_003674165.1
NCAS_0A12280	XP_003674166.1
NCAS_0A12290	XP_003674167.1
NCAS_0A12300	XP_003674168.1
NCAS_0A12310	XP_003674169.1
NCAS_0A12320	XP_003674170.1
NCAS_0A12330	XP_003674171.1
NCAS_0A12340	XP_003674172.1
NCAS_0A12350	XP_003674173.1
NCAS_0A12350	XP_003674173.1
NCAS_0A12360	XP_003674174.1
NCAS_0A12370	XP_003674175.1
NCAS_0A12380	XP_003674176.1
NCAS_0A12390	XP_003674177.1
NCAS_0A12400	XP_003674178.1
NCAS_0A12410	XP_003674179.1
NCAS_0A12420	XP_003674180.1
NCAS_0A12430	XP_003674181.1
NCAS_0A12440	XP_003674182.1
NCAS_0A12450	XP_003674183.1
NCAS_0A12460	XP_003674184.1
NCAS_0A12470	XP_003674185.1
NCAS_0A12480	XP_003674186.1
NCAS_0A12490	XP_003674187.1
NCAS_0A12490	XP_003674187.1
NCAS_0A12500	XP_003674188.1
NCAS_0A12510	XP_003674189.1
NCAS_0A12520	XP_003674190.1
NCAS_0A12530	XP_003674191.1
NCAS_0A12540	XP_003674192.1
NCAS_0A12550	XP_003674193.1
NCAS_0A12560	XP_003674194.1
NCAS_0A12570	XP_003674195.1
NCAS_0A12580	XP_003674196.1
NCAS_0A12590	XP_003674197.1
NCAS_0A12600	XP_003674198.1
NCAS_0A12610	XP_003674199.1
NCAS_0A12620	XP_003674200.1
NCAS_0A12630	XP_003674201.1
NCAS_0A12640	XP_003674202.1
NCAS_0A12650	XP_003674203.1
NCAS_0A12660	XP_003674204.1
NCAS_0A12670	XP_003674205.1
NCAS_0A12680	XP_003674206.1
NCAS_0A12690	XP_003674207.1
NCAS_0A12700	XP_003674208.1
NCAS_0A12710	XP_003674209.1
NCAS_0A12720	XP_003674210.1
NCAS_0A12730	XP_003674211.1
NCAS_0A12740	XP_003674212.1
NCAS_0A12750	XP_003674213.1
NCAS_0A12760	XP_003674214.1
NCAS_0A12770	XP_003674215.1
NCAS_0A12780	XP_003674216.1
NCAS_0A12790	XP_003674217.1
NCAS_0A12800	XP_003674218.1
NCAS_0A12810	XP_003674219.1
NCAS_0A12820	XP_003674220.1
NCAS_0A12830	XP_003674221.1
NCAS_0A12840	XP_003674222.1
NCAS_0A12850	XP_003674223.1
NCAS_0A12860	XP_003674224.1
NCAS_0A12870	XP_003674225.1
NCAS_0A12880	XP_003674226.1
NCAS_0A12890	XP_003674227.1
NCAS_0A12900	XP_003674228.1
NCAS_0A12910	XP_003674229.1
NCAS_0A12920	XP_003674230.1
NCAS_0A12930	XP_003674231.1
NCAS_0A12940	XP_003674232.1
NCAS_0A12950	XP_003674233.1
NCAS_0A12960	XP_003674234.1
NCAS_0A12970	XP_003674235.1
NCAS_0A12980	XP_003674236.1
NCAS_0A12990	XP_003674237.1
NCAS_0A13000	XP_003674238.1
NCAS_0A13010	XP_003674239.1
NCAS_0A13020	XP_003674240.1
NCAS_0A13030	XP_003674241.1
NCAS_0A13040	XP_003674242.1
NCAS_0A13050	XP_003674243.1
NCAS_0A13060	XP_003674244.1
NCAS_0A13070	XP_003674245.1
NCAS_0A13080	XP_003674246.1
NCAS_0A13090	XP_003674247.1
NCAS_0A13100	XP_003674248.1
NCAS_0A13110	XP_003674249.1
NCAS_0A13120	XP_003674250.1
NCAS_0A13130	XP_003674251.1
NCAS_0A13130	XP_003674251.1
NCAS_0A13140	XP_003674252.1
NCAS_0A13150	XP_003674253.1
NCAS_0A13160	XP_003674254.1
NCAS_0A13170	XP_003674255.1
NCAS_0A13180	XP_003674256.1
NCAS_0A13190	XP_003674257.1
NCAS_0A13200	XP_003674258.1
NCAS_0A13210	XP_003674259.1
NCAS_0A13220	XP_003674260.1
NCAS_0A13230	XP_003674261.1
NCAS_0A13240	XP_003674262.1
NCAS_0A13250	XP_003674263.1
NCAS_0A13260	XP_003674264.1
NCAS_0A13270	XP_003674265.1
NCAS_0A13280	XP_003674266.1
NCAS_0A13290	XP_003674267.1
NCAS_0A13300	XP_003674268.1
NCAS_0A13310	XP_003674269.1
NCAS_0A13320	XP_003674270.1
NCAS_0A13330	XP_003674271.1
NCAS_0A13340	XP_003674272.1
NCAS_0A13350	XP_003674273.1
NCAS_0A13360	XP_003674274.1
NCAS_0A13370	XP_003674275.1
NCAS_0A13380	XP_003674276.1
NCAS_0A13390	XP_003674277.1
NCAS_0A13400	XP_003674278.1
NCAS_0A13410	XP_003674279.1
NCAS_0A13420	XP_003674280.1
NCAS_0A13430	XP_003674281.1
NCAS_0A13440	XP_003674282.1
NCAS_0A13450	XP_003674283.1
NCAS_0A13460	XP_003674284.1
NCAS_0A13470	XP_003674285.1
NCAS_0A13480	XP_003674286.1
NCAS_0A13490	XP_003674287.1
NCAS_0A13500	XP_003674288.1
NCAS_0A13500	XP_003674288.1
NCAS_0A13510	XP_003674289.1
NCAS_0A13520	XP_003674290.1
NCAS_0A13530	XP_003674291.1
NCAS_0A13540	XP_003674292.1
NCAS_0A13550	XP_003674293.1
NCAS_0A13560	XP_003674294.1
NCAS_0A13570	XP_003674295.1
NCAS_0A13580	XP_003674296.1
NCAS_0A13590	XP_003674297.1
NCAS_0A13600	XP_003674298.1
NCAS_0A13610	XP_003674299.1
NCAS_0A13610	XP_003674299.1
NCAS_0A13620	XP_003674300.1
NCAS_0A13630	XP_003674301.1
NCAS_0A13640	XP_003674302.1
NCAS_0A13650	XP_003674303.1
NCAS_0A13660	XP_003674304.1
NCAS_0A13670	XP_003674305.1
NCAS_0A13680	XP_003674306.1
NCAS_0A13690	XP_003674307.1
NCAS_0A13700	XP_003674308.1
NCAS_0A13710	XP_003674309.1
NCAS_0A13720	XP_003674310.1
NCAS_0A13730	XP_003674311.1
NCAS_0A13740	XP_003674312.1
NCAS_0A13750	XP_003674313.1
NCAS_0A13750	XP_003674313.1
NCAS_0A13760	XP_003674314.1
NCAS_0A13770	XP_003674315.1
NCAS_0A13780	XP_003674316.1
NCAS_0A13790	XP_003674317.1
NCAS_0A13800	XP_003674318.1
NCAS_0A13810	XP_003674319.1
NCAS_0A13820	XP_003674320.1
NCAS_0A13840	XP_003674322.1
NCAS_0A13850	XP_003674323.1
NCAS_0A13860	XP_003674324.1
NCAS_0A13870	XP_003674325.1
NCAS_0A13880	XP_003674326.1
NCAS_0A13890	XP_003674327.1
NCAS_0A13900	XP_003674328.1
NCAS_0A13910	XP_003674329.1
NCAS_0A13920	XP_003674330.1
NCAS_0A13930	XP_003674331.1
NCAS_0A13940	XP_003674332.1
NCAS_0A13950	XP_003674333.1
NCAS_0A13960	XP_003674334.1
NCAS_0A13970	XP_003674335.1
NCAS_0A13980	XP_003674336.1
NCAS_0A13990	XP_003674337.1
NCAS_0A14000	XP_003674338.1
NCAS_0A14010	XP_003674339.1
NCAS_0A14020	XP_003674340.1
NCAS_0A14030	XP_003674341.1
NCAS_0A14040	XP_003674342.1
NCAS_0A14050	XP_003674343.1
NCAS_0A14060	XP_003674344.1
NCAS_0A14070	XP_003674345.1
NCAS_0A14090	XP_003674346.1
NCAS_0A14100	XP_003674347.1
NCAS_0A14110	XP_003674348.1
NCAS_0A14120	XP_003674349.1
NCAS_0A14130	XP_003674350.1
NCAS_0A14140	XP_003674351.1
NCAS_0A14150	XP_003674352.1
NCAS_0A14160	XP_003674353.1
NCAS_0A14170	XP_003674354.1
NCAS_0A14180	XP_003674355.1
NCAS_0A14190	XP_003674356.1
NCAS_0A14200	XP_003674357.1
NCAS_0A14210	XP_003674358.1
NCAS_0A14220	XP_003674359.1
NCAS_0A14230	XP_003674360.1
NCAS_0A14240	XP_003674361.1
NCAS_0A14250	XP_003674362.1
NCAS_0A14260	XP_003674363.1
NCAS_0A14270	XP_003674364.1
NCAS_0A14280	XP_003674365.1
NCAS_0A14290	XP_003674366.1
NCAS_0A14300	XP_003674367.1
NCAS_0A14310	XP_003674368.1
NCAS_0A14320	XP_003674369.1
NCAS_0A14330	XP_003674370.1
NCAS_0A14340	XP_003674371.1
NCAS_0A14340	XP_003674371.1
NCAS_0A14350	XP_003674372.1
NCAS_0A14360	XP_003674373.1
NCAS_0A14370	XP_003674374.1
NCAS_0A14380	XP_003674375.1
NCAS_0A14390	XP_003674376.1
NCAS_0A14400	XP_003674377.1
NCAS_0A14410	XP_003674378.1
NCAS_0A14420	XP_003674379.1
NCAS_0A14430	XP_003674380.1
NCAS_0A14440	XP_003674381.1
