KAFR_0A00100	XP_003954583.1
KAFR_0A07320	XP_003955301.1
KAFR_0A07330	XP_003955302.1
KAFR_0A07340	XP_003955303.1
KAFR_0A07350	XP_003955304.1
KAFR_0A07360	XP_003955305.1
KAFR_0A07370	XP_003955306.1
KAFR_0A07380	XP_003955307.1
KAFR_0A07380	XP_003955307.1
KAFR_0A07390	XP_003955308.1
KAFR_0A07400	XP_003955309.1
KAFR_0A07410	XP_003955310.1
KAFR_0A07420	XP_003955311.1
KAFR_0A07430	XP_003955312.1
KAFR_0A07440	XP_003955313.1
KAFR_0A07450	XP_003955314.1
KAFR_0A07460	XP_003955315.1
KAFR_0A07470	XP_003955316.1
KAFR_0A07480	XP_003955317.1
KAFR_0A07490	XP_003955318.1
KAFR_0A07500	XP_003955319.1
KAFR_0A07510	XP_003955320.1
KAFR_0A07520	XP_003955321.1
KAFR_0A07530	XP_003955322.1
KAFR_0A07540	XP_003955323.1
KAFR_0A07550	XP_003955324.1
KAFR_0A07560	XP_003955325.1
KAFR_0A07570	XP_003955326.1
KAFR_0A07580	XP_003955327.1
KAFR_0A07590	XP_003955328.1
KAFR_0A07600	XP_003955329.1
KAFR_0A07610	XP_003955330.1
KAFR_0A07620	XP_003955331.1
KAFR_0A07630	XP_003955332.1
KAFR_0A07640	XP_003955333.1
KAFR_0A07650	XP_003955334.1
KAFR_0A07660	XP_003955335.1
KAFR_0A07670	XP_003955336.1
KAFR_0A07680	XP_003955337.1
KAFR_0A07690	XP_003955338.1
KAFR_0A07700	XP_003955339.1
KAFR_0A07710	XP_003955340.1
KAFR_0A07720	XP_003955341.1
KAFR_0A07730	XP_003955342.1
KAFR_0A07740	XP_003955343.1
KAFR_0A07750	XP_003955344.1
KAFR_0A07760	XP_003955345.1
KAFR_0A07770	XP_003955346.1
KAFR_0A07780	XP_003955347.1
KAFR_0A07790	XP_003955348.1
KAFR_0A07800	XP_003955349.1
KAFR_0A07810	XP_003955350.1
KAFR_0A07820	XP_003955351.1
KAFR_0A07830	XP_003955352.1
KAFR_0A07840	XP_003955353.1
KAFR_0A07850	XP_003955354.1
KAFR_0A07860	XP_003955355.1
KAFR_0A07870	XP_003955356.1
KAFR_0A07880	XP_003955357.1
KAFR_0A07890	XP_003955358.1
KAFR_0A07900	XP_003955359.1
KAFR_0A07910	XP_003955360.1
KAFR_0A07920	XP_003955361.1
KAFR_0A07930	XP_003955362.1
KAFR_0A07940	XP_003955363.1
KAFR_0A07950	XP_003955364.1
KAFR_0A07960	XP_003955365.1
KAFR_0A07970	XP_003955366.1
KAFR_0A07980	XP_003955367.1
KAFR_0A07990	XP_003955368.1
KAFR_0A08000	XP_003955369.1
KAFR_0A08010	XP_003955370.1
KAFR_0A08020	XP_003955371.1
KAFR_0A08030	XP_003955372.1
KAFR_0A08040	XP_003955373.1
KAFR_0A08050	XP_003955374.1
KAFR_0A08060	XP_003955375.1
KAFR_0A08070	XP_003955376.1
KAFR_0A08080	XP_003955377.1
KAFR_0A08090	XP_003955378.1
KAFR_0A08100	XP_003955379.1
KAFR_0A08110	XP_003955380.1
KAFR_0A08120	XP_003955381.1
KAFR_0A08130	XP_003955382.1
KAFR_0A08140	XP_003955383.1
KAFR_0A08150	XP_003955384.1
KAFR_0A08160	XP_003955385.1
KAFR_0A08170	XP_003955386.1
KAFR_0A08180	XP_003955387.1
KAFR_0A08190	XP_003955388.1
KAFR_0A08200	XP_003955389.1
KAFR_0A08210	XP_003955390.1
KAFR_0A08220	XP_003955391.1
KAFR_0A08230	XP_003955392.1
KAFR_0A08240	XP_003955393.1
KAFR_0A08250	XP_003955394.1
KAFR_0A08260	XP_003955395.1
KAFR_0A08270	XP_003955396.1
KAFR_0A08280	XP_003955397.1
KAFR_0A08290	XP_003955398.1
KAFR_0A08300	XP_003955399.1
KAFR_0A08310	XP_003955400.1
KAFR_0A08320	XP_003955401.1
KAFR_0A08330	XP_003955402.1
KAFR_0A08340	XP_003955403.1
KAFR_0A08350	XP_003955404.1
KAFR_0A08360	XP_003955405.1
KAFR_0A08370	XP_003955406.1
KAFR_0A08380	XP_003955407.1
KAFR_0A08380	XP_003955407.1
KAFR_0A08390	XP_003955408.1
KAFR_0A08390	XP_003955408.1
KAFR_0A08400	XP_003955409.1
KAFR_0A08410	XP_003955410.1
KAFR_0A08420	XP_003955411.1
KAFR_0A08420	XP_003955411.1
KAFR_0A08430	XP_003955412.1
KAFR_0A08440	XP_003955413.1
KAFR_0A08450	XP_003955414.1
KAFR_0A08460	XP_003955415.1
KAFR_0A08470	XP_003955416.1
KAFR_0A08480	XP_003955417.1
KAFR_0A08490	XP_003955418.1
KAFR_0A08500	XP_003955419.1
KAFR_0A08510	XP_003955420.1
KAFR_0A08520	XP_003955421.1
KAFR_0A08530	XP_003955422.1
KAFR_0A08540	XP_003955423.1
KAFR_0A08550	XP_003955424.1
KAFR_0A08560	XP_003955425.1
KAFR_0A08570	XP_003955426.1
KAFR_0A08580	XP_003955427.1
KAFR_0A08590	XP_003955428.1
KAFR_0A08600	XP_003955429.1
KAFR_0A08610	XP_003955430.1
KAFR_0A08620	XP_003955431.1
KAFR_0A08630	XP_003955432.1
KAFR_0A08640	XP_003955433.1
KAFR_0A08650	XP_003955434.1
KAFR_0A08660	XP_003955435.1
KAFR_0A08670	XP_003955436.1
KAFR_0A08680	XP_003955437.1
KAFR_0A08690	XP_003955438.1
KAFR_0A08700	XP_003955439.1
KAFR_0A08710	XP_003955440.1
KAFR_0A08720	XP_003955441.1
KAFR_0A08730	XP_003955442.1
KAFR_0B00100	XP_003955443.1
KAFR_0B00110	XP_003955444.1
KAFR_0B00113	XP_003955445.1
KAFR_0B00115	XP_003955446.1
KAFR_0B00117	XP_003955447.1
KAFR_0B00140	XP_003955448.1
KAFR_0B00150	XP_003955449.1
KAFR_0B00160	XP_003955450.1
KAFR_0B00163	XP_003955451.1
KAFR_0B00166	XP_003955452.1
KAFR_0B00180	XP_003955453.1
KAFR_0B00190	XP_003955454.1
KAFR_0B00200	XP_003955455.1
KAFR_0B00210	XP_003955456.1
KAFR_0B00220	XP_003955457.1
KAFR_0B00230	XP_003955458.1
KAFR_0B00240	XP_003955459.1
KAFR_0B00250	XP_003955460.1
KAFR_0B00260	XP_003955461.1
KAFR_0B00270	XP_003955462.1
KAFR_0B00270	XP_003955462.1
KAFR_0B00280	XP_003955463.1
KAFR_0B00290	XP_003955464.1
KAFR_0B00300	XP_003955465.1
KAFR_0B00310	XP_003955466.1
KAFR_0B00320	XP_003955467.1
KAFR_0B00320	XP_003955467.1
KAFR_0B00330	XP_003955468.1
KAFR_0B00340	XP_003955469.1
KAFR_0B00350	XP_003955470.1
KAFR_0B00360	XP_003955471.1
KAFR_0B00370	XP_003955472.1
KAFR_0B00380	XP_003955473.1
KAFR_0B00390	XP_003955474.1
KAFR_0B00400	XP_003955475.1
KAFR_0B00410	XP_003955476.1
KAFR_0B00420	XP_003955477.1
KAFR_0B00430	XP_003955478.1
KAFR_0B00440	XP_003955479.1
KAFR_0B00440	XP_003955479.1
KAFR_0B00450	XP_003955480.1
KAFR_0B00460	XP_003955481.1
KAFR_0B00470	XP_003955482.1
KAFR_0B00480	XP_003955483.1
KAFR_0B00500	XP_003955484.1
KAFR_0B00510	XP_003955485.1
KAFR_0B00520	XP_003955486.1
KAFR_0B00530	XP_003955487.1
KAFR_0B00540	XP_003955488.1
KAFR_0B00550	XP_003955489.1
KAFR_0B00560	XP_003955490.1
KAFR_0B00570	XP_003955491.1
KAFR_0B00570	XP_003955491.1
KAFR_0B00580	XP_003955492.1
KAFR_0B00590	XP_003955493.1
KAFR_0B00600	XP_003955494.1
KAFR_0B00600	XP_003955494.1
KAFR_0B00610	XP_003955495.1
KAFR_0B00620	XP_003955496.1
KAFR_0B00630	XP_003955497.1
KAFR_0B00640	XP_003955498.1
KAFR_0B00650	XP_003955499.1
KAFR_0B00660	XP_003955500.1
KAFR_0B00670	XP_003955501.1
KAFR_0B00680	XP_003955502.1
KAFR_0B00690	XP_003955503.1
KAFR_0B00700	XP_003955504.1
KAFR_0B00710	XP_003955505.1
KAFR_0B00720	XP_003955506.1
KAFR_0B00720	XP_003955506.1
KAFR_0B00730	XP_003955507.1
KAFR_0B00740	XP_003955508.1
KAFR_0B00760	XP_003955509.1
KAFR_0B00770	XP_003955510.1
KAFR_0B00780	XP_003955511.1
KAFR_0B00790	XP_003955512.1
KAFR_0B00800	XP_003955513.1
KAFR_0B00810	XP_003955514.1
KAFR_0B00820	XP_003955515.1
KAFR_0B00830	XP_003955516.1
KAFR_0B00840	XP_003955517.1
KAFR_0B00850	XP_003955518.1
KAFR_0B00860	XP_003955519.1
KAFR_0B00870	XP_003955520.1
KAFR_0B00880	XP_003955521.1
KAFR_0B00890	XP_003955522.1
KAFR_0B00900	XP_003955523.1
KAFR_0B00910	XP_003955524.1
KAFR_0B00920	XP_003955525.1
KAFR_0B00930	XP_003955526.1
KAFR_0B00940	XP_003955527.1
KAFR_0B00950	XP_003955528.1
KAFR_0B00960	XP_003955529.1
KAFR_0B00970	XP_003955530.1
KAFR_0B00980	XP_003955531.1
KAFR_0B00990	XP_003955532.1
KAFR_0B01000	XP_003955533.1
KAFR_0B01010	XP_003955534.1
KAFR_0B01020	XP_003955535.1
KAFR_0B01030	XP_003955536.1
KAFR_0B01040	XP_003955537.1
KAFR_0B01050	XP_003955538.1
KAFR_0B01060	XP_003955539.1
KAFR_0B01070	XP_003955540.1
KAFR_0B01080	XP_003955541.1
KAFR_0B01090	XP_003955542.1
KAFR_0B01100	XP_003955543.1
KAFR_0B01100	XP_003955543.1
KAFR_0B01110	XP_003955544.1
KAFR_0B01120	XP_003955545.1
KAFR_0B01130	XP_003955546.1
KAFR_0B01140	XP_003955548.1
KAFR_0B01150	XP_003955549.1
KAFR_0B01160	XP_003955550.1
KAFR_0B01170	XP_003955551.1
KAFR_0B01180	XP_003955552.1
KAFR_0B01190	XP_003955553.1
KAFR_0B01190	XP_003955553.1
KAFR_0B01200	XP_003955554.1
KAFR_0B01210	XP_003955555.1
KAFR_0B01220	XP_003955556.1
KAFR_0B01230	XP_003955557.1
KAFR_0B01240	XP_003955558.1
KAFR_0B01250	XP_003955559.1
KAFR_0B01260	XP_003955560.1
KAFR_0B01270	XP_003955561.1
KAFR_0B01280	XP_003955562.1
KAFR_0B01280	XP_003955562.1
KAFR_0B01290	XP_003955563.1
KAFR_0B01300	XP_003955564.1
KAFR_0B01310	XP_003955565.1
KAFR_0B01320	XP_003955566.1
KAFR_0B01330	XP_003955567.1
KAFR_0B01330	XP_003955567.1
KAFR_0B01340	XP_003955568.1
KAFR_0B01350	XP_003955569.1
KAFR_0B01360	XP_003955570.1
KAFR_0B01370	XP_003955571.1
KAFR_0B01380	XP_003955572.1
KAFR_0B01390	XP_003955573.1
KAFR_0B01400	XP_003955574.1
KAFR_0B01410	XP_003955575.1
KAFR_0B01420	XP_003955576.1
KAFR_0B01430	XP_003955577.1
KAFR_0B01440	XP_003955578.1
KAFR_0B01450	XP_003955579.1
KAFR_0B01460	XP_003955580.1
KAFR_0B01470	XP_003955581.1
KAFR_0B01480	XP_003955582.1
KAFR_0B01490	XP_003955583.1
KAFR_0B01500	XP_003955584.1
KAFR_0B01510	XP_003955585.1
KAFR_0B01520	XP_003955586.1
KAFR_0B01530	XP_003955587.1
KAFR_0B01540	XP_003955588.1
KAFR_0B01550	XP_003955589.1
KAFR_0B01560	XP_003955590.1
KAFR_0B01570	XP_003955591.1
KAFR_0B01580	XP_003955592.1
KAFR_0B01590	XP_003955593.1
KAFR_0B01600	XP_003955594.1
KAFR_0B01610	XP_003955595.1
KAFR_0B01620	XP_003955596.1
KAFR_0B01630	XP_003955597.1
KAFR_0B01640	XP_003955598.1
KAFR_0B01650	XP_003955599.1
KAFR_0B01660	XP_003955600.1
KAFR_0B01670	XP_003955601.1
KAFR_0B01680	XP_003955602.1
KAFR_0B01690	XP_003955603.1
KAFR_0B01700	XP_003955604.1
KAFR_0B01710	XP_003955605.1
KAFR_0B01720	XP_003955606.1
KAFR_0B01730	XP_003955607.1
KAFR_0B01740	XP_003955608.1
KAFR_0B01750	XP_003955609.1
KAFR_0B01760	XP_003955610.1
KAFR_0B01770	XP_003955611.1
KAFR_0B01780	XP_003955612.1
KAFR_0B01790	XP_003955613.1
KAFR_0B01800	XP_003955614.1
KAFR_0B01810	XP_003955615.1
KAFR_0B01820	XP_003955616.1
KAFR_0B01830	XP_003955617.1
KAFR_0B01840	XP_003955618.1
KAFR_0B01850	XP_003955619.1
KAFR_0B01860	XP_003955620.1
KAFR_0B01870	XP_003955621.1
KAFR_0B01880	XP_003955622.1
KAFR_0B01890	XP_003955623.1
KAFR_0B01900	XP_003955624.1
KAFR_0B01910	XP_003955625.1
KAFR_0B01930	XP_003955626.1
KAFR_0B01940	XP_003955627.1
KAFR_0B01950	XP_003955628.1
KAFR_0B01960	XP_003955629.1
KAFR_0B01970	XP_003955630.1
KAFR_0B01970	XP_003955630.1
KAFR_0B01980	XP_003955631.1
KAFR_0B01990	XP_003955632.1
KAFR_0B02000	XP_003955633.1
KAFR_0B02010	XP_003955634.1
KAFR_0B02020	XP_003955635.1
KAFR_0B02030	XP_003955636.1
KAFR_0B02040	XP_003955637.1
KAFR_0B02050	XP_003955638.1
KAFR_0B02060	XP_003955639.1
KAFR_0B02070	XP_003955640.1
KAFR_0B02080	XP_003955641.1
KAFR_0B02090	XP_003955642.1
KAFR_0B02100	XP_003955643.1
KAFR_0B02110	XP_003955644.1
KAFR_0B02120	XP_003955645.1
KAFR_0B02130	XP_003955646.1
KAFR_0B02140	XP_003955647.1
KAFR_0B02150	XP_003955648.1
KAFR_0B02160	XP_003955649.1
KAFR_0B02170	XP_003955650.1
KAFR_0B02180	XP_003955651.1
KAFR_0B02190	XP_003955652.1
KAFR_0B02190	XP_003955652.1
KAFR_0B02200	XP_003955653.1
KAFR_0B02210	XP_003955654.1
KAFR_0B02220	XP_003955655.1
KAFR_0B02230	XP_003955656.1
KAFR_0B02240	XP_003955657.1
KAFR_0B02250	XP_003955658.1
KAFR_0B02260	XP_003955659.1
KAFR_0B02270	XP_003955660.1
KAFR_0B02280	XP_003955661.1
KAFR_0B02290	XP_003955662.1
KAFR_0B02300	XP_003955663.1
KAFR_0B02310	XP_003955664.1
KAFR_0B02320	XP_003955665.1
KAFR_0B02330	XP_003955666.1
KAFR_0B02340	XP_003955667.1
KAFR_0B02350	XP_003955668.1
KAFR_0B02360	XP_003955669.1
KAFR_0B02370	XP_003955670.1
KAFR_0B02380	XP_003955671.1
KAFR_0B02390	XP_003955672.1
KAFR_0B02400	XP_003955673.1
KAFR_0B02400	XP_003955673.1
KAFR_0B02410	XP_003955674.1
KAFR_0B02420	XP_003955675.1
KAFR_0B02430	XP_003955676.1
KAFR_0B02440	XP_003955677.1
KAFR_0B02450	XP_003955678.1
KAFR_0B02460	XP_003955679.1
KAFR_0B02470	XP_003955680.1
KAFR_0B02480	XP_003955681.1
KAFR_0B02490	XP_003955682.1
KAFR_0B02500	XP_003955683.1
KAFR_0B02510	XP_003955684.1
KAFR_0B02520	XP_003955685.1
KAFR_0B02540	XP_003955686.1
KAFR_0B02550	XP_003955687.1
KAFR_0B02560	XP_003955688.1
KAFR_0B02570	XP_003955689.1
KAFR_0B02580	XP_003955690.1
KAFR_0B02590	XP_003955691.1
KAFR_0B02600	XP_003955692.1
KAFR_0B02610	XP_003955693.1
KAFR_0B02620	XP_003955694.1
KAFR_0B02630	XP_003955695.1
KAFR_0B02640	XP_003955696.1
KAFR_0B02650	XP_003955697.1
KAFR_0B02660	XP_003955698.1
KAFR_0B02670	XP_003955699.1
KAFR_0B02680	XP_003955700.1
KAFR_0B02690	XP_003955701.1
KAFR_0B02700	XP_003955702.1
KAFR_0B02710	XP_003955703.1
KAFR_0B02720	XP_003955704.1
KAFR_0B02730	XP_003955705.1
KAFR_0B02740	XP_003955706.1
KAFR_0B02750	XP_003955707.1
KAFR_0B02760	XP_003955708.1
KAFR_0B02770	XP_003955709.1
KAFR_0B02780	XP_003955710.1
KAFR_0B02790	XP_003955711.1
KAFR_0B02800	XP_003955712.1
KAFR_0B02810	XP_003955713.1
KAFR_0B02820	XP_003955714.1
KAFR_0B02830	XP_003955715.1
KAFR_0B02840	XP_003955716.1
KAFR_0B02850	XP_003955717.1
KAFR_0B02860	XP_003955718.1
KAFR_0B02860	XP_003955718.1
KAFR_0B02870	XP_003955719.1
KAFR_0B02880	XP_003955720.1
KAFR_0B02890	XP_003955721.1
KAFR_0B02900	XP_003955722.1
KAFR_0B02910	XP_003955723.1
KAFR_0B02920	XP_003955724.1
KAFR_0B02940	XP_003955725.1
KAFR_0B02950	XP_003955726.1
KAFR_0B02960	XP_003955727.1
KAFR_0B02970	XP_003955728.1
KAFR_0B02980	XP_003955729.1
KAFR_0B02990	XP_003955730.1
KAFR_0B03000	XP_003955731.1
KAFR_0B03010	XP_003955732.1
KAFR_0B03020	XP_003955733.1
KAFR_0B03030	XP_003955734.1
KAFR_0B03040	XP_003955735.1
KAFR_0B03050	XP_003955736.1
KAFR_0B03060	XP_003955737.1
KAFR_0B03070	XP_003955738.1
KAFR_0B03080	XP_003955739.1
KAFR_0B03090	XP_003955740.1
KAFR_0B03100	XP_003955741.1
KAFR_0B03110	XP_003955742.1
KAFR_0B03120	XP_003955743.1
KAFR_0B03120	XP_003955743.1
KAFR_0B03130	XP_003955744.1
KAFR_0B03140	XP_003955745.1
KAFR_0B03150	XP_003955746.1
KAFR_0B03160	XP_003955747.1
KAFR_0B03170	XP_003955748.1
KAFR_0B03180	XP_003955749.1
KAFR_0B03190	XP_003955750.1
KAFR_0B03200	XP_003955751.1
KAFR_0B03210	XP_003955752.1
KAFR_0B03220	XP_003955753.1
KAFR_0B03230	XP_003955754.1
KAFR_0B03240	XP_003955755.1
KAFR_0B03250	XP_003955756.1
KAFR_0B03260	XP_003955757.1
KAFR_0B03270	XP_003955758.1
KAFR_0B03280	XP_003955759.1
KAFR_0B03285	XP_003955760.1
KAFR_0B03290	XP_003955761.1
KAFR_0B03300	XP_003955762.1
KAFR_0B03310	XP_003955763.1
KAFR_0B03320	XP_003955764.1
KAFR_0B03330	XP_003955765.1
KAFR_0B03340	XP_003955766.1
KAFR_0B03350	XP_003955767.1
KAFR_0B03350	XP_003955767.1
KAFR_0B03360	XP_003955768.1
KAFR_0B03370	XP_003955769.1
KAFR_0B03380	XP_003955770.1
KAFR_0B03390	XP_003955771.1
KAFR_0B03400	XP_003955772.1
KAFR_0B03410	XP_003955773.1
KAFR_0B03410	XP_003955773.1
KAFR_0B03420	XP_003955774.1
KAFR_0B03430	XP_003955775.1
KAFR_0B03440	XP_003955776.1
KAFR_0B03450	XP_003955777.1
KAFR_0B03460	XP_003955778.1
KAFR_0B03470	XP_003955779.1
KAFR_0B03480	XP_003955780.1
KAFR_0B03490	XP_003955781.1
KAFR_0B03500	XP_003955782.1
KAFR_0B03510	XP_003955783.1
KAFR_0B03520	XP_003955784.1
KAFR_0B03530	XP_003955785.1
KAFR_0B03540	XP_003955786.1
KAFR_0B03550	XP_003955787.1
KAFR_0B03550	XP_003955787.1
KAFR_0B03560	XP_003955788.1
KAFR_0B03570	XP_003955789.1
KAFR_0B03580	XP_003955790.1
KAFR_0B03590	XP_003955791.1
KAFR_0B03600	XP_003955792.1
KAFR_0B03610	XP_003955793.1
KAFR_0B03620	XP_003955794.1
KAFR_0B03630	XP_003955795.1
KAFR_0B03640	XP_003955796.1
KAFR_0B03650	XP_003955797.1
KAFR_0B03660	XP_003955798.1
KAFR_0B03670	XP_003955799.1
KAFR_0B03680	XP_003955800.1
KAFR_0B03690	XP_003955801.1
KAFR_0B03710	XP_003955802.1
KAFR_0B03720	XP_003955803.1
KAFR_0B03730	XP_003955804.1
KAFR_0B03740	XP_003955805.1
KAFR_0B03750	XP_003955806.1
KAFR_0B03760	XP_003955807.1
KAFR_0B03770	XP_003955808.1
KAFR_0B03780	XP_003955809.1
KAFR_0B03790	XP_003955810.1
KAFR_0B03800	XP_003955811.1
KAFR_0B03810	XP_003955812.1
KAFR_0B03820	XP_003955813.1
KAFR_0B03830	XP_003955814.1
KAFR_0B03840	XP_003955815.1
KAFR_0B03850	XP_003955816.1
KAFR_0B03860	XP_003955817.1
KAFR_0B03870	XP_003955818.1
KAFR_0B03880	XP_003955819.1
KAFR_0B03890	XP_003955820.1
KAFR_0B03900	XP_003955821.1
KAFR_0B03910	XP_003955822.1
KAFR_0B03920	XP_003955823.1
KAFR_0B03930	XP_003955824.1
KAFR_0B03940	XP_003955825.1
KAFR_0B03950	XP_003955826.1
KAFR_0B03960	XP_003955827.1
KAFR_0B03970	XP_003955828.1
KAFR_0B03980	XP_003955829.1
KAFR_0B03990	XP_003955830.1
KAFR_0B04000	XP_003955831.1
KAFR_0B04010	XP_003955832.1
KAFR_0B04020	XP_003955833.1
KAFR_0B04030	XP_003955834.1
KAFR_0B04040	XP_003955835.1
KAFR_0B04050	XP_003955836.1
KAFR_0B04060	XP_003955837.1
KAFR_0B04070	XP_003955838.1
KAFR_0B04080	XP_003955839.1
KAFR_0B04090	XP_003955840.1
KAFR_0B04100	XP_003955841.1
KAFR_0B04110	XP_003955842.1
KAFR_0B04120	XP_003955843.1
KAFR_0B04130	XP_003955844.1
KAFR_0B04130	XP_003955844.1
KAFR_0B04140	XP_003955845.1
KAFR_0B04150	XP_003955846.1
KAFR_0B04160	XP_003955847.1
KAFR_0B04170	XP_003955848.1
KAFR_0B04180	XP_003955849.1
KAFR_0B04190	XP_003955850.1
KAFR_0B04200	XP_003955851.1
KAFR_0B04210	XP_003955852.1
KAFR_0B04210	XP_003955852.1
KAFR_0B04220	XP_003955853.1
KAFR_0B04230	XP_003955854.1
KAFR_0B04240	XP_003955855.1
KAFR_0B04250	XP_003955856.1
KAFR_0B04260	XP_003955857.1
KAFR_0B04270	XP_003955858.1
KAFR_0B04280	XP_003955859.1
KAFR_0B04290	XP_003955860.1
KAFR_0B04300	XP_003955861.1
KAFR_0B04310	XP_003955862.1
KAFR_0B04320	XP_003955863.1
KAFR_0B04330	XP_003955864.1
KAFR_0B04340	XP_003955865.1
KAFR_0B04350	XP_003955866.1
KAFR_0B04360	XP_003955867.1
KAFR_0B04370	XP_003955868.1
KAFR_0B04380	XP_003955869.1
KAFR_0B04390	XP_003955870.1
KAFR_0B04400	XP_003955871.1
KAFR_0B04410	XP_003955872.1
KAFR_0B04420	XP_003955873.1
KAFR_0B04430	XP_003955874.1
KAFR_0B04440	XP_003955875.1
KAFR_0B04450	XP_003955876.1
KAFR_0B04460	XP_003955877.1
KAFR_0B04470	XP_003955878.1
KAFR_0B04480	XP_003955879.1
KAFR_0B04485	XP_003955880.1
KAFR_0B04490	XP_003955881.1
KAFR_0B04500	XP_003955882.1
KAFR_0B04510	XP_003955883.1
KAFR_0B04520	XP_003955884.1
KAFR_0B04530	XP_003955885.1
KAFR_0B04540	XP_003955886.1
KAFR_0B04550	XP_003955887.1
KAFR_0B04560	XP_003955888.1
KAFR_0B04560	XP_003955888.1
KAFR_0B04570	XP_003955889.1
KAFR_0B04580	XP_003955890.1
KAFR_0B04590	XP_003955891.1
KAFR_0B04600	XP_003955892.1
KAFR_0B04610	XP_003955893.1
KAFR_0B04620	XP_003955894.1
KAFR_0B04630	XP_003955895.1
KAFR_0B04640	XP_003955896.1
KAFR_0B04650	XP_003955897.1
KAFR_0B04660	XP_003955898.1
KAFR_0B04670	XP_003955899.1
KAFR_0B04680	XP_003955900.1
KAFR_0B04690	XP_003955901.1
KAFR_0B04700	XP_003955902.1
KAFR_0B04710	XP_003955903.1
KAFR_0B04720	XP_003955904.1
KAFR_0B04730	XP_003955905.1
KAFR_0B04740	XP_003955906.1
KAFR_0B04750	XP_003955907.1
KAFR_0B04760	XP_003955908.1
KAFR_0B04770	XP_003955909.1
KAFR_0B04780	XP_003955910.1
KAFR_0B04800	XP_003955911.1
KAFR_0B04810	XP_003955912.1
KAFR_0B04820	XP_003955913.1
KAFR_0B04830	XP_003955914.1
KAFR_0B04840	XP_003955915.1
KAFR_0B04850	XP_003955916.1
KAFR_0B04860	XP_003955917.1
KAFR_0B04870	XP_003955918.1
KAFR_0B04880	XP_003955919.1
KAFR_0B04890	XP_003955920.1
KAFR_0B04900	XP_003955921.1
KAFR_0B04910	XP_003955922.1
KAFR_0B04920	XP_003955923.1
KAFR_0B04930	XP_003955924.1
KAFR_0B04940	XP_003955925.1
KAFR_0B04950	XP_003955926.1
KAFR_0B04960	XP_003955927.1
KAFR_0B04970	XP_003955928.1
KAFR_0B04980	XP_003955929.1
KAFR_0B04990	XP_003955930.1
KAFR_0B05000	XP_003955931.1
KAFR_0B05010	XP_003955932.1
KAFR_0B05020	XP_003955933.1
KAFR_0B05030	XP_003955934.1
KAFR_0B05040	XP_003955935.1
KAFR_0B05050	XP_003955936.1
KAFR_0B05060	XP_003955937.1
KAFR_0B05070	XP_003955938.1
KAFR_0B05070	XP_003955938.1
KAFR_0B05080	XP_003955939.1
KAFR_0B05080	XP_003955939.1
KAFR_0B05090	XP_003955940.1
KAFR_0B05100	XP_003955941.1
KAFR_0B05110	XP_003955942.1
KAFR_0B05120	XP_003955943.1
KAFR_0B05130	XP_003955944.1
KAFR_0B05140	XP_003955945.1
KAFR_0B05150	XP_003955946.1
KAFR_0B05160	XP_003955947.1
KAFR_0B05170	XP_003955948.1
KAFR_0B05180	XP_003955949.1
KAFR_0B05190	XP_003955950.1
KAFR_0B05200	XP_003955951.1
KAFR_0B05210	XP_003955952.1
KAFR_0B05220	XP_003955953.1
KAFR_0B05230	XP_003955954.1
KAFR_0B05240	XP_003955955.1
KAFR_0B05250	XP_003955956.1
KAFR_0B05270	XP_003955957.1
KAFR_0B05280	XP_003955958.1
KAFR_0B05290	XP_003955959.1
KAFR_0B05300	XP_003955960.1
KAFR_0B05310	XP_003955961.1
KAFR_0B05320	XP_003955962.1
KAFR_0B05330	XP_003955963.1
KAFR_0B05340	XP_003955964.1
KAFR_0B05350	XP_003955965.1
KAFR_0B05360	XP_003955966.1
KAFR_0B05370	XP_003955967.1
KAFR_0B05380	XP_003955968.1
KAFR_0B05390	XP_003955969.1
KAFR_0B05400	XP_003955970.1
KAFR_0B05410	XP_003955971.1
KAFR_0B05420	XP_003955972.1
KAFR_0B05430	XP_003955973.1
KAFR_0B05440	XP_003955974.1
KAFR_0B05450	XP_003955975.1
KAFR_0B05460	XP_003955976.1
KAFR_0B05470	XP_003955977.1
KAFR_0B05480	XP_003955978.1
KAFR_0B05490	XP_003955979.1
KAFR_0B05500	XP_003955980.1
KAFR_0B05510	XP_003955981.1
KAFR_0B05520	XP_003955982.1
KAFR_0B05530	XP_003955983.1
KAFR_0B05540	XP_003955984.1
KAFR_0B05550	XP_003955985.1
KAFR_0B05560	XP_003955986.1
KAFR_0B05570	XP_003955987.1
KAFR_0B05580	XP_003955988.1
KAFR_0B05590	XP_003955989.1
KAFR_0B05600	XP_003955990.1
KAFR_0B05610	XP_003955991.1
KAFR_0B05620	XP_003955992.1
KAFR_0B05625	XP_003955993.1
KAFR_0B05630	XP_003955994.1
KAFR_0B05640	XP_003955995.1
KAFR_0B05650	XP_003955996.1
KAFR_0B05660	XP_003955997.1
KAFR_0B05670	XP_003955998.1
KAFR_0B05670	XP_003955998.1
KAFR_0B05680	XP_003955999.1
KAFR_0B05690	XP_003956000.1
KAFR_0B05700	XP_003956001.1
KAFR_0B05710	XP_003956002.1
KAFR_0B05720	XP_003956003.1
KAFR_0B05730	XP_003956004.1
KAFR_0B05740	XP_003956005.1
KAFR_0B05750	XP_003956006.1
KAFR_0B05760	XP_003956007.1
KAFR_0B05770	XP_003956008.1
